Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	1.078524385276013e-08	4.698755752560902e-09	0.010856812366867186
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.7864091747238172e-08	8.521020028187012e-09	0.018020109010706057
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	9.409127423918226e-09	5.425738382366072e-09	0.04144437577630229
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	7.811545963970315e-09	4.5102818089718375e-09	0.041641955382948154
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	1.1266757382739587e-08	6.9658434709373755e-09	0.05289285281378835
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	1.0832272640302865e-08	7.737497081701668e-09	0.08076097987350506
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	6.606606206979142e-09	4.731196984250946e-09	0.0812982227302993
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	5.4225380252330726e-09	3.985830862288252e-09	0.08684321015805024
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	9.70817834193387e-09	8.277961821739995e-09	0.12044322492222648
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.B_cell	9.432447026891476e-09	8.354551967798854e-09	0.12944493158014359
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	7.4181038664194994e-09	6.69829766542341e-09	0.13404731847135398
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	6.1753811289578485e-09	5.5764502323066474e-09	0.1340597325019781
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	5.466652006890455e-09	5.1032656992918116e-09	0.14203826755907611
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	6.245022266608948e-09	5.984342976436167e-09	0.1483444530816666
