Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	2.6738815290818286e-08	8.417681106189045e-09	0.0007453033012065056
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.2245476876576352e-08	4.9712283575418055e-09	0.006883812862315784
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	1.4004950632067919e-08	6.429090718151496e-09	0.014689179685376082
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.3575590456580875e-08	6.497205770245689e-09	0.018333590464559395
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	1.0929199742778849e-08	5.88783386315987e-09	0.03171007760781549
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	1.2631241575384776e-08	7.828853225200937e-09	0.053326462350525544
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	8.21037965812606e-09	5.62624912967883e-09	0.07224141698855266
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	1.417174663261685e-08	1.1961125691566238e-08	0.11804487877252917
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	6.862587160570279e-09	5.963022984066182e-09	0.12489552078802718
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.epithelial_cell_of_large_intestine	4.9343270278563135e-09	4.781250489909272e-09	0.15103231000736111
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	8.40551373872999e-09	8.181559102054836e-09	0.1521224065102455
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	7.875986716200504e-09	8.034768211035757e-09	0.16348427654979913
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	9.136984548280422e-09	9.503757402656291e-09	0.168173633473582
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	7.60357292780088e-09	8.095955579219004e-09	0.17381874407381642
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	4.366457129588013e-09	4.6971007022643875e-09	0.17628733193011908
tabula_muris.ESmuQ2.continuous.190730__Kidney.kidney_collecting_duct_epithelial_cell	4.98697303607718e-09	5.694871877737877e-09	0.19059782675045023
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	5.945766223138967e-09	7.014119667680465e-09	0.19830662406185917
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.0185145630071835e-08	1.2066860481193794e-08	0.19931813891350342
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_urothelial_cell	5.823437190448653e-09	8.242019161851667e-09	0.2399216313043156
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	5.987196321284912e-09	9.484458132548316e-09	0.2639339833898641
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	5.703811513369581e-09	9.954911405575252e-09	0.2833343423665101
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	6.5421255389943895e-09	1.2498506599860302e-08	0.3003366288928101
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	2.226158091987735e-09	4.344642123517323e-09	0.3041884873326517
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	2.694041719481624e-09	5.838963084574736e-09	0.32225925622060086
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	5.845303250266845e-09	1.3363633980469346e-08	0.3309092924517304
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	4.061175937347983e-09	9.950919196599078e-09	0.34159253806810486
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	3.5675538168648484e-09	9.162606469550808e-09	0.34850487373099903
tabula_muris.ESmuQ2.continuous.190730__Lung.myeloid_cell	4.03902002888487e-09	1.1632361763066036e-08	0.36421201014358096
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	1.91689347690996e-09	5.627482969345179e-09	0.3666908065277471
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.5517969736167609e-09	5.795855699289094e-09	0.3944487614745157
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	1.777714351341565e-09	7.17479007713113e-09	0.40215528804018547
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	1.2849840720630945e-09	5.720768353281322e-09	0.41113846657568265
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	6.183461624575437e-10	7.409045564804811e-09	0.46674357665183813
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	4.084524509812337e-10	6.300393252023694e-09	0.47415480669669646
