Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	1.526697120590747e-08	5.703859792491603e-09	0.003718629308519735
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	2.5488268654646012e-08	1.2447694206302794e-08	0.02029814727003851
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.704019219311521e-08	9.590903815966692e-09	0.03780851965975018
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	1.9306370503719955e-08	1.1474716496242065e-08	0.046234611701336636
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.5109877090658236e-08	9.3519939283683e-09	0.05308120882937742
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	2.7130980812188067e-08	1.733740706676898e-08	0.05880539437256834
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	2.2019224650723445e-08	1.4460361813127813e-08	0.06391315270513528
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.0472736261364464e-08	7.098737252126594e-09	0.07006653633323044
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.2095470034286752e-08	8.643460862749815e-09	0.08084981190990864
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	2.255785117969872e-08	1.68835469469613e-08	0.0907607716933454
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	1.9559262847190304e-08	1.550676744434894e-08	0.10359368941853825
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	1.8588479896858487e-08	1.4940136027747377e-08	0.10671344180465908
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	1.505774040692325e-08	1.2363821703688175e-08	0.11163341726044224
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	1.5358152511882395e-08	1.3627743432348698e-08	0.12987611669109067
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	8.582196726772733e-09	7.740400343386355e-09	0.1337682466203386
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	4.0754675400809905e-08	3.871249233607938e-08	0.14622720637083525
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	1.8160661873490204e-08	1.7298804927492126e-08	0.1469000338896444
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	1.1744738569417448e-08	1.1271497774039564e-08	0.14870917353721474
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.380620088809606e-08	1.3425233187704223e-08	0.1518862641271707
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	1.6546218662746306e-08	1.6686667677090433e-08	0.1607004537274297
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	1.3301296639857904e-08	1.3431851741292585e-08	0.16101859426806048
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	1.0061070935113555e-08	1.1392528012372622e-08	0.18858331075974405
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	1.4743648440273e-08	1.6940736125632947e-08	0.19206621108510707
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	1.3234219171319441e-08	1.5730262968375006e-08	0.200083733457808
tabula_muris.ESmuQ2.continuous.190730__Skin.basal_cell_of_epidermis	1.1355204598003924e-08	1.3945363134973797e-08	0.20774691700092152
