Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	2.8813390535771973e-08	1.3186667610668546e-08	0.014442972667880761
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	4.740310055026496e-08	2.2322663809293552e-08	0.016854255451211213
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	6.381447345487427e-08	3.212584862126264e-08	0.023495002509431092
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	3.2344714635531e-08	1.6457015619970438e-08	0.02468364195904587
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	2.10218614424621e-08	1.1558570436178329e-08	0.03447669500852158
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.057874735450011e-08	1.1480746124808227e-08	0.03652987054586694
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	3.723920605576442e-08	2.2063094468940072e-08	0.045719960902288484
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	7.870408500325308e-09	5.69903697015158e-09	0.08363844326297387
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	2.2585905259283572e-08	1.845603728441219e-08	0.11051990590691868
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	2.49305508930225e-08	2.080101796614011e-08	0.1153562468543815
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	2.3740813478331186e-08	2.0031640256584317e-08	0.11797596405828348
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	2.25012159741415e-08	1.9441672614139377e-08	0.12356053560487484
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	1.8393515302223295e-08	1.5901295884741546e-08	0.12369122473971567
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	4.7107561291527243e-08	4.232801034624091e-08	0.1328720441320903
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	2.0589802888666745e-08	1.8665929575100236e-08	0.13499866353648937
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	1.8330539265129362e-08	1.7842589331441644e-08	0.1521284352235283
tabula_muris.ESmuQ2.continuous.190730__Liver.hepatocyte	1.484559018723086e-08	1.4911947648927414e-08	0.1597344079640447
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	1.7202963823399957e-08	1.7411625928924047e-08	0.1615724227425368
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	1.476575792116845e-08	1.5340861318305185e-08	0.16789632402795612
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	2.1867412723536866e-08	2.3369122442156855e-08	0.17470364440128955
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	1.3535295409445731e-08	1.4673113963888431e-08	0.17814550289989844
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	1.4253170490274626e-08	1.571340925567724e-08	0.18218475005448537
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocytopoietic_cell	1.1816799048668865e-08	1.3569154454172323e-08	0.19191600004583226
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	1.916778649626878e-08	2.2259639287024674e-08	0.19459134721333177
tabula_muris.ESmuQ2.continuous.190730__Skin.basal_cell_of_epidermis	1.2281527901070018e-08	1.5378541780099667e-08	0.21225696134052474
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	9.884805204504843e-09	1.2961888044401353e-08	0.22284939566996947
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	8.2620495608573e-09	1.0837742056930752e-08	0.2229284077693634
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	2.4078058417708432e-08	3.398109362685921e-08	0.23929499513007785
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	1.248797092210122e-08	1.8070057380848616e-08	0.24475562286118951
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	6.6226000852634224e-09	1.0315660447353233e-08	0.2604382884886908
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_B_cell	7.714199637184997e-09	1.2490891548056e-08	0.2684241406570141
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	9.70058476625758e-09	1.5822366257962688e-08	0.26990736635115564
tabula_muris.ESmuQ2.continuous.190730__Skin.epidermal_cell	1.1261502471347334e-08	1.8748614882227802e-08	0.27403395338017567
tabula_muris.ESmuQ2.continuous.190730__Marrow.basophil	8.367579558735232e-09	1.4157735025189852e-08	0.2772517354077932
tabula_muris.ESmuQ2.continuous.190730__Lung.leukocyte	7.58860486734709e-09	1.3508917555738803e-08	0.2871439271557742
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	1.1595786655959119e-08	2.1133958246153944e-08	0.2916124322429118
tabula_muris.ESmuQ2.continuous.190730__Lung.T_cell	7.84363810152573e-09	1.4828787170479972e-08	0.29842121091155505
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	7.2092014006224814e-09	1.3651988921474082e-08	0.29872548756145845
tabula_muris.ESmuQ2.continuous.190730__Liver.natural_killer_cell	1.1930212803977103e-08	2.434264192776099e-08	0.31203325505881757
tabula_muris.ESmuQ2.continuous.190730__Lung.classical_monocyte	8.49655127858613e-09	1.846037003248478e-08	0.3226651665502452
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_NK_T_cell	8.298405408126675e-09	1.834843660312125e-08	0.3255380673313972
tabula_muris.ESmuQ2.continuous.190730__Lung.stromal_cell	3.717199071744003e-09	9.084486169191555e-09	0.3412034209232965
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	4.079266371324223e-09	1.0435471097653788e-08	0.34793413481390684
tabula_muris.ESmuQ2.continuous.190730__Liver.B_cell	4.5722928620084525e-09	1.217779924124676e-08	0.35365869530221367
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	3.5335537384731443e-09	1.2274290289012993e-08	0.3867183301810213
tabula_muris.ESmuQ2.continuous.190730__Spleen.T_cell	2.20284086863759e-09	1.0797548776006267e-08	0.419171650102907
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.basal_cell	2.2371400262602572e-09	1.2907762401439709e-08	0.43120096741680913
tabula_muris.ESmuQ2.continuous.190730__Marrow.precursor_B_cell	1.8191658092344966e-09	1.0957032084990709e-08	0.43406775613659765
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	1.3980431723170205e-09	1.1268056936919106e-08	0.4506293863334385
tabula_muris.ESmuQ2.continuous.190730__Kidney.epithelial_cell_of_proximal_tubule	7.37173124915383e-10	9.791152313386962e-09	0.4699920999038196
tabula_muris.ESmuQ2.continuous.190730__Lung.natural_killer_cell	1.1725314172236282e-09	1.9905871699724913e-08	0.47651436703800537
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	9.65190229849733e-10	1.719987620832861e-08	0.4776246531602291
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_ductal_cell	5.641514162181659e-10	1.2683104848008629e-08	0.4822606797246757
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte_monocyte_progenitor_cell	3.0076487444577054e-10	1.2319260709992125e-08	0.4902611115298279
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	8.192110601936501e-11	9.565868239448517e-09	0.4965835413417279
tabula_muris.ESmuQ2.continuous.190730__Marrow.monocyte	-6.941913585719633e-10	1.4259941793385806e-08	0.5194133286597654
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	-1.6693268146657512e-09	2.0114956549538093e-08	0.5330699890550497
tabula_muris.ESmuQ2.continuous.190730__Liver.Kupffer_cell	-9.7742994836572e-10	1.1447033769609636e-08	0.5340232081266266
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_natural_killer_cell	-1.8731049546862007e-09	2.173954953769128e-08	0.534330849879275
tabula_muris.ESmuQ2.continuous.190730__Marrow.granulocyte	-1.215877649266514e-09	1.2401320542852701e-08	0.5390514051823623
tabula_muris.ESmuQ2.continuous.190730__Skin.keratinocyte_stem_cell	-1.1719828335951674e-09	1.0657169765011648e-08	0.5437839326943407
tabula_muris.ESmuQ2.continuous.190730__Heart.smooth_muscle_cell	-2.7831997866647343e-09	1.8104596881210213e-08	0.5610882521374946
tabula_muris.ESmuQ2.continuous.190730__Lung.ciliated_columnar_cell_of_tracheobronchial_tree	-1.3661060375211935e-09	8.290729071738273e-09	0.5654395137375667
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	-1.776160331746997e-09	7.05639385336723e-09	0.5993671364836912
tabula_muris.ESmuQ2.continuous.190730__Heart.endothelial_cell	-3.1079501925251744e-09	1.194126356974407e-08	0.6026721640650513
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	-1.7783947959237914e-09	6.112220019514107e-09	0.6144579966292394
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.enteroendocrine_cell	-3.799612687934649e-09	1.2829190371344025e-08	0.6164496142489617
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	-5.9321801337828e-09	1.884745003366068e-08	0.6235231579810441
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	-4.585421518782058e-09	1.4107005746559752e-08	0.6274267567646774
tabula_muris.ESmuQ2.continuous.190730__Thymus.immature_T_cell	-3.501900683150302e-09	1.069979620511835e-08	0.6282744636939352
tabula_muris.ESmuQ2.continuous.190730__Fat.myeloid_cell	-4.453691660476055e-09	1.3010715618696428e-08	0.6339410094662055
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	-2.6719652418662077e-09	7.569007711024518e-09	0.6379610054485099
tabula_muris.ESmuQ2.continuous.190730__Heart.fibroblast	-4.0773167514131594e-09	1.1007698975327879e-08	0.6444599643756289
tabula_muris.ESmuQ2.continuous.190730__Lung.monocyte	-7.171921160254164e-09	1.8480109769536413e-08	0.6510247906689219
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	-4.186521654336171e-09	1.0327623244888517e-08	0.6573976835986205
tabula_muris.ESmuQ2.continuous.190730__Heart.leukocyte	-5.758669188720332e-09	1.266266056916392e-08	0.6753646607613994
tabula_muris.ESmuQ2.continuous.190730__Kidney.macrophage	-1.2168747429830765e-08	2.6095306453132433e-08	0.6795065497820261
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	-5.3298248111979435e-09	1.1069533001097493e-08	0.6849144248454562
tabula_muris.ESmuQ2.continuous.190730__Large_Intestine.large_intestine_goblet_cell	-3.826615862167788e-09	7.347490589096752e-09	0.6987489758775687
tabula_muris.ESmuQ2.continuous.190730__Marrow.regulatory_T_cell	-1.1929260138977671e-08	2.2748397332352002e-08	0.6999998305678401
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	-4.6182562360705665e-09	8.773068842350518e-09	0.7006993078133588
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	-6.1935743071590495e-09	1.1715460768593888e-08	0.7014816689036375
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	-1.558070358458718e-08	2.9245756071851685e-08	0.7028969952537207
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	-6.512804107729063e-09	1.2127822188827557e-08	0.7043708517303169
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	-5.521591703169501e-09	8.741798363826856e-09	0.7361860196865068
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	-5.292192180944713e-09	8.266773003955378e-09	0.7389710065863306
tabula_muris.ESmuQ2.continuous.190730__Pancreas.leukocyte	-1.247831893566577e-08	1.923234610642725e-08	0.7417724363004432
tabula_muris.ESmuQ2.continuous.190730__Tongue.basal_cell_of_epidermis	-5.154966901739667e-09	7.85052386367841e-09	0.7442937441247073
tabula_muris.ESmuQ2.continuous.190730__Trachea.epithelial_cell	-7.033285202518552e-09	1.0449023510802561e-08	0.7495596082745399
tabula_muris.ESmuQ2.continuous.190730__Fat.unknown_cell_type	-8.658292472486558e-09	1.1462015379667833e-08	0.7749925118683731
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	-1.2316492749012212e-08	1.6275088506323632e-08	0.7754060554396777
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	-1.014661684943224e-08	1.3093467429893469e-08	0.7808116574047953
tabula_muris.ESmuQ2.continuous.190730__Heart.professional_antigen_presenting_cell	-7.277447339835523e-09	9.078338397864902e-09	0.7886158192270836
tabula_muris.ESmuQ2.continuous.190730__Fat.B_cell	-9.790265583688957e-09	1.2023008595019366e-08	0.7922617703458704
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	-1.1432446958145706e-08	1.3171393049339178e-08	0.8072961376655969
tabula_muris.ESmuQ2.continuous.190730__Heart.cardiac_muscle_cell	-7.491360867442332e-09	8.369886419565655e-09	0.8146164358469251
