Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.mesenchymal_stem_cell	5.453833456636252e-08	1.8012224340242393e-08	0.001231496779739537
tabula_muris.ESmuQ2.continuous.190730__Marrow.common_lymphoid_progenitor	3.1039257992841785e-08	1.090734522732775e-08	0.0022155521377014674
tabula_muris.ESmuQ2.continuous.190730__Marrow.megakaryocyte-erythroid_progenitor_cell	6.461659075644707e-08	2.560311287152802e-08	0.005805049621019336
tabula_muris.ESmuQ2.continuous.190730__Fat.mesenchymal_stem_cell_of_adipose	4.555299325754709e-08	1.849949574701568e-08	0.00690070433433034
tabula_muris.ESmuQ2.continuous.190730__Trachea.mesenchymal_cell	3.269955954062e-08	1.4282099514875987e-08	0.011023751626316015
tabula_muris.ESmuQ2.continuous.190730__Marrow.hematopoietic_precursor_cell	4.482688409328696e-08	2.042566026355051e-08	0.014094868717425815
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.endothelial_cell	7.931872773191707e-08	3.7070611943434144e-08	0.01619088458399275
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.endothelial_cell	5.5648879437368905e-08	2.6883356494776814e-08	0.019225594874528597
tabula_muris.ESmuQ2.continuous.190730__Trachea.endothelial_cell	4.838183655060267e-08	2.4942135050239505e-08	0.026204235364462522
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_stellate_cell	7.019304711946241e-08	3.621430742561694e-08	0.026295243782802746
tabula_muris.ESmuQ2.continuous.190730__Kidney.endothelial_cell	2.8857081717794918e-08	1.5650248665465186e-08	0.032600775289921405
tabula_muris.ESmuQ2.continuous.190730__Fat.endothelial_cell	3.617539452183465e-08	1.967455933597686e-08	0.03298047602480652
tabula_muris.ESmuQ2.continuous.190730__Lung.lung_endothelial_cell	3.032845782933545e-08	1.754942679798352e-08	0.041978543764312704
tabula_muris.ESmuQ2.continuous.190730__Mammary_Gland.stromal_cell	2.6562399633188076e-08	1.610054652009908e-08	0.04949371627348906
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-positive_multipotent_progenitor_cell	2.0488067893757517e-08	1.2563006553233839e-08	0.05146360241103635
tabula_muris.ESmuQ2.continuous.190730__Marrow.Slamf1-negative_multipotent_progenitor_cell	2.9085840640838455e-08	1.8353012691522806e-08	0.05650597710394583
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.brain_pericyte	4.45363817792948e-08	3.5205512517759266e-08	0.10292849353024697
tabula_muris.ESmuQ2.continuous.190730__Bladder.bladder_cell	1.6693773141595706e-08	1.4575909426623829e-08	0.12604267920223178
tabula_muris.ESmuQ2.continuous.190730__Pancreas.endothelial_cell	2.2973025306255963e-08	2.1382056350182863e-08	0.1413202130789184
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	2.0850712469399216e-08	1.9519153090625286e-08	0.1427110728308772
tabula_muris.ESmuQ2.continuous.190730__Kidney.leukocyte	6.827222032035905e-08	6.623130506205124e-08	0.15131379988290544
tabula_muris.ESmuQ2.continuous.190730__Marrow.pre-natural_killer_cell	2.2522762030490426e-08	2.251914123586462e-08	0.15861635121066847
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_cell	1.3742864851963345e-08	1.3970550173057e-08	0.16263091005096764
tabula_muris.ESmuQ2.continuous.190730__Heart.myofibroblast_cell	1.619021272393975e-08	1.6601237677902683e-08	0.16472028846908254
tabula_muris.ESmuQ2.continuous.190730__Lung.epithelial_cell_of_lung	1.5048539987686054e-08	1.6865240061410705e-08	0.1861210610385005
tabula_muris.ESmuQ2.continuous.190730__Liver.endothelial_cell_of_hepatic_sinusoid	1.3779956813524182e-08	1.8570403090114157e-08	0.22903195974785157
tabula_muris.ESmuQ2.continuous.190730__Skin.stem_cell_of_epidermis	1.0156697208689738e-08	1.386898249799191e-08	0.23198303074014598
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	2.108445217019227e-08	2.8878869554119698e-08	0.23266464169733114
tabula_muris.ESmuQ2.continuous.190730__Marrow.immature_T_cell	1.954670631505394e-08	2.9743295326118595e-08	0.2555325109809156
tabula_muris.ESmuQ2.continuous.190730__Marrow.mature_natural_killer_cell	1.7428894536801412e-08	2.963239861814619e-08	0.27820902063773334
tabula_muris.ESmuQ2.continuous.190730__Skin.leukocyte	3.237661732398457e-08	5.600246952045949e-08	0.28158872183333966
