Name	Coefficient	Coefficient_std_error	Coefficient_P_value
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.neuron	2.379309876123815e-08	3.988203439123047e-09	1.2166782302187046e-09
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.8231021999922176e-08	5.077551289437635e-09	0.0001650128758982408
tabula_muris.ESmuQ2.continuous.190730__Pancreas.type_B_pancreatic_cell	1.7548410892033767e-08	6.149453854858593e-09	0.0021609817156004606
tabula_muris.ESmuQ2.continuous.190730__Marrow.macrophage	2.621095151646718e-08	9.42047901044558e-09	0.0026984446642722105
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.astrocyte	1.6102660093694833e-08	5.81122240545666e-09	0.0027945716201416256
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_D_cell	1.4113591451421559e-08	5.560848483125398e-09	0.005573946666384764
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.oligodendrocyte	1.3475879797968697e-08	5.6697185860335816e-09	0.008731390180420502
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.Bergmann_glial_cell	1.4316250920987155e-08	6.533132995802966e-09	0.014213957024860096
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_A_cell	1.1131495182695679e-08	5.311956084759064e-09	0.018060850268873496
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_PP_cell	1.5066779968080342e-08	7.556656620069833e-09	0.023084657539516995
tabula_muris.ESmuQ2.continuous.190730__Lung.unknown_cell_type	1.3347478303670909e-08	1.0275388117153116e-08	0.09697615383954422
tabula_muris.ESmuQ2.continuous.190730__Heart.unknown_cell_type	1.3326244622344066e-08	1.1642370447675964e-08	0.12618055102301357
tabula_muris.ESmuQ2.continuous.190730__Marrow.late_pro-B_cell	7.875387342147873e-09	7.248726901177278e-09	0.13863973129206186
tabula_muris.ESmuQ2.continuous.190730__Lung.B_cell	8.898584177811329e-09	9.472890546728966e-09	0.17376945734618943
tabula_muris.ESmuQ2.continuous.190730__Spleen.macrophage	1.2906815419035631e-08	1.8275951807769806e-08	0.24002613115395172
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.T_cell	6.014971440160038e-09	1.06792407080553e-08	0.28663586484135495
tabula_muris.ESmuQ2.continuous.190730__Brain_Non-Myeloid.endothelial_cell	3.6668993952051053e-09	7.741856775596504e-09	0.31787618800434503
tabula_muris.ESmuQ2.continuous.190730__Thymus.leukocyte	4.53864400810902e-09	9.972144619362339e-09	0.32450707090808156
tabula_muris.ESmuQ2.continuous.190730__Pancreas.pancreatic_acinar_cell	2.744674650779338e-09	6.540785179515606e-09	0.33737984128095266
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.macrophage	3.1322221275965394e-09	7.617925174204029e-09	0.34047587520332345
tabula_muris.ESmuQ2.continuous.190730__Fat.T_cell	1.7210653506480272e-09	5.753393438368112e-09	0.3824169293907387
tabula_muris.ESmuQ2.continuous.190730__Marrow.B_cell	2.8519480233825786e-09	1.0082832250488019e-08	0.38864519279858134
tabula_muris.ESmuQ2.continuous.190730__Marrow.naive_B_cell	2.089694473816513e-09	7.409198157876768e-09	0.3889562009661798
tabula_muris.ESmuQ2.continuous.190730__Limb_Muscle.skeletal_muscle_satellite_stem_cell	2.476588953902033e-09	9.00394455329789e-09	0.3916366083569852
tabula_muris.ESmuQ2.continuous.190730__Brain_Myeloid.microglial_cell	1.8682788830239958e-09	7.60233098423494e-09	0.40293757448110723
