Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.2966489204097283e-08	7.498969467328275e-09	0.001097044703587383
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.7786284924408847e-08	6.385219293319894e-09	0.0026719307997929535
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.5172966968960444e-08	5.99549668109148e-09	0.005691315772127954
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	2.510823251472428e-08	1.1136189864402778e-08	0.0120775910393094
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	3.160057359047928e-08	1.538876367980698e-08	0.02001285013433144
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.2885722024964817e-08	6.578491945045043e-09	0.025070137080851235
Tabula_Muris_Senis.ESmu190820__Thymus.nan	2.5555174535008425e-08	1.3096292626206595e-08	0.02550896552557462
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.338340160486851e-08	1.221219078299732e-08	0.027761625882430616
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	2.8735998623998885e-08	1.5064705492165226e-08	0.028227622508475308
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.6962858698905604e-08	9.614195048545836e-09	0.03883606576225359
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.8082442427305128e-08	1.0439969273852624e-08	0.041633237047067645
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.4293400450073325e-08	9.328449056937848e-09	0.06273190584590477
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	1.4436944931920373e-08	1.0198512474909651e-08	0.07844732137682332
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.2695557641648118e-08	9.805411035739196e-09	0.09770321274291244
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	1.1390397522494433e-08	9.387480098577356e-09	0.11249601114528579
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	1.3068003852431109e-08	1.1164992456375607e-08	0.12091107115149591
