Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	7.352682253822012e-09	2.126462091917576e-09	0.00027239705593539083
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	2.791006976625766e-09	1.1724496406141699e-09	0.008644768490615578
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	6.819074964831319e-09	3.0664973550324383e-09	0.01308316724614228
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	6.032952930236519e-09	2.782538189803645e-09	0.015073736851617706
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	9.745945582278326e-09	4.6211526844654905e-09	0.01747290188953278
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	5.505298664436706e-09	2.634703903386502e-09	0.018329920900350148
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	7.94234711920063e-09	4.020149613291756e-09	0.02409808217810146
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	7.80833515797644e-09	4.024160060809901e-09	0.026167736554859412
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	4.83146526713322e-09	2.5381021055752147e-09	0.028482841525337137
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	7.838090901175192e-09	4.250689852979768e-09	0.0325946762430941
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	5.943424246288097e-09	3.3893287764951496e-09	0.03975213334207732
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	7.0028124653105305e-09	4.069463914467366e-09	0.042641800158751055
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	2.9619458742689667e-09	1.7538798340743524e-09	0.04562923111641873
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	1.7112132165530918e-08	1.0202429015363365e-08	0.046745767193263704
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	2.024719131945364e-09	1.245210980392848e-09	0.051974308517783493
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	3.8584449692878e-09	2.4202375301704102e-09	0.05544089138753643
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	8.62507651204983e-09	5.414690669727587e-09	0.055590986955626476
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	5.8933474346635455e-09	3.72279092734451e-09	0.05670554677661115
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	1.4145738302641332e-08	9.124800760206515e-09	0.0605405522122998
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	2.18210835540451e-08	1.4340465827900482e-08	0.06404915517126204
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	6.825831877498801e-09	4.530508549542271e-09	0.06595186207815484
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	1.2188998220480577e-08	8.414276021786464e-09	0.07372336588131372
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	2.0855403671982508e-09	1.4501097469932134e-09	0.07518938830812434
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	2.412641915023614e-09	1.7553863416927744e-09	0.08465532778446982
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	3.4360767243130345e-09	2.5387211693246572e-09	0.08795315480806976
Tabula_Muris_Senis.ESmu190820__Marrow.nan	2.7910849150132443e-09	2.1221869349293887e-09	0.09422256207450119
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	7.075052553394312e-09	5.399652232433112e-09	0.0950506835580408
Tabula_Muris_Senis.ESmu190820__Thymus.nan	3.3356633271479786e-09	2.5553208270181326e-09	0.0958818340893951
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	3.3098352315847915e-09	2.5520876632371824e-09	0.09733059089740898
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.6090758479733618e-09	2.0421295089237528e-09	0.10069082907542043
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.159044726770196e-09	1.731755341517313e-09	0.10624683942556934
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	3.762522452509267e-09	3.0239154180178406e-09	0.10670282868169773
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	4.537549635098625e-09	3.703017379560744e-09	0.11021877529031504
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	2.727583738254699e-09	2.2353430722456242e-09	0.111192997233171
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	4.627835559221852e-09	3.804401508444652e-09	0.11190820734660323
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.7119722939771677e-09	2.2831114717884014e-09	0.11744812559308637
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.4735471035471451e-09	1.2430122509307659e-09	0.11791688843936415
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	7.626344230991237e-09	6.446885496257763e-09	0.11841445021626307
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	1.0437408028098949e-08	8.913090665841966e-09	0.12079535560782229
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	1.506875844515333e-08	1.2931245232553176e-08	0.12194912789303441
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	1.5098559832808658e-09	1.3306766217097718e-09	0.12826040600434563
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	7.295278463811776e-09	6.625246439679585e-09	0.1354193561773771
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	2.6158476516310772e-09	2.3962472099376563e-09	0.13749491771958366
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	4.895702375300315e-09	4.687086772150292e-09	0.14812507451653278
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	4.948774898204558e-09	4.8644703399712845e-09	0.15449807418191164
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	2.026759500323827e-09	2.019108592973659e-09	0.15774010350388817
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	5.8727723189810894e-09	6.102999076590436e-09	0.16795537633576962
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	3.0508882529683317e-09	3.240385569852403e-09	0.17321918840431094
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	1.5791072719895081e-09	1.6919788887699061e-09	0.1753350834694855
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	3.1991935254514275e-09	3.467524820542556e-09	0.1781037039346134
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	4.78068293373107e-09	5.185391337120978e-09	0.17827675548190192
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.4856371008594138e-09	2.8090452501122584e-09	0.18811364089763954
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	6.055773402611375e-09	6.866968787141637e-09	0.18892357022062423
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.5675644372102881e-09	1.863951995247272e-09	0.20017685114640116
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	2.168291896630241e-09	2.589450830873744e-09	0.20119627698599196
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.908243401343591e-09	2.3181633303989644e-09	0.20520555371271
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	4.185345667300521e-09	5.213528352456953e-09	0.21104932329940662
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	5.521567069595069e-09	6.990289922452117e-09	0.2147957150964988
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	2.6803050698306228e-09	3.403618956948358e-09	0.21549847035625908
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	3.912999531403028e-09	4.991764869690662e-09	0.21655203699538927
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	3.859380950169347e-09	4.9282716721407564e-09	0.2167811333186659
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	6.252127503486202e-09	8.089014220920868e-09	0.21978608451601683
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	4.128346513629941e-09	5.509635676273975e-09	0.22683948893351819
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	2.9773785941765925e-09	3.9856817311858725e-09	0.22752615101113188
