Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	3.671206593133411e-08	1.3891109265662315e-08	0.004110617983960944
Tabula_Muris_Senis.ESmu190820__Marrow.nan	3.188723024643522e-08	1.2256995380395201e-08	0.00464012832661028
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	3.584875570972706e-08	1.5553198762488306e-08	0.01058574896351283
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	4.2493552136389833e-08	1.9207723603568715e-08	0.013472422969618253
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	3.2070316877026176e-08	1.4670364206918837e-08	0.014405556863253203
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	5.7732541244746134e-08	2.6756204682822078e-08	0.0154745957147036
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	3.1377291484704e-08	1.516942554273619e-08	0.019298575174117344
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	6.385434718546613e-08	3.1394349272406397e-08	0.020978622834346476
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	3.2525173705042446e-08	1.634184444299003e-08	0.023278946618974568
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	1.839282699355097e-08	9.686443738635751e-09	0.02879397899250413
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	2.091190828538247e-08	1.1195933978654909e-08	0.0308940875014566
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	2.7732812748407277e-08	1.498713952920577e-08	0.03212502977290778
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	8.351483874723174e-08	4.5946575966449804e-08	0.03455874737897139
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	3.51504506587802e-08	2.0679962673713964e-08	0.044590417296591155
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	3.544429217538781e-08	2.1036123410623312e-08	0.04600151236907986
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	2.7689140704836013e-08	1.7075433421817648e-08	0.052446908796392445
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	1.8247926942578206e-08	1.1291941671947735e-08	0.053045728239235125
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	2.5353469884974682e-08	1.6164643986739466e-08	0.058387829606409355
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	1.375402877850879e-08	8.87740027196477e-09	0.06065112168520696
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.7270338018126565e-08	1.1226004690431208e-08	0.061972674160203425
