Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	5.451399278225624e-08	2.1349286173944092e-08	0.005333324902039839
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	7.515888964859454e-08	3.7723386845540975e-08	0.023165317561849426
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	3.9735583892321776e-08	1.999793312038068e-08	0.02346205518890536
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	6.26545427776985e-08	3.448969907958555e-08	0.03463795791255406
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	6.412131073748842e-08	3.5976005169222845e-08	0.03734726939866267
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	4.15277896265269e-08	2.3816998694623308e-08	0.04061270739406065
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	5.739133459971559e-08	3.871341063214711e-08	0.06910810465517617
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	5.285519333285025e-08	3.65288465617464e-08	0.073956311987808
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	3.940678600046055e-08	2.88802423146574e-08	0.08620678591687503
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	2.3137998095253363e-08	1.7865967758533934e-08	0.0976449597723717
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	3.5147423115868975e-08	3.004176516572421e-08	0.12101014376816155
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	2.7824285566153027e-08	2.4486832209037404e-08	0.12791638568348207
Tabula_Muris_Senis.ESmu190820__Marrow.nan	3.412902295484009e-08	3.0088269592945127e-08	0.1283350700862102
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	3.267103819684159e-08	3.014399024355074e-08	0.13921952227947088
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	2.843995980256746e-08	2.7709127366988973e-08	0.15235739297931322
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.783042089042918e-08	2.714189750587663e-08	0.15259489727539416
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	1.795186105664319e-08	1.8159888849708148e-08	0.16144298802351387
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	3.059335077834579e-08	3.157817380853737e-08	0.16631920632107117
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	2.1053619890352686e-08	2.1837226618211432e-08	0.16749388234607976
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	2.743874859542371e-08	3.152594035947692e-08	0.19205331258096703
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	1.7460081109257557e-08	2.0440090093258402e-08	0.19649497553358997
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	1.723798870823132e-08	2.045020007915737e-08	0.19963514327962184
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.895255942674447e-08	2.2508527993800478e-08	0.19988926603690926
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	2.1131474940387722e-08	2.6081911993959226e-08	0.2089136119337362
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.0598849921207665e-08	2.5602535376232525e-08	0.2105359813209251
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	2.7117767378889306e-08	3.609103800308086e-08	0.2262146380641868
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.4349109495389587e-08	1.9556600228873562e-08	0.23155906778562313
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	3.190902037971339e-08	4.3981384316160214e-08	0.23406900487315735
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.3487061521778501e-08	1.8720683341002704e-08	0.23562817572027228
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	1.2340027042953893e-08	1.766351815703446e-08	0.24239583262127218
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	2.766668994173401e-08	4.2505355075381075e-08	0.2575558675947699
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	1.2246500297506676e-08	1.9098815117524725e-08	0.26069059174109127
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.5847172906673644e-08	2.480472997940156e-08	0.2614514569779474
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.3573624109512232e-08	2.1733113432472027e-08	0.26613007891987894
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.635992700073839e-08	2.633184675770196e-08	0.2672017437960436
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.4040451605553312e-08	2.3391692465379194e-08	0.274175683219141
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	2.2717123809153624e-08	3.85389957707485e-08	0.2777770007188658
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	1.17339815694761e-08	2.284649592806512e-08	0.3037655144116244
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.0524797354863935e-08	2.2338175675473217e-08	0.3187641594016585
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	1.181414464471792e-08	2.5100388554371018e-08	0.31893614590554586
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	1.437701770034718e-08	3.0589640433496245e-08	0.3191788319389304
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	1.7688337508178906e-08	3.802531747554508e-08	0.32090391327229806
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	9.508990999549984e-09	2.0873240664342884e-08	0.3243535942110684
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	1.191418821138722e-08	3.214635253121337e-08	0.3554590515757226
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	7.424881708522635e-09	2.088442595306609e-08	0.36109912495487617
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	8.846315259118406e-09	2.5885311502634466e-08	0.3662693741140003
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	7.935028658654557e-09	2.393649478277138e-08	0.3701321483751826
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	8.870766028967884e-09	2.792467494664976e-08	0.3753685241081774
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	6.107953961565585e-09	1.9448385733550666e-08	0.376737852833235
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	1.0125176027116889e-08	3.305178186918341e-08	0.37967182027117846
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	6.209977939818511e-09	2.029136533910227e-08	0.37978693586900614
Tabula_Muris_Senis.ESmu190820__Thymus.nan	1.4458525465692466e-08	4.919111532205306e-08	0.38440739821005404
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	7.629429282805383e-09	2.623535961201034e-08	0.3855994210881721
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	6.48230400860548e-09	2.2533804609000737e-08	0.3867996027586998
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	4.527732573150562e-09	1.918501302756755e-08	0.40671492959039496
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	7.311709252342894e-09	3.6942568608988595e-08	0.4215534459830034
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	4.794272834814799e-09	2.6127434757213523e-08	0.42720453261421415
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	6.037403459178094e-09	3.2915946461960445e-08	0.4272347122171456
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	4.650678855445052e-09	2.625815904012116e-08	0.42970955317603304
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	5.661827529723811e-09	3.270076602679958e-08	0.43127048902483384
