Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.3159095860569666e-08	5.923584097231514e-09	0.013159392349017482
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.4454768304404654e-08	6.906392767065603e-09	0.018176592160480957
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	1.6467729093401078e-08	8.526086455297897e-09	0.026713572833847614
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	1.578519164900776e-08	8.178213263317444e-09	0.026794026493739003
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	1.633973370843147e-08	9.38235521242672e-09	0.040794607150106264
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.4556218916166752e-08	8.623927947343383e-09	0.04571642740330179
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	1.3632149757345779e-08	9.1836034796187e-09	0.06885129104548525
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	2.5524834917699012e-08	1.725478888643827e-08	0.0695314256089683
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.147080557069901e-08	8.192658385273083e-09	0.08073685317313034
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	1.1381248780774679e-08	8.189748987810228e-09	0.08231083921583943
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.9495452626507994e-08	1.4322179199532678e-08	0.08672411877875646
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	1.1925635527064579e-08	8.952350779350603e-09	0.09140982899792971
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	2.1053426764337594e-08	1.6213028043208653e-08	0.097049211784901
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.252614482233088e-08	9.650761671102098e-09	0.09715334969313522
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.2341180724094649e-08	1.0306632923225579e-08	0.11557499291045131
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	1.5426676375425916e-08	1.3268134325484382e-08	0.12247842598263137
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	8.68384402365827e-09	7.751025427641942e-09	0.1312827972242988
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.1302775155266463e-08	1.089646026311834e-08	0.14980066407804526
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.0113694466525709e-08	9.884497161261945e-09	0.1531095883539068
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.072364629684429e-08	1.0487371144772974e-08	0.15326518059210387
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.0503897332060721e-08	1.0544673094775237e-08	0.15959275265131045
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	1.1150725095305254e-08	1.1570436111349167e-08	0.16759176645875773
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	1.035239681640704e-08	1.1072622031071425e-08	0.1749058970038765
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	9.937975852877468e-09	1.1968139492967135e-08	0.20316500309425278
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	7.411542597552177e-09	9.272305523290799e-09	0.2120523377992336
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	5.8394402697411136e-09	7.92648972337936e-09	0.23065258411938405
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	5.933498806213534e-09	8.593991981879664e-09	0.24496377637521272
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	8.934019503770022e-09	1.3000817222701679e-08	0.24598179539230886
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	5.048095902177191e-09	7.455143402220716e-09	0.24916196568776755
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	6.574346631442915e-09	9.770220347144343e-09	0.25050658398032777
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	5.628580188969218e-09	8.599141604839439e-09	0.2563783112492778
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	5.780731291822755e-09	8.921694014010964e-09	0.2585115574115272
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	4.709121943489693e-09	8.28093672434691e-09	0.28478998737077327
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	5.3566131178479085e-09	9.666324569456903e-09	0.28973741167574707
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	5.627367132842702e-09	1.130375061439353e-08	0.30930128083075514
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	7.609357586905392e-09	1.7287419074233692e-08	0.32990794958937225
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	3.487849430574186e-09	8.999170084685364e-09	0.3491654473251412
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	4.280883217096782e-09	1.177943600792054e-08	0.3581455634064309
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	3.1538177838323383e-09	9.581749113925146e-09	0.37102174575821406
Tabula_Muris_Senis.ESmu190820__Lung.nan	4.230488336189211e-09	1.2942946369255558e-08	0.3718881478497603
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	2.634862993921707e-09	9.224605376322861e-09	0.38757914420999184
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	2.671022475309425e-09	1.0232641646856522e-08	0.3970348359228072
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	2.890363565981703e-09	1.2245902198674403e-08	0.40670585925892394
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	2.612972955615033e-09	1.4404841023863833e-08	0.42802858585486175
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	9.401653441190596e-10	7.548785546544465e-09	0.45044178951174535
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	7.202449271890938e-10	1.1207799529066674e-08	0.4743804744034734
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	4.969527409588672e-10	1.0105651616485254e-08	0.48038962840263616
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	1.677562079512403e-10	6.893575863986311e-09	0.49029263758582725
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	-9.319633700498921e-11	7.417765325047279e-09	0.505012153855704
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	-2.0996149735621597e-10	8.773665953983219e-09	0.509546126411747
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	-7.408019892958965e-10	8.970565661451215e-09	0.5329078095379484
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-7.339813058426097e-10	7.940092802516993e-09	0.5368257263036279
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	-1.0880819207305906e-09	1.050931095925635e-08	0.5412308291214822
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	-1.0380044044013456e-09	9.996183720071294e-09	0.5413518659533664
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	-1.4913787156014435e-09	1.4012039208598677e-08	0.5423815949032047
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	-1.6154617183903908e-09	1.0737962808035806e-08	0.5597928221930718
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	-2.020292808595557e-09	1.257226627091013e-08	0.5638329506044417
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	-1.2751629344449855e-09	7.769887628065621e-09	0.5651800896543504
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	-2.0731279966012977e-09	1.1518765684153815e-08	0.5714152024039794
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	-2.524451212920409e-09	1.3553439892375484e-08	0.5738792014080558
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	-1.7149438525547327e-09	9.088796113649497e-09	0.5748311959573023
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	-2.375110870403072e-09	1.2285353546098229e-08	0.57664920668785
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	-1.3506932157805539e-09	6.893582159659297e-09	0.5776694332433663
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	-1.7843574835329572e-09	8.135397916117034e-09	0.58680449189619
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	-2.300505791040469e-09	1.0291251987928588e-08	0.5884423467854966
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	-2.6589348748309623e-09	1.159319930314076e-08	0.590702712931526
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	-2.0084959690845244e-09	8.755601787731187e-09	0.5907192474643129
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	-3.174274249255545e-09	1.2656291258210201e-08	0.5990179629256989
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	-3.679135523582068e-09	1.3772078728496049e-08	0.6053210591613766
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	-2.1761122079291206e-09	6.798000657772133e-09	0.625557762483426
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	-2.4324080064307255e-09	7.315334569202921e-09	0.630247188207893
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	-3.815416405280339e-09	1.1231211516518093e-08	0.632964598299848
Tabula_Muris_Senis.ESmu190820__Marrow.nan	-4.04285350626862e-09	1.0760108053776318e-08	0.6464397363519132
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	-5.556323583687036e-09	1.2669771769683101e-08	0.6695060453780495
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	-3.6876903571166565e-09	8.123044385003628e-09	0.6750779755808846
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	-3.2905172544523157e-09	6.914255416335896e-09	0.6829283791347182
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	-4.46125127656185e-09	9.255413182207537e-09	0.6851024810228262
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	-4.2726471530848465e-09	8.382312441993656e-09	0.6948768012507469
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	-8.236253738904187e-09	1.4318754862220112e-08	0.7174244802661476
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	-5.371797994340315e-09	9.330137000177694e-09	0.7176068847500998
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	-1.0591764741531648e-08	1.7979233534135168e-08	0.7221066018185333
Tabula_Muris_Senis.ESmu190820__Thymus.nan	-8.791032071317391e-09	1.4149424951596211e-08	0.732798741780326
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	-8.82988695577586e-09	1.368869081894779e-08	0.740552535509423
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	-8.240637924069763e-09	1.2577986405903275e-08	0.7438187625131419
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-9.873141263647949e-09	1.4842642868030384e-08	0.7470347291221755
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	-8.285490779039464e-09	1.2222418787120728e-08	0.7510801954130233
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	-8.173842978752305e-09	1.1811818750861543e-08	0.755533047551561
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	-6.70819627134255e-09	9.652745792357603e-09	0.7564573498876054
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	-8.026042466822959e-09	1.1213377014441067e-08	0.7629290034181975
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	-7.15505466623929e-09	9.070977698304045e-09	0.784881274508103
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-1.0424997667376182e-08	1.2572881479851903e-08	0.7964945753814782
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	-1.1184736120492994e-08	1.304021812340269e-08	0.8044739167975504
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	-1.0516799402146626e-08	1.1800130125634302e-08	0.8136009540444802
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	-7.0068609540450594e-09	7.71346082624772e-09	0.8181649328441906
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	-7.89551370536047e-09	8.682951844614557e-09	0.8184073134172747
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	-1.010308103737522e-08	1.089737975201174e-08	0.8230655567546591
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	-7.309683448605786e-09	7.830225339667892e-09	0.8247246040976182
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	-1.0073293426129249e-08	1.0419945928872302e-08	0.8331609453403376
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	-7.62210553487619e-09	7.74976439005556e-09	0.837326028902073
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	-7.94363734071384e-09	7.98854147363674e-09	0.8399807895481246
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	-6.551041163895756e-09	6.506955958634882e-09	0.8429785658376825
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	-1.0638111944175074e-08	1.0163853905757828e-08	0.8523720771076149
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	-1.2467761711815934e-08	1.1381295043659937e-08	0.863342578383999
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	-1.1025835452713884e-08	9.995998122186688e-09	0.8649918375182257
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	-1.569523630925141e-08	1.3930076870277372e-08	0.8700686488077181
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	-1.0598157332525722e-08	9.276605605277506e-09	0.8733687136031596
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	-1.007924752257599e-08	8.793198155886258e-09	0.8741551757160768
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	-9.96115988502599e-09	8.608904087081165e-09	0.8763794293649998
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-1.3205424004321374e-08	1.1098522802224223e-08	0.88294460737631
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	-1.477469584282212e-08	1.1863152516606504e-08	0.8935126666886357
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	-1.2525096757503274e-08	1.0025013505763174e-08	0.8942377675136144
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	-9.808356872211088e-09	7.199393213482615e-09	0.9134620454665797
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	-1.346093307350721e-08	9.678571120978353e-09	0.9178565879796377
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	-1.9282037705968195e-08	1.2930509695130417e-08	0.9320461288335935
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	-1.782666557253178e-08	1.1831351500462448e-08	0.9340602051301043
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	-2.0526863355023853e-08	1.3513841593042534e-08	0.9356125862804824
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	-1.2544693826016275e-08	8.036059824199934e-09	0.9407440617042728
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	-1.5554289024190213e-08	9.51957148491082e-09	0.9488629559128295
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	-1.32440188739682e-08	8.070292898466754e-09	0.9496098857817432
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	-1.5374587436845742e-08	8.812993938614368e-09	0.9594671873428144
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	-1.7106773181647042e-08	9.446441193006106e-09	0.9649235777247308
