Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	6.008837365941243e-08	9.462609726233363e-09	1.0759817381640839e-10
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	6.009697900289766e-08	1.141205572424354e-08	6.967778196774336e-08
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	3.6804034929207426e-08	1.040774639585703e-08	0.0002029516586743512
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	4.00905725443047e-08	1.1505313207193614e-08	0.0002465040169567481
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	3.7476743908746166e-08	1.1233241336033147e-08	0.00042460523702066085
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	5.3460097185386863e-08	1.6118610734353552e-08	0.0004554873003843912
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	3.713818946593066e-08	1.128507458628147e-08	0.0004993154097981537
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	3.441380492296148e-08	1.0871261224688199e-08	0.0007738807955723085
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.5211220666665878e-08	8.410124945807087e-09	0.0013600261773184501
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	3.5949343195872974e-08	1.202247502957976e-08	0.0013940735141836423
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	3.3238663006528585e-08	1.1171812900176073e-08	0.0014638660548018198
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	3.109474018612623e-08	1.137651321974077e-08	0.003135731463669977
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	3.8921868394580723e-08	1.4529826267462474e-08	0.0036948041128898683
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	3.2636598114801605e-08	1.2528070015930973e-08	0.00459266889799797
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	3.11368059006925e-08	1.2630550784192312e-08	0.0068468818382683705
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	3.368199203593957e-08	1.3850587909571342e-08	0.007511802169126843
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	5.408301545839301e-08	2.2495329340510934e-08	0.008104203280100657
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	3.5289199126971754e-08	1.518404540167566e-08	0.01006013950274584
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	3.9842280312799146e-08	1.726213523177471e-08	0.010497518879558718
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	2.3664326198487405e-08	1.075823622236761e-08	0.013915961158292902
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	5.288173428935495e-08	2.4059313400676976e-08	0.013975495726262768
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	2.151332742488032e-08	1.0161615752987076e-08	0.017124968111413973
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	2.5452404075757027e-08	1.2118756198869526e-08	0.017853476995756727
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.7205690175377092e-08	1.3280553276712318e-08	0.020253759027054608
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	3.805582823797031e-08	1.9488394660743795e-08	0.02542502182082221
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	3.2610375417066406e-08	1.6740465537614226e-08	0.025707665450354248
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	5.023681968242099e-08	2.6007166173419533e-08	0.026701176831434557
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	3.503892283017658e-08	1.8161068096821254e-08	0.026844170574308778
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	2.462804138451089e-08	1.3013484884637535e-08	0.029212088192819893
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	3.383146359616107e-08	1.818926741190735e-08	0.0314449945890587
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	2.7139679966336387e-08	1.4634954532696086e-08	0.031837947955514395
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	2.447329418440294e-08	1.3457332435761398e-08	0.034487433480947446
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	1.8506364064453974e-08	1.0612869883877337e-08	0.04059993099543538
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	3.139883983731573e-08	1.8011060437051247e-08	0.040639846064690864
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.761097427393576e-08	1.01450557325978e-08	0.04128925953966116
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	3.1650522110010776e-08	1.8325333032099988e-08	0.04207074033945365
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	3.2869834375283006e-08	1.9099428192198858e-08	0.0426267494186835
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	3.146783389742712e-08	1.838707773677798e-08	0.04350270020265884
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	2.6710279591484336e-08	1.563320759337279e-08	0.043766203590720566
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	2.6200881463977397e-08	1.5540750049313143e-08	0.04590300071483762
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	2.2860178082628962e-08	1.3810790052013778e-08	0.048937868432648454
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	3.0037478651358986e-08	1.82762555162667e-08	0.050137202321875046
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.8684990095574438e-08	1.1889454681460369e-08	0.05802632732995391
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	2.378496185235452e-08	1.517421872579736e-08	0.05850375091570622
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	1.8931207323835994e-08	1.2152618555929938e-08	0.05964171706242753
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	2.348286651345446e-08	1.5407106319672862e-08	0.0637346059670666
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	2.330246750975725e-08	1.5737891505972375e-08	0.0693485899525572
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	2.0152706306327984e-08	1.36473609587579e-08	0.06988149090091915
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	2.2400174985909463e-08	1.5786527086244077e-08	0.0779578830361914
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	2.246121146683641e-08	1.5854873583912146e-08	0.07828890698545786
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	2.7769984094258562e-08	1.9844699534152393e-08	0.08085173214565733
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	1.9339762308033424e-08	1.47730601762702e-08	0.09524623639684632
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.4688739360019659e-08	1.143766868182734e-08	0.0995285726090302
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	2.26054661391027e-08	1.7643577415387925e-08	0.10005659066031886
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	1.3900309610264216e-08	1.0945432164870588e-08	0.10204864890853965
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	1.2402434466840217e-08	1.0192990762227778e-08	0.11184756568695448
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	2.1090226539779764e-08	1.7441828765224424e-08	0.11329777437965743
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	1.5572570669482704e-08	1.479082513838571e-08	0.1462040911405843
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	1.8332743045906072e-08	1.8958494277915856e-08	0.16677361108278893
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	1.1734547874892877e-08	1.2363241958920544e-08	0.17127264145431798
Tabula_Muris_Senis.ESmu190820__Lung.nan	1.5599379665926842e-08	1.6750014112169128e-08	0.17584778816081925
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	8.570034349299873e-09	1.0688299879563063e-08	0.21133012065512613
Tabula_Muris_Senis.ESmu190820__Marrow.nan	1.3424762240088038e-08	1.710964756695189e-08	0.2163349340105331
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	1.2086516085538772e-08	1.6654589713844194e-08	0.23400619048055882
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	6.3341523345895206e-09	9.590040803550241e-09	0.25446883770017587
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	1.3313956233237509e-08	2.0785869371572505e-08	0.2609143066076447
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	6.7006961194785126e-09	1.049613390455118e-08	0.2616077742474369
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.0960437279409697e-08	1.7976953806372624e-08	0.27103233117427217
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.0167626500363948e-08	1.7146875097726712e-08	0.27659975662907726
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.0924841732285279e-08	1.903270395034259e-08	0.2829826621893109
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	6.952489262039409e-09	1.2405676010353196e-08	0.28759373942382427
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	7.170375566787317e-09	1.2925093036666258e-08	0.28952806674151393
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	9.474182393801034e-09	1.7080135713734957e-08	0.28955332030745645
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	9.61394412919341e-09	1.8122229508488402e-08	0.29788071577937925
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	9.160581005598528e-09	1.7295005061215675e-08	0.29817166533097783
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	8.262985084814939e-09	1.62121046700094e-08	0.3051378425937921
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	6.899739662898874e-09	1.402849460117694e-08	0.3114171134175865
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	6.420694211179274e-09	1.4078201322823149e-08	0.3241685714232573
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	5.086608922297557e-09	1.3978539338922573e-08	0.3579711915686929
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	8.433339435778697e-09	2.411343303188029e-08	0.3632683573867578
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	3.2967946987606034e-09	1.067894888017727e-08	0.3787676347753499
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	2.909882543751382e-09	9.846648152302851e-09	0.3837982962522277
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	3.346052447464381e-09	1.2043140607798627e-08	0.39056802989462874
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	3.684271968116775e-09	1.6611967306285098e-08	0.41224093779609894
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	2.0607667574388207e-09	9.299318414415506e-09	0.4123110590863568
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	2.726515390734834e-09	1.2577052286133226e-08	0.41418797867673346
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	1.949106809055221e-09	1.1356242030295682e-08	0.43186299921151505
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	1.9431262486570923e-09	1.2142147460059324e-08	0.436428124531868
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	2.0693631255596197e-09	1.2958266408745779e-08	0.4365608896127974
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	2.2087500209514384e-09	1.7512600303822818e-08	0.4498170924189309
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	-3.0325452473599523e-10	1.0105442601787703e-08	0.5119700740260561
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	-4.316379831500206e-10	1.2815929325941993e-08	0.5134337579019967
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	-1.1549289946475e-09	1.6708441795504222e-08	0.5275539377636231
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	-1.5952381373163775e-09	1.2706889029586254e-08	0.5499524461843006
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	-1.7323295608755538e-09	1.143634254687387e-08	0.560199814962189
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	-2.6405396689026746e-09	1.5712316405285512e-08	0.5667301533208062
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	-3.0444054774011776e-09	1.6751595989134894e-08	0.5721059205294554
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	-2.3687553317336834e-09	9.811972151770743e-09	0.5953831798727978
Tabula_Muris_Senis.ESmu190820__Thymus.nan	-5.479191020708403e-09	1.81861652238025e-08	0.6184008288232353
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	-3.854910004580011e-09	1.2476021384986203e-08	0.6213337307015575
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	-3.084204682897437e-09	9.812736782273498e-09	0.6233557811800162
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	-5.825383108581419e-09	1.6731591587548565e-08	0.6361425044704345
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	-4.452298298488744e-09	1.2673566065799273e-08	0.6373205584966077
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	-5.1027613684226625e-09	1.3970130787832867e-08	0.6425421717184013
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	-5.435643702233885e-09	1.332385003772723e-08	0.6583497421251066
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	-5.301632326533093e-09	1.2269568238737046e-08	0.6671642078078852
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	-5.474967927179697e-09	1.225247574434142e-08	0.6725068177417304
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	-4.684788878357628e-09	1.0428455341903887e-08	0.6733676060724588
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	-7.2465857820154455e-09	1.3512967561696582e-08	0.7041136785614177
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	-9.349363066393243e-09	1.6003671137560533e-08	0.7204575056970909
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	-8.473688641390542e-09	1.3218413080335689e-08	0.7392555137755121
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	-8.852919614704559e-09	1.2734250875680674e-08	0.7565366968190735
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	-8.905067669395165e-09	1.169365751094236e-08	0.7768296312722065
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	-1.1544703747647377e-08	1.4904289914209587e-08	0.7807088140967329
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	-1.0043972536841365e-08	1.2947113751631954e-08	0.7810573741286846
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	-8.976920444520461e-09	1.090552775787208e-08	0.7947895703471084
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	-1.5838895775759783e-08	1.8339420628140967e-08	0.8061107320796028
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-1.2465709436247786e-08	1.3373417478341656e-08	0.8243642800370725
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	-1.0564073388784963e-08	9.241243357931799e-09	0.8735106292879383
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	-1.3727649809156006e-08	1.1850358787545627e-08	0.8766529224649557
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	-1.177718798599281e-08	9.398166271651876e-09	0.894922036860754
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	-1.4324961036449568e-08	9.218382956344299e-09	0.9399025377228907
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	-1.8354259211029755e-08	1.1339365605010864e-08	0.9472367593935
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	-2.538299701040617e-08	1.416006728247447e-08	0.9634796279521797
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	-1.854536331074507e-08	1.0070213542627226e-08	0.967233581386153
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	-2.5006028665659213e-08	1.3308465346242518e-08	0.9698747895937067
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	-2.9467134112267555e-08	1.505908089498224e-08	0.9748126499450095
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	-3.4668619842429494e-08	1.5560091148994655e-08	0.987061321153788
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	-2.503600981771823e-08	1.1215814821324034e-08	0.987199326472097
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	-3.0417241752163663e-08	1.2516867238527973e-08	0.9924526757250957
