Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	8.13605354145524e-09	3.103913488031974e-09	0.004380729472100502
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	6.872427301741438e-09	2.8996609864014326e-09	0.008892128394033597
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.2209801120658875e-08	5.1781608103580765e-09	0.009188290248784281
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	7.57601034369989e-09	3.5361765993138287e-09	0.016079453522193535
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	6.828809422768116e-09	3.2240644186493857e-09	0.017084368983944682
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	5.576057852825824e-09	2.964345774641809e-09	0.029983127012440904
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	6.849446054932888e-09	3.845271146033632e-09	0.037434602802399984
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	6.082492853956824e-09	3.6199320248452963e-09	0.046451600606047846
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	7.831717868452224e-09	4.771309582326828e-09	0.05035524152767576
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	5.264814125824018e-09	3.5435981228725645e-09	0.06867587019566887
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	6.376869809583138e-09	4.427218075827603e-09	0.07488016902545387
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	6.0767118964817605e-09	4.316620714668528e-09	0.07960292978576289
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	4.3586570339816576e-09	3.2689660676898117e-09	0.09120943309944024
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	9.927196693905788e-09	7.74163428754363e-09	0.09986647082000638
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	3.949221501022241e-09	3.3099408038331063e-09	0.11640734921525986
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	4.294347822569225e-09	3.609511558261574e-09	0.11707606703655327
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	5.12614971321896e-09	4.331949685615449e-09	0.11833811051592208
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	4.258376793755174e-09	3.602371216002193e-09	0.11858225342648865
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	4.926089060704491e-09	4.397283508510731e-09	0.13130206091582947
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	3.5021218360505056e-09	3.2125617464674847e-09	0.1378271257662788
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	5.9044077486853565e-09	5.434367643090015e-09	0.13863025064405593
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	3.6915899934688214e-09	3.4902639728962013e-09	0.1451001819876418
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	4.653017178345211e-09	4.5621799080487635e-09	0.15388535134960662
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	3.352817019948691e-09	3.32202792951151e-09	0.15642302259586394
Tabula_Muris_Senis.ESmu190820__Thymus.nan	6.9453705780430045e-09	7.0375858350761036e-09	0.16184662919638332
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	5.73600960468807e-09	5.82129822761867e-09	0.16222636881688962
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	5.718105533705776e-09	6.0281671702408885e-09	0.17142107016668812
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	3.4276052350192695e-09	3.7350557582657044e-09	0.17939185998628415
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	3.139526269072361e-09	3.4407793473307452e-09	0.18076692177192227
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	2.810384155468373e-09	3.18728635766313e-09	0.1889564822251898
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	4.4544714270771124e-09	5.425967779608311e-09	0.2058361578743495
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	3.1772428179403296e-09	3.962924208678588e-09	0.21135110492234177
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	4.231306399494733e-09	5.31120040767317e-09	0.21281958544538032
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	5.2210432799431505e-09	7.166149826988809e-09	0.23313230348337882
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	3.325392188636807e-09	4.956651170958709e-09	0.25114373010493796
Tabula_Muris_Senis.ESmu190820__Lung.nan	3.083775096873355e-09	5.024172509537643e-09	0.269677825764023
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.7184618536485291e-09	3.112285978489821e-09	0.29042134648740525
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	2.600376845876119e-09	4.7172543965092525e-09	0.2907318547656669
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.3001732789820158e-09	4.1893126817734225e-09	0.2914830171291244
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	2.2944006203331442e-09	4.2328130638672956e-09	0.29389168109278474
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.1996821348434075e-09	2.371019318829324e-09	0.3064362657861514
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	1.9645149642185566e-09	4.205719297311175e-09	0.32021217000445523
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	2.002439516121997e-09	4.749240405620438e-09	0.33664622431969055
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.006935744153066e-09	2.8172927244386714e-09	0.36039149575900703
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.3697122511788255e-09	3.985161058154477e-09	0.3655347858840642
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	2.841442508350379e-10	3.121640546128436e-09	0.4637367551708295
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	1.3507163807107222e-10	3.5175907834424046e-09	0.4846848165867028
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	1.0352893471150054e-10	6.124322680198017e-09	0.49325638043003955
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	4.5933878794050904e-11	3.2689021612501374e-09	0.4943943371761139
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	3.82809321118777e-11	3.81857485012281e-09	0.4960006999590169
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	2.7937132769511187e-11	2.803099855071019e-09	0.49602400216872505
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	-2.6293921693824046e-11	3.1186046288961793e-09	0.5033635660976371
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	-5.120737688863676e-10	5.113706176648995e-09	0.539882419167175
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	-7.18731559522048e-10	3.596241140751809e-09	0.5792035278910878
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	-5.902873052640952e-10	2.9071889667015506e-09	0.5804496831572744
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	-7.984329213870933e-10	2.8579284797856814e-09	0.6100213588627464
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	-1.138409594785112e-09	3.990046883190769e-09	0.6122975684356315
