Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.5739641065424185e-08	3.224117176733245e-09	5.25488649908805e-07
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.2639718248743425e-08	3.6982595013815457e-09	0.00031570793851941423
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	9.359740165824863e-09	2.969517473047092e-09	0.0008109486750139748
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.0293641895532179e-08	3.68501468640909e-09	0.00260802858404338
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	8.244958652411686e-09	3.4049361607027535e-09	0.007728889185242063
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	7.787601400011412e-09	3.328617140572115e-09	0.009652444106286526
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	9.126995628359118e-09	3.9888609344089116e-09	0.011065243953520851
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.8913102266345674e-08	8.645507604741611e-09	0.014348575544686229
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	8.138255083996085e-09	3.866669996361269e-09	0.017657873421178298
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.077729108248273e-08	5.349546582452191e-09	0.02197236218559699
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.0824157824553595e-08	5.8181965744427075e-09	0.03141466059239748
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	5.954388682243731e-09	3.5857811875816954e-09	0.048401376032682
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.2434052577430017e-08	7.772211056206108e-09	0.05482048967008212
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	6.512216549728042e-09	4.607409412953708e-09	0.07876575354577064
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	6.298955932040602e-09	4.7432368814774145e-09	0.09209123507633715
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	4.713872465459424e-09	3.662693016523559e-09	0.09904778388366614
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	4.963504926459604e-09	3.9404450970310714e-09	0.1039013392630887
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	5.139173335098198e-09	4.306979282034684e-09	0.1163916339249571
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	3.745749145902091e-09	4.010866488110582e-09	0.1751776794456728
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	4.5022383807070034e-09	4.9153850777053384e-09	0.17984701797833824
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	4.830662634516365e-09	5.487869778128177e-09	0.18936366040279368
Tabula_Muris_Senis.ESmu190820__Thymus.nan	5.007566194856395e-09	7.069222205058606e-09	0.23936033798657397
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.8407096140365987e-09	4.34556179047783e-09	0.25665137485858075
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	2.881319895359542e-09	4.51603697049761e-09	0.2617304755732011
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	2.0296971546837184e-09	3.3052595361392993e-09	0.2695808941304468
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	3.885135711342947e-09	6.635577282960394e-09	0.27910551929981003
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	3.6278773710190528e-09	1.0229350830763457e-08	0.3614245113257147
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.1754996108512715e-09	3.561736717327619e-09	0.37068656364732977
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	3.3941176746156538e-09	1.0863057757616694e-08	0.37735084235734384
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.265930851245214e-09	4.079864966114374e-09	0.3781711912172781
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	9.850880278219663e-10	3.3503963046553464e-09	0.38437079646376066
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	1.8180357487628219e-09	6.463717160151266e-09	0.38925248839337656
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	8.692112996933825e-10	3.5672000027312534e-09	0.4037441086244866
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	9.804847134720954e-10	4.586169134963858e-09	0.41535476438669466
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	8.398906626620554e-10	4.062283553696395e-09	0.418101251889218
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	5.081762388917214e-10	4.772300712274665e-09	0.45759896107723785
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	4.801293498584911e-10	5.000441422071458e-09	0.4617533793324047
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.938886875680682e-10	4.06070760349222e-09	0.4711522322693491
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.1630364263806858e-10	3.606380566232955e-09	0.4760865618409591
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	-6.759369038736707e-11	5.255517073221186e-09	0.5051308438705178
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	-9.665135083042554e-11	4.353795322993962e-09	0.5088555250508525
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	-4.5664308105369783e-10	5.128656537844643e-09	0.5354739712639083
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	-4.549475424545823e-10	4.8835889648585616e-09	0.537111155632754
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	-5.996305941391313e-10	6.428604163758786e-09	0.5371576106930969
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	-4.661618267266321e-10	4.686109333199056e-09	0.5396203721086235
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	-4.0869184585511405e-10	3.455953249661534e-09	0.5470681218992257
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	-6.318431109161126e-10	5.323011151528781e-09	0.5472436072903144
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	-7.794581065012922e-10	6.00073749596756e-09	0.5516747429132384
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-9.294337677790566e-10	7.04937509901765e-09	0.5524470535766135
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	-8.736251423921746e-10	5.609862159456102e-09	0.5618771673786955
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	-7.425023513820382e-10	4.7172052996867296e-09	0.5625363825142301
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	-6.334957396914112e-10	3.913376302496602e-09	0.564299661007572
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	-8.4094565945806e-10	5.013267054452095e-09	0.5666076751597949
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	-6.339545001480778e-10	3.445215480822078e-09	0.5729972404800112
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	-7.02961379707716e-10	3.3253142688981737e-09	0.5837112417691417
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	-8.288980873653776e-10	3.211302112238883e-09	0.601842465478427
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	-1.0739359816522273e-09	3.3399624635667146e-09	0.6260999025797991
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-1.3923975747491117e-09	4.0526186303951064e-09	0.6344188108770948
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	-1.5843181798202875e-09	4.050366777447054e-09	0.6521583886504763
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	-1.8216479423094423e-09	4.637391078228921e-09	0.6527728267402376
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	-2.235102695691787e-09	4.782877811124349e-09	0.6798621499799645
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	-1.8890799970007385e-09	4.000327899880462e-09	0.68161914537424
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	-2.1744295455779915e-09	4.51213015801286e-09	0.685064185280266
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	-1.6908800286989659e-09	3.500634838969553e-09	0.6854595759137895
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	-1.6154601525040337e-09	3.254560387635941e-09	0.6901826576300966
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	-2.6426386953407653e-09	4.976937869185183e-09	0.7022825825083328
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	-2.5235776227897475e-09	4.6714730613474576e-09	0.7054739770960397
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	-1.8250446569684906e-09	3.342123323583647e-09	0.7074922592802572
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	-2.4424124424293883e-09	4.4522143362195304e-09	0.7083544303949204
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	-2.9035053995096058e-09	5.261159832431415e-09	0.7094831845532904
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	-2.548829342564688e-09	4.455305094256381e-09	0.716369030771009
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	-2.732222446328677e-09	4.67209694781827e-09	0.7206574693525074
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	-3.4382046151615736e-09	5.773206985584607e-09	0.7242603892666356
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	-3.753156942968863e-09	6.25038021534921e-09	0.7259030032459846
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	-1.8109495857561357e-09	2.9742902261487406e-09	0.7286939698788473
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	-2.0815168204179743e-09	3.3922907219242793e-09	0.7302608629278621
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	-2.981723771927663e-09	4.403204365402051e-09	0.7508513731690114
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	-3.6676818657152695e-09	5.343468611924157e-09	0.7537651240999783
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	-2.905909899325759e-09	4.167176730404541e-09	0.7572027933137946
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	-2.9548980451549496e-09	4.192167190360013e-09	0.7595518430087564
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	-4.18972654930532e-09	5.383551824012513e-09	0.7817879368723275
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	-2.3910129189771297e-09	3.0686461173104614e-09	0.782061738366046
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	-3.3325096716564677e-09	4.27508962365735e-09	0.7821627054085036
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	-3.212420189526128e-09	4.0809655044858965e-09	0.7844092931895836
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	-4.117544134069712e-09	4.631762105513344e-09	0.8129931006637523
Tabula_Muris_Senis.ESmu190820__Marrow.nan	-3.6995591798065713e-09	4.124924020656425e-09	0.8151083502562437
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	-3.3549719707422154e-09	3.518038451956662e-09	0.8298691927768381
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	-3.552705979618641e-09	3.6859596118747297e-09	0.8324390114726401
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	-3.6517422905085855e-09	3.6915909938435664e-09	0.8387187076312119
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-4.566177997575315e-09	4.578905271436164e-09	0.8406712428028066
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	-5.858105405408048e-09	5.720978577584e-09	0.8470750699083289
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	-3.951545136541362e-09	3.759486830467535e-09	0.8533905242578801
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	-3.107646403715806e-09	2.9237912873722193e-09	0.8560823652833232
