Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	2.1339914949467123e-08	4.1983723784903405e-09	1.8585585003900516e-07
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.8898407266140937e-08	4.978498799918057e-09	7.352321141757581e-05
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.2257802751667631e-08	3.965193442430691e-09	0.000996241421368547
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.3283314983742251e-08	4.855497149440142e-09	0.003112131345727783
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	1.0908803458360731e-08	4.508254144923435e-09	0.007765801164772649
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	1.2862435404352525e-08	5.378448621318691e-09	0.008390370934871825
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.5695397575881842e-08	6.600433192688577e-09	0.008704959893150172
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.09001155079325e-08	1.0259152616225209e-08	0.02081417298911108
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	9.400019699386931e-09	4.71936643225075e-09	0.02319667012922973
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.3529128831993374e-08	7.172021220106462e-09	0.02962215094878076
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	9.160127088369586e-09	5.065769544602033e-09	0.0352845783045862
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	8.483615259166135e-09	4.794135777590853e-09	0.03839841924218214
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	9.380886340815495e-09	5.787358870495091e-09	0.05251664611200596
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.4004895510190854e-08	9.233863104382972e-09	0.0646726536559827
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	7.515345048133642e-09	6.220484483323832e-09	0.1134927226456578
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	6.751213489289913e-09	5.777931362538996e-09	0.12131301148156054
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	5.231934879831312e-09	4.778959872680414e-09	0.1368053603333939
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	5.106079757239057e-09	5.4414057752069495e-09	0.1740258355420014
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	4.818283343796339e-09	5.588244979080391e-09	0.194283884833225
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	4.705237544900214e-09	5.503999060666377e-09	0.19630985675776647
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	5.053700011894485e-09	6.0143958696739554e-09	0.20037927353888446
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	5.415328816010194e-09	7.135634889936643e-09	0.22395218626860763
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	4.5686371780752945e-09	6.262599686477596e-09	0.2328444820133867
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	3.6829498575901666e-09	5.325040935630586e-09	0.24458534233499102
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	3.2054928029077735e-09	4.8582370175877514e-09	0.254689240922381
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	2.5461510813665067e-09	4.699878758600841e-09	0.2939959737430107
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	2.3256993940543864e-09	4.338760520261032e-09	0.2959694188095714
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.5524619318139304e-09	5.489406475817197e-09	0.3209730390151125
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	5.517152930742903e-09	1.2174534865663866e-08	0.3252126056632576
Tabula_Muris_Senis.ESmu190820__Thymus.nan	3.1039159274355528e-09	9.262059186289145e-09	0.3687666865681546
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.6804163836753842e-09	5.45576917727349e-09	0.37903841321438436
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.385177254054843e-09	4.582779568224551e-09	0.38122807343071896
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	3.6399365608708935e-09	1.27527476684045e-08	0.3876597721073594
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.3635818908527956e-09	5.209061717124661e-09	0.39674895502638907
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	1.9646364700701583e-09	7.977317784850216e-09	0.40273358739859716
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.0588229318510523e-09	4.9258896677618244e-09	0.41490291747363905
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.410747010468148e-09	6.931458257537544e-09	0.419361115207203
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	1.2339957715501105e-09	7.2904555192872544e-09	0.4327953528312999
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	7.405123714968052e-10	5.994319592711204e-09	0.45084145943927395
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	8.082175277301333e-10	6.7967232837982895e-09	0.45267221274380376
