Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.516962887777619e-08	3.5214048710606087e-09	8.243038620551163e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.2412387022959395e-08	3.861291944073654e-09	0.0006532039556166682
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	8.859598903706066e-09	3.3109181926807505e-09	0.00372673640163683
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	9.658118609601116e-09	3.871118322647963e-09	0.006299331178915166
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	9.665813112408394e-09	4.130477616245458e-09	0.00963877343422686
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	7.50062283394505e-09	3.6078855009451567e-09	0.01881085506499734
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.9320515450235273e-08	9.857318825693331e-09	0.024996884016909277
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.1702759324397272e-08	5.99023552413701e-09	0.02537194682895365
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	7.120791395257867e-09	3.8109457143820316e-09	0.030845486526577773
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	7.721867031560221e-09	4.628958913104021e-09	0.047641492947456926
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.1866121292078418e-08	7.204557253864393e-09	0.04977594898931381
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	6.91527126514979e-09	4.270482941754052e-09	0.05268939540565429
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	5.559919058273699e-09	3.723584915992293e-09	0.06769726818458818
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.2336130464154205e-08	9.060522152071603e-09	0.08667386628675439
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	5.015346364909368e-09	3.742247386472725e-09	0.09009075564463265
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	5.20631189217286e-09	4.492740171052533e-09	0.12326320603567376
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	5.528124279627761e-09	4.944580364246376e-09	0.13177989343877095
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	4.81194428667531e-09	4.808242341073275e-09	0.15846902837026894
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.0843376759440605e-09	4.26061021409495e-09	0.16887324299825773
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	3.740999272576602e-09	4.7815928003805e-09	0.21699707362991305
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	5.880749281352327e-09	7.613101493552442e-09	0.2199236236733485
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	3.7399075569678355e-09	7.141318268855704e-09	0.30024364777605783
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.869408945628484e-09	4.0867327020918815e-09	0.3236797009505794
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	1.6321507651023386e-09	3.74391072517574e-09	0.3314371929603198
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.178274246423073e-09	5.272087518595935e-09	0.339740626895792
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.7484724151287655e-09	4.6405898072523515e-09	0.353169274163878
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.4092205482453673e-09	3.7473275942864755e-09	0.353436092448426
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	4.505024925494349e-09	1.2710432812962564e-08	0.361506375543613
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	1.2302420818654282e-09	3.731438054961477e-09	0.37081464776823836
Tabula_Muris_Senis.ESmu190820__Thymus.nan	3.0386373909851356e-09	9.524162158671205e-09	0.374846151892003
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	3.521648423346703e-09	1.1255496358003476e-08	0.3771849470470485
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.494682871764539e-09	6.389701854382399e-09	0.4075233113776917
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	4.02476905382823e-10	4.377258030817924e-09	0.4633699691093664
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	3.538646698251579e-10	4.254372773774274e-09	0.46685552130628366
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	6.11028909579448e-10	8.263854433224712e-09	0.47052908722859016
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	2.8872477624854066e-10	4.6283048985297085e-09	0.4751291544598205
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	3.1677556367099637e-10	5.488534630773299e-09	0.47698747526622853
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	2.4098731707831967e-10	4.565957689440144e-09	0.4789539413654879
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	-5.928957889371412e-11	6.175354767123902e-09	0.5038301858463676
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	-5.8005366000816946e-11	4.163528195931243e-09	0.5055577969782192
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	-1.2199493476659879e-10	5.561823942652197e-09	0.5087498338126618
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	-1.0148629125300647e-10	4.461107410041108e-09	0.5090748051638728
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	-3.48616814783296e-10	4.223526999906277e-09	0.5328919934644519
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	-5.196230431636181e-10	5.2180906001527e-09	0.5396615383037658
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	-7.102531700119754e-10	6.1118337356586944e-09	0.5462567478556513
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	-6.166974078660693e-10	4.266077926723253e-09	0.5574702287221107
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	-6.733439443659334e-10	4.2696214731871245e-09	0.5626556734179551
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	-1.0799559566385471e-09	5.798116826699566e-09	0.573879476263443
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	-6.980644952553141e-10	3.3353675302773774e-09	0.5828897059233009
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	-1.2166810640816398e-09	5.575186578285793e-09	0.5863756099101699
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	-1.5396575665923051e-09	5.591458924265591e-09	0.6084797131817924
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	-1.2240045122069383e-09	4.431533170745591e-09	0.6088040755700169
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	-1.996220774408707e-09	7.113979305453611e-09	0.6104934504826156
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	-1.065330208953045e-09	3.764845275989635e-09	0.6113992625376394
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	-1.5271866727574252e-09	4.94591795195652e-09	0.6212544911817897
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	-1.1069985326789502e-09	3.552122548107593e-09	0.6223445457007546
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	-1.4496854160325118e-09	3.7080148868140166e-09	0.6520865902378891
