Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.2559157663297893e-08	2.7373884049995728e-09	2.2374862319009643e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.1347875257011748e-08	3.1112158034107496e-09	0.00013244925109513576
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	7.236275491739234e-09	2.727637569652394e-09	0.003989630401920283
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	7.858912062787093e-09	3.1124389307376305e-09	0.0057848945646975835
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	7.990727953310455e-09	3.307548178819009e-09	0.007848040378654072
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.0389794708080175e-08	4.621462573736092e-09	0.012282943548070347
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	6.0618502267421364e-09	2.9876412629098866e-09	0.02123040481016806
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.4448623147666622e-08	7.3845207702226625e-09	0.025196701363342535
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	5.8762228419243696e-09	3.029638318166704e-09	0.026215437878678815
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	9.074861574134498e-09	5.4322154067492225e-09	0.04740394912393079
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	5.7473727800405006e-09	3.4486146821067628e-09	0.04779953615192506
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	6.1834750908570245e-09	3.80480169786448e-09	0.05206245615168855
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	9.770903061069172e-09	6.9004487977654565e-09	0.07839056189374802
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	4.30162277477353e-09	3.0970511377617703e-09	0.08242527367128716
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	3.937044933040559e-09	3.039631464275964e-09	0.09761914053809106
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	4.081567857671435e-09	3.6755463316822643e-09	0.13339921627088303
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	3.7604201324018245e-09	4.0086436220939605e-09	0.17410218004281508
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	3.079477646998839e-09	3.785386718022971e-09	0.20796076090388327
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	3.009302316145519e-09	3.728745014083742e-09	0.20981739757553247
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.6223164274145574e-09	3.403673585124793e-09	0.22052032475156308
