Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.5828052599155526e-08	3.398135777484985e-09	1.5975397096945443e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.3712733598751167e-08	4.203412043283106e-09	0.0005525872864565487
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.0231437962251905e-08	3.5211992277534328e-09	0.001832346899115204
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.1554230990485396e-08	4.250242357158602e-09	0.0032790560527036937
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	1.2225616645767405e-08	4.685292169301557e-09	0.004535580222737662
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.933462592158771e-08	8.559008610291297e-09	0.011942326664613409
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	8.230477224387045e-09	3.799363790495992e-09	0.015144984646660857
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.2676605279446406e-08	6.001050359446082e-09	0.01732617389865573
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.2779053975171875e-08	6.177210517863607e-09	0.01928515842816466
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	7.526701505793653e-09	3.98109386932552e-09	0.02933811779922865
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	6.8082051837539715e-09	3.92325681283425e-09	0.04133983322840501
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.2399119382984398e-08	7.4008507001417225e-09	0.04693141041857577
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	7.63587457971289e-09	4.645285156832874e-09	0.050109765110616905
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	6.066757429404338e-09	4.064762293330501e-09	0.06778084582748727
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	6.5875343893388195e-09	4.517708100909863e-09	0.0723984322568763
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	9.338786632098401e-09	7.398383485314643e-09	0.10342511624974593
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	6.594604554006069e-09	5.40323582292518e-09	0.11113926425977078
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	4.360912993847793e-09	3.945049832992885e-09	0.13449013777660446
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	4.7228275477920365e-09	5.228636434882565e-09	0.18319348320926626
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	3.772882629234548e-09	4.20556062837905e-09	0.18482807319325095
Tabula_Muris_Senis.ESmu190820__Thymus.nan	6.159433304213683e-09	7.657700793384595e-09	0.21059887936652005
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	3.3705578199884614e-09	4.2366669329400995e-09	0.2131415050714871
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	3.516674888773715e-09	4.711961058237451e-09	0.22773423941539683
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	3.779318159902339e-09	5.31012595657215e-09	0.23831936344328475
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	4.674353599627821e-09	7.286632185960753e-09	0.2605998740440201
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	3.6019824425793304e-09	5.655091874581182e-09	0.262080337780912
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	2.044702205715435e-09	3.900377383173864e-09	0.3000586316028987
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.9042508287313544e-09	4.007599877070842e-09	0.3173364968699893
