Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.611032212081004e-08	3.7049653230368453e-09	6.859661885580953e-06
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	9.740682915774294e-09	3.4051890475087603e-09	0.0021145942566249618
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.1686949315414068e-08	4.200053954840128e-09	0.002696501249502951
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	1.0061493588664388e-08	4.063498497011573e-09	0.006641936679454272
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.0256198517284986e-08	4.4097521639139206e-09	0.010014629877061785
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	8.310581431142152e-09	3.8377117563544165e-09	0.015174542026543716
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.138823352166922e-08	5.639479808481254e-09	0.02172404625099881
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	1.0681804108625943e-08	5.386413996837878e-09	0.023678062805786337
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.59005931020412e-08	8.244783233476475e-09	0.02689249861258386
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	7.646203762643395e-09	3.978431614745554e-09	0.027308284515449557
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	7.031564329959692e-09	5.0000730440008025e-09	0.07981866960737055
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	7.901045372709573e-09	5.6603836832813396e-09	0.08137986670594854
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	5.6806799189791805e-09	4.426381110471288e-09	0.09968142966503235
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	9.001991588201699e-09	7.389792347192672e-09	0.1115805050509493
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	7.046299385314485e-09	5.955747068864606e-09	0.11838292826160263
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	5.208755238964623e-09	5.059612921991821e-09	0.15162778619033468
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	5.250655424997872e-09	5.567846916496659e-09	0.17283237735303741
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.515518829968973e-09	5.0120619640877365e-09	0.18381267178352123
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	4.141574989472223e-09	4.662373306792115e-09	0.1871903468580382
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	5.2288910548126824e-09	6.355335863804235e-09	0.20532336610525653
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	5.261044047289147e-09	6.438369206890212e-09	0.20692443350044926
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	2.9324350658782157e-09	4.0761319974662104e-09	0.23594228377698945
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	2.837775369477118e-09	4.10743183905427e-09	0.2448179638416479
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	4.403803181639316e-09	6.45271238542177e-09	0.24746989606131076
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	3.4850945204432355e-09	5.231042870670954e-09	0.25263102215427813
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	4.0056095684815914e-09	6.27842858909811e-09	0.26173828491672246
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	3.961639577535134e-09	6.3240910118655594e-09	0.26551443404572816
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.1239046072748602e-09	4.046269101377022e-09	0.2998248121723486
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	1.9797014472247984e-09	4.265183097815324e-09	0.32126873698117586
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	2.1132577119171624e-09	4.640442791387057e-09	0.3244107426216706
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.885496358923979e-09	4.318377952055894e-09	0.3311929590528828
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	1.4842778468537347e-09	3.5752951045692977e-09	0.33901665497949385
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.6670748640748142e-09	4.092623024041255e-09	0.3418804179130849
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	1.7489060386806883e-09	4.342510445951848e-09	0.34356946575913017
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	2.1607331951459458e-09	5.399671336335633e-09	0.3445192884143428
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	1.7487197230470963e-09	6.767728230314738e-09	0.3980526003976379
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.2552940148409639e-09	5.2060127232397265e-09	0.4047295505186489
Tabula_Muris_Senis.ESmu190820__Thymus.nan	1.923741093157628e-09	8.047282170005202e-09	0.40553156124490186
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	1.2291147397938123e-09	5.276385721674745e-09	0.4079015371678915
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	1.9312250034674255e-09	9.97504966284511e-09	0.4232423750063554
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	1.3341729414977931e-09	8.035006736421548e-09	0.43406075625942175
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	9.814713987624422e-10	6.512285644244259e-09	0.4401019497391311
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	9.738228163963012e-10	6.960192585159666e-09	0.44436428593946065
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	4.0415922984283725e-10	3.5690019071528224e-09	0.4549195363580153
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	8.425291623915947e-10	1.0376127811013082e-08	0.467641925553904
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	6.384588665897722e-10	8.700149219580013e-09	0.4707499492711145
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	5.714297258541739e-10	7.83238876374479e-09	0.47092005900261164
