Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	1.746338791299629e-08	5.647979856740203e-09	0.0009941625570598395
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	1.0140560383291484e-08	4.586419353891219e-09	0.013518015222673953
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	1.522347425692432e-08	7.162061016931493e-09	0.016769468779324278
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.2688384092380063e-08	6.361374149155508e-09	0.02304337149024013
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.2098096323927613e-08	6.098707346168728e-09	0.023643818616830105
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	1.0410510888382767e-08	5.981736042996313e-09	0.04089590648025685
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	7.963332515310958e-09	4.763021612855023e-09	0.04727126198135683
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	9.951940501311926e-09	6.38149059159072e-09	0.05943893251953169
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	7.512933645121195e-09	4.870648144412805e-09	0.06147709390000703
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	1.0388607999406947e-08	6.808849690403919e-09	0.06353596640685863
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	7.764428225358745e-09	5.209860026335952e-09	0.06806830184882945
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	7.772178623487225e-09	5.258660164260643e-09	0.06970697109756958
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.1749185520827618e-08	8.174632021163392e-09	0.07532008620486066
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	7.781741103885204e-09	5.539350942167253e-09	0.08003874448261966
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	7.943089532351364e-09	5.817654014745227e-09	0.0860727336235283
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	7.067587015411437e-09	5.330550109650328e-09	0.09244229619362748
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	8.116293956304096e-09	6.198817233440463e-09	0.09521138904887039
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	7.779316598992654e-09	6.213137495690568e-09	0.10527119577716115
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	5.769418686371586e-09	4.7980338671076884e-09	0.1145936909538019
Tabula_Muris_Senis.ESmu190820__Thymus.nan	9.848281283958027e-09	8.268499085575716e-09	0.11681495007166409
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	8.470087100225721e-09	7.3089141764025615e-09	0.12325442973705036
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	8.178502363829255e-09	7.0835088244148815e-09	0.12413051471759584
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	1.2007670001167992e-08	1.0499995009286623e-08	0.12639723654267737
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	8.820403026002823e-09	8.207783853749336e-09	0.1412682358041289
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	4.774557934028695e-09	4.54745335255914e-09	0.14687260904430638
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	5.390636408515778e-09	5.330525891606702e-09	0.1559420173870515
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	6.813632535967866e-09	6.765044757160364e-09	0.15692361711063457
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	4.199479092334464e-09	4.200287808611108e-09	0.15870184704859558
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	4.473504762645937e-09	4.63763266809179e-09	0.1673702070446353
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	3.428934239330792e-09	3.5784592304084417e-09	0.16897711209752286
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	5.371019872784402e-09	5.6742774838443e-09	0.17193260541914995
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	8.17636093096341e-09	8.788396563697632e-09	0.1760927052659425
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	4.687878305440577e-09	5.167551135522025e-09	0.18215686982078927
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	3.6760619276173703e-09	4.184509953528679e-09	0.18983816764280093
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	8.117372832365295e-09	9.31169512767579e-09	0.1916752420680497
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	5.335595454963451e-09	6.226910677421406e-09	0.1957609189078957
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.771209737493834e-09	5.716387704437341e-09	0.20195608339175264
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	6.2124319176971305e-09	7.64038438338019e-09	0.20807903603907396
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	4.831252242273726e-09	5.993180755815278e-09	0.2100854175641511
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	3.348190808682863e-09	4.157809362449522e-09	0.2103297480580733
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	3.7536309771682425e-09	4.820738501036208e-09	0.2180952232026387
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	3.6450868753345723e-09	4.824949701347999e-09	0.2249846241354606
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	6.0094970622222775e-09	8.098555804987321e-09	0.22902987787643447
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	5.954729088384027e-09	8.039763815816058e-09	0.2294498988887959
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	3.485216951470809e-09	4.773084788411865e-09	0.23263970520321814
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	4.122220260685057e-09	6.068142085383982e-09	0.2484670425084185
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	4.639267023800886e-09	6.937735179991572e-09	0.2518432724140425
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	2.7265281282208903e-09	4.372343702025908e-09	0.2664500684722676
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	3.286976597673183e-09	6.793148643469851e-09	0.31424033231413395
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	2.003944310214309e-09	4.348130920594795e-09	0.3224441880233613
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	2.0537898185998866e-09	4.568417324287014e-09	0.32651291068922933
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	3.796927039224534e-09	8.580309350062345e-09	0.32905780653724714
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.0864476610389635e-09	5.179165926874758e-09	0.34352782004109406
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	2.914959617059971e-09	7.360758204860741e-09	0.34604753467172045
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	3.2843673414033637e-09	8.348042693485142e-09	0.34700109473910823
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	2.8674747393523902e-09	7.411580289237387e-09	0.34941840071497865
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.8212349931234075e-09	4.715911166164734e-09	0.34967819475784073
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	3.039652878268995e-09	8.066052471210453e-09	0.3531443368604102
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	2.151676480613797e-09	5.750054315968068e-09	0.35412736379819126
Tabula_Muris_Senis.ESmu190820__Marrow.nan	1.8024900139821472e-09	7.043008326813962e-09	0.3990039305880691
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	1.1036992501774706e-09	4.683624256141765e-09	0.40685187109666154
Tabula_Muris_Senis.ESmu190820__Lung.nan	2.278509902532822e-09	9.73498446546974e-09	0.4074716141700705
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.3568624332196372e-09	5.948008684333163e-09	0.40977630018146033
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	7.201266898048796e-10	4.352302504535166e-09	0.43429144323879165
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	1.1139842628607678e-09	8.667748986680418e-09	0.4488685001977153
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	6.517107858409394e-10	5.189474695874879e-09	0.45003093508438613
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	7.769784428674536e-10	6.463089294815979e-09	0.4521553047533981
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	5.592885781006734e-10	4.76529543382656e-09	0.45328460436155366
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	6.342321842581215e-10	5.48478100975082e-09	0.4539709452865873
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	9.095245547569212e-10	1.0107558348365972e-08	0.46414972787864517
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	-4.344431713363827e-11	4.5558865224472795e-09	0.5038042019253719
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	-1.2636520661719248e-10	5.566915881300175e-09	0.50905494098653
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-3.2198442224272384e-10	8.855853867265794e-09	0.5145016964090919
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	-6.13641038375592e-10	5.884672456412484e-09	0.5415255755414481
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	-9.156392124818418e-10	7.718677273475566e-09	0.5472143417262021
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	-1.1589842657981976e-09	8.500619156677064e-09	0.5542242061559883
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	-6.494034888252791e-10	4.7397470165722296e-09	0.554489450977292
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-1.2195712968707687e-09	7.78087168596063e-09	0.5622749911846195
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	-1.3908174449023847e-09	8.574253133737912e-09	0.5644291991870993
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	-7.764888517559648e-10	4.251653694626057e-09	0.572456689860022
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	-1.4476510873460296e-09	6.7345547851779474e-09	0.5851002376280584
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	-1.0660127500315065e-09	4.796343246262959e-09	0.5879424298489783
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	-1.7564708835609137e-09	7.812990325428068e-09	0.5889380763440388
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	-1.9700299078286855e-09	7.552285534470691e-09	0.6028967362644474
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	-1.65821353915544e-09	6.095195605997101e-09	0.6072091952583801
