Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	1.5977240072259463e-08	5.391519380619763e-09	0.0015212939441021733
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	1.3680463972773328e-08	4.871339902424652e-09	0.0024897456896096253
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	1.2440411045032106e-08	4.472474477884507e-09	0.0027050004514878644
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	1.2731709744753255e-08	4.632380433401345e-09	0.002994196398261853
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	6.50017727520241e-09	2.3687390344884725e-09	0.0030333824667065777
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	1.404697207081209e-08	5.608428548167534e-09	0.00612918236584826
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	1.0519443877513688e-08	4.401287875394995e-09	0.00842227993025025
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	5.853194551200195e-09	2.6314610739876714e-09	0.013063677482574766
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	8.249203073062268e-09	3.753465276669767e-09	0.013983227973731981
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	7.768519182569801e-09	3.58640542014905e-09	0.015151704918032858
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	7.973793292489333e-09	3.808048135965806e-09	0.018133025609530323
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	8.314143337397117e-09	4.250878358856625e-09	0.025240541636822295
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	5.954790318464279e-09	3.590998318355603e-09	0.048633020652338856
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	5.879213784027566e-09	3.5589567142226668e-09	0.04927250836227458
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	5.774654000086174e-09	3.557100241472682e-09	0.05225023668765934
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	5.66432096518291e-09	3.5475761853787835e-09	0.05516925030348165
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	5.798686175556473e-09	3.654829461730514e-09	0.0563036877221181
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	6.698304137385517e-09	4.251269802340937e-09	0.05755891485938654
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	6.126172043333175e-09	3.894816058585028e-09	0.057870515897023474
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	5.079029836658216e-09	3.347721965078063e-09	0.06461314707130726
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	4.1780765450725734e-09	2.8011109363535365e-09	0.06790485320911373
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	5.331942690114946e-09	3.6908416043265956e-09	0.07427931475684778
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.526122077780056e-09	1.8395174473571564e-09	0.08483691965176243
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	3.191817753666237e-09	2.458380458293093e-09	0.09708497919885417
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	4.473380486696112e-09	3.596946774881161e-09	0.10681227677067529
Tabula_Muris_Senis.ESmu190820__Thymus.nan	5.4852630345086064e-09	4.892706884845905e-09	0.1311205030729654
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	6.597789772982985e-09	5.931839931486493e-09	0.13301168520763385
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	3.691782028958494e-09	3.320666179213089e-09	0.13312079396257748
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	4.283311304185654e-09	3.866409277767006e-09	0.13396834043765782
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	3.2384435506929595e-09	2.9377158402516463e-09	0.13515088721703067
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	4.734988522953166e-09	4.325817632203924e-09	0.13684856465395395
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	5.362705753561555e-09	5.2581070420448296e-09	0.15388964149424073
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	7.259291144730059e-09	7.303463749504546e-09	0.1601231601504317
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	3.4153772661852e-09	3.4846393680173767e-09	0.16351255664807024
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	2.716856504245431e-09	2.7898360645312393e-09	0.16506776733612322
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.7301432917144714e-09	2.9376737295840015e-09	0.17635243600479172
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	4.222626656531848e-09	4.5760984600737925e-09	0.17806694011382695
Tabula_Muris_Senis.ESmu190820__Lung.nan	4.292423158885739e-09	4.705124420117536e-09	0.18080886615461417
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	2.766657573842768e-09	3.2799246383096886e-09	0.1994709267746374
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	4.599040134910707e-09	5.5456710519155185e-09	0.20346656365741067
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.987809340064046e-09	2.6605222932585253e-09	0.22748649846974406
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.6353089738552326e-09	2.5885716883129794e-09	0.26377780014942726
