Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	3.308992097887023e-07	8.179256637807483e-08	2.6095725727421446e-05
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	2.941383666882148e-07	7.868112678456541e-08	9.26123441592853e-05
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	3.092184689508051e-07	9.075451956604882e-08	0.0003281694488656262
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	3.0074132741404217e-07	8.960990440173619e-08	0.00039522554250648496
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	2.514521693103231e-07	7.500042070790523e-08	0.0004001705539566427
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	1.2707160578709577e-07	3.951606832048524e-08	0.0006506462708333587
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	2.7253880546139545e-07	8.565029300250811e-08	0.0007313216769964476
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	3.7943349726388706e-07	1.2242637587873516e-07	0.0009699611848061353
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	1.9608236043996827e-07	6.330134062745413e-08	0.0009754661699262799
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.579979402105444e-07	5.211150259504351e-08	0.001215015418452633
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.8320017012305018e-07	6.055150403140822e-08	0.0012410039419977037
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	2.465143780267381e-07	8.385639224575719e-08	0.0016425407366214967
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	2.414015603812223e-07	8.892634294297836e-08	0.0033175555214665364
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	1.1457374138888605e-07	4.7743593936925735e-08	0.008202642580265682
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	1.1568039819247555e-07	4.864691343417143e-08	0.008704364926662878
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	2.1265476379436736e-07	9.017578148328547e-08	0.00918128478395406
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	9.822500826489178e-08	4.429200878042609e-08	0.013288709762449122
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	7.802375347955324e-08	3.7615086860424926e-08	0.01902723560077129
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.2526303230355947e-07	6.08012016906198e-08	0.019689400817634553
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	5.321256991003929e-08	2.6149676036439707e-08	0.02092932471026368
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.1956086630317333e-07	6.074430357708458e-08	0.02451879669620576
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	1.1003406268920844e-07	6.056390054771458e-08	0.03462188838882151
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	9.158374841868969e-08	5.109122090007386e-08	0.03652217120825533
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	6.276145758833829e-08	3.50934449265665e-08	0.036854965613328274
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	7.077248298960721e-08	4.212555900211939e-08	0.04647509266072897
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	4.842140633400507e-08	2.978594558037473e-08	0.05201248092990576
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	4.884596036741606e-08	3.08953849243514e-08	0.05693769858477245
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	9.940678905950502e-08	6.752114817799263e-08	0.07047913136275043
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	5.3347686088900914e-08	3.838778892026729e-08	0.08230930170171258
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	6.461242834728454e-08	4.828774179024869e-08	0.0904366418533763
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	7.839475975627291e-08	6.31982990706758e-08	0.10740324186650307
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	4.6385183234610633e-08	3.7484035489289344e-08	0.10795724396382378
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	2.7516439903755062e-08	2.3253031394010703e-08	0.11833552864944447
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	4.4586776060347374e-08	3.831750713832688e-08	0.12229029947862091
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	3.72946250094999e-08	3.227551085376831e-08	0.12394114038544302
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	6.955989098300703e-08	6.172545466871851e-08	0.12988732571619216
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.4938540239649085e-08	3.15970254134475e-08	0.13441648450928695
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	2.5913630946060083e-08	2.418599752957108e-08	0.14198780829714241
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	4.4963678242866185e-08	4.275434228728846e-08	0.14647431383428572
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	2.7973602816045165e-08	2.7687822977631126e-08	0.15617064207614484
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	1.0057424448033923e-07	1.0107981974381042e-07	0.1598685559977936
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	2.7773615703511282e-08	2.9509939403653837e-08	0.17331107873618262
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.365146173305799e-08	2.575495322366516e-08	0.17922392108902657
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	3.4315070690114604e-08	3.817251197376093e-08	0.18434040701709653
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	6.702004030552958e-08	7.461004092029227e-08	0.18452052951310333
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	2.9911747692412706e-08	3.441713653714702e-08	0.19239769360537234
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	2.6447336833177275e-08	3.0746608029961506e-08	0.19484742754121526
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	2.8056463878372447e-08	3.408302756598608e-08	0.20520284321522053
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	4.000166402044643e-08	5.027837122579158e-08	0.2131311738858675
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	3.5097601642114465e-08	4.577789378387386e-08	0.22163196231410015
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	2.6239148753531487e-08	3.446040971243766e-08	0.22320049252411012
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.2518101872788184e-08	3.252360282913132e-08	0.24435505828170156
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	2.3601161869861563e-08	3.4678450098358074e-08	0.24807135951930365
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	2.0747938260658483e-08	3.099736851026429e-08	0.2516376660398601
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	4.625126882501361e-08	7.206919131223996e-08	0.26051386098523943
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	1.6278218373504686e-08	2.6311942117216766e-08	0.2680692783081876
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	2.0212165884872975e-08	3.2729281593649084e-08	0.2684340113845264
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	1.6174228908261647e-08	2.821426816557615e-08	0.2832329221187676
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.594127884252191e-08	3.042599031494979e-08	0.3001614452251968
Tabula_Muris_Senis.ESmu190820__Marrow.nan	2.2074716930834793e-08	4.285272408059042e-08	0.3032311457616972
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	1.2618486377568449e-08	2.5864090099508555e-08	0.31281859711443727
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	2.4304466116125835e-08	5.667632465478625e-08	0.33402374333164103
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	8.24973181029597e-09	2.2178577839081343e-08	0.35495816005055847
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	1.3572393765670106e-08	4.141449763066149e-08	0.37156137409737733
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	1.378157223116893e-08	4.254875355474308e-08	0.3730065965898092
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	1.1940200574124367e-08	3.76547588614319e-08	0.37558510634056647
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	1.4068135604072338e-08	4.787863466960295e-08	0.38444425298699814
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	1.4356930310494396e-08	5.6155334141011374e-08	0.3991049210060298
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	4.1392796563686725e-09	2.9313030713315772e-08	0.44385220389441155
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	3.4556605460944463e-09	2.7723997449303687e-08	0.45040225948431695
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	3.8710866118213124e-09	4.5957442453035394e-08	0.4664359940222927
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.8933480781249677e-09	2.4673638071658723e-08	0.4694169149543535
Tabula_Muris_Senis.ESmu190820__Lung.nan	2.8846692134603775e-09	3.864640723721373e-08	0.4702495301423879
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	3.1009504734225946e-09	4.5556064641941344e-08	0.47286539998329735
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	8.906316918307657e-10	2.624471993361352e-08	0.4864642315417515
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	7.973940496273742e-10	3.039138674548141e-08	0.4895339522239197
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	6.881204785344427e-10	2.9428941570416868e-08	0.4906726057697417
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	-4.749195599178489e-10	4.1798889798005354e-08	0.5045326901435945
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	-8.915641946299447e-10	3.0861576958314084e-08	0.5115234936054531
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	-1.202515285713767e-09	3.187892338320277e-08	0.515045064099886
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	-4.598565178800839e-09	3.399913981911127e-08	0.5537950025468912
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	-3.781362844843781e-09	2.3924592410657137e-08	0.5627926343909226
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	-5.307074399093292e-09	3.214385170275168e-08	0.5655688875576409
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	-7.030337740646434e-09	3.6521416793903157e-08	0.5763243408240901
