Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.473613564768957e-07	4.10937365645949e-08	0.00016790673711165812
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	2.186529113809945e-07	6.153274290397592e-08	0.00019011394391100394
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	2.504670467775251e-07	7.877403480575247e-08	0.0007374852126370487
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	1.6922113817900173e-07	5.4796127638990406e-08	0.001006880760880742
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	1.5844011824848607e-07	5.167327365993303e-08	0.001084024447374465
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	2.231263721948592e-07	7.277665992534458e-08	0.0010850589438045032
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	2.3536693960017704e-07	7.749667292893412e-08	0.0011942392525402235
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.399930822049158e-07	4.891338344274647e-08	0.002104480124627034
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	1.5810027708434544e-07	5.597979684436262e-08	0.00236965789752952
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	1.6720854207962295e-07	6.123024307172848e-08	0.0031588843844649107
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	2.0248144404981337e-07	7.574909043682202e-08	0.003758202345842901
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.700596351741103e-07	6.434227800105225e-08	0.004108187050734755
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.2860219987586908e-07	5.261682520965299e-08	0.007260158312150855
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	2.167313505246135e-07	8.955858008571095e-08	0.007760352031344601
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	1.1289331820218959e-07	4.805705284943019e-08	0.009408113804791321
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.6791426103865384e-07	7.171590041975075e-08	0.009606269644177006
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	6.777546573502958e-08	2.9617735341385845e-08	0.011058847466591002
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.131818638455122e-07	5.0673295382963346e-08	0.012756007321713761
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	6.56315846842594e-08	3.006926324271629e-08	0.014529685529970566
