Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	9.473889024800548e-09	1.648174882504447e-09	4.512350416855747e-09
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	6.4232903087994065e-09	2.1930371006743363e-09	0.0017005598741804252
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	7.797973333246508e-09	2.794992478827277e-09	0.002635564246142132
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	5.314020295952481e-09	2.0098657991081964e-09	0.0040970234981881634
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	5.31166132270479e-09	2.211656150951064e-09	0.008160281565499753
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	4.149064582175869e-09	2.17040375089289e-09	0.027960188505529757
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	3.496400543231471e-09	1.9933238317836225e-09	0.03971050260007811
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	5.021884526508958e-09	3.399196878348272e-09	0.06978772799864799
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	4.011726668903723e-09	2.7535005684349816e-09	0.07256438873088698
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	3.113776785118082e-09	2.153542137786003e-09	0.0741045663450809
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	2.5853112539037255e-09	1.84598144547583e-09	0.08068066754847886
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	3.239357833810116e-09	2.4978874311055367e-09	0.09734329462929309
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	3.286160060858217e-09	2.625796003117566e-09	0.1053776979398105
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	4.520612756431215e-09	3.730557953196119e-09	0.11279844470222145
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	2.859985427834075e-09	2.3842930133896176e-09	0.11516467698181637
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	2.505664105247648e-09	2.286180949461645e-09	0.13653845074856658
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	2.1735748089561408e-09	2.1662675132543855e-09	0.15784041022063156
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	2.0678514276689227e-09	2.079704329966654e-09	0.16003825258889887
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.8922420886619775e-09	1.919180547956294e-09	0.16207549701447965
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	3.387720203337527e-09	3.450140835479159e-09	0.1630726359458653
