Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	5.5518427849933375e-09	1.11040526201529e-09	2.8689739482488603e-07
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	4.131016985677012e-09	1.6271354196443364e-09	0.0055612242545101465
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	2.676292927878951e-09	1.3052607822984506e-09	0.020163221298123528
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.067825388232411e-09	1.020873657393145e-09	0.02140572353763576
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	3.0591356258083388e-09	1.6882660923175226e-09	0.034993214187486264
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	2.715064769285774e-09	1.5166963778475416e-09	0.03671750985062032
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	2.4381455004966435e-09	1.4501632613186282e-09	0.046353265461198605
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	2.331671453634936e-09	1.6957862216900467e-09	0.08456888529949952
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	2.513585235617802e-09	1.8828616499848803e-09	0.09094122106279523
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.8054793419554856e-09	1.4540150658384838e-09	0.10716997525146454
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	2.2110293245335766e-09	2.0394010265811447e-09	0.13914776784574445
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.3469468676055095e-09	1.2764824931144089e-09	0.14566647699702095
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	2.2492626235614905e-09	2.270938317964124e-09	0.16097584264467824
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	1.7908022375702598e-09	1.8642932100434067e-09	0.16838176644090969
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.733596309943582e-09	1.8234305027849444e-09	0.17086986035821694
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.2776366269254247e-09	1.3763065000457355e-09	0.17662385763027277
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.7391747289166055e-09	3.027284420386852e-09	0.18277799333581773
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	1.8317783750188392e-09	2.30461239394911e-09	0.21335578147235484
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	1.1400009239940777e-09	1.867443820495107e-09	0.2707783590714483
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	1.2379415484988277e-09	2.323203967204489e-09	0.2970653848133257
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	8.930032237671001e-10	1.8288422907262025e-09	0.31267264360543545
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	1.009315316471283e-09	2.104812436184234e-09	0.31578172647951425
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	4.2305259381308953e-10	1.2166969759278235e-09	0.3640305706754734
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	4.941275773288209e-10	1.980465458998855e-09	0.40148673823254777
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	3.1737501712321916e-10	1.3028484107831778e-09	0.40376997401077086
