Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	3.365590110979854e-08	8.822180988866411e-09	6.811395419990293e-05
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.379771488142923e-08	9.234500191655428e-09	0.00012613724932683082
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	2.6892441851442814e-08	7.452163659608136e-09	0.00015388202767450861
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	1.6243348303081018e-08	4.51026563650192e-09	0.00015824360290194963
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	3.069685320266171e-08	8.687220449015852e-09	0.00020499806998136187
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	2.8624440246876623e-08	8.264125759997811e-09	0.00026640163339628143
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	3.01524004069957e-08	9.27079205012729e-09	0.0005721576955850741
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	2.2076483466162697e-08	7.186351205819558e-09	0.0010631424000678955
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	1.983588277309403e-08	7.108878409163248e-09	0.0026329847840958895
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	2.1998139128812374e-08	7.953629377246113e-09	0.002839177277231793
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	1.8891779529834772e-08	6.9546894651490845e-09	0.0032997189200753493
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	2.165722347791994e-08	8.336884207007138e-09	0.0046917039976160715
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	1.9292430368662494e-08	7.906006941613994e-09	0.0073390722603321945
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	2.1367004472483746e-08	8.809374945246164e-09	0.007643979291018825
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	2.9356930698131663e-08	1.3251782566965614e-08	0.013369075387679745
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	2.1976083706312642e-08	1.0029380979006976e-08	0.0142197283588794
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.1195048743679975e-08	5.466455580782771e-09	0.020282260882899635
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	1.665302924668933e-08	8.360210467951386e-09	0.02318887582053228
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	2.7753820360679825e-08	1.3995340165356488e-08	0.023679481781916412
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.7931608107418186e-08	1.0500494474415903e-08	0.043846774025553745
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.0570351262918938e-08	6.521810123833516e-09	0.05253353556254588
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	7.846430727166274e-09	4.866593202355094e-09	0.05344783371455906
Tabula_Muris_Senis.ESmu190820__Lung.nan	1.5568490087495623e-08	1.0242688581621687e-08	0.06426035320200126
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.1024933302397364e-08	7.3915081735047404e-09	0.06790628291049743
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	8.0889262279265e-09	5.4928318494663545e-09	0.0704249915553366
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	7.163970191631028e-09	6.165046978384363e-09	0.12261161813845378
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	9.088670898260175e-09	8.369359087027959e-09	0.13875147162094653
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	8.996789902973008e-09	8.78712989583017e-09	0.1529507273782696
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	5.9415265226527265e-09	5.9157166636476385e-09	0.15760185551352596
