Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	5.832492316501035e-09	1.6619557360167128e-09	0.00022454682601411852
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	5.4484795255064865e-09	2.4112288589852265e-09	0.011922183407830638
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	5.929421939636793e-09	3.8116261346606035e-09	0.05989986136204711
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	4.007989231147705e-09	2.625209957018027e-09	0.06341396684222735
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	4.316206976969469e-09	2.9992546783636326e-09	0.07506206088797529
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.949467160772829e-09	2.20685684270056e-09	0.09069272893914992
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.307169435001848e-09	1.8547841757331024e-09	0.10676784743693585
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	3.824284477385852e-09	3.2646247723154363e-09	0.12071267712271921
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	4.410268436799863e-09	3.769516550646797e-09	0.12100400360781882
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	3.4875940648631787e-09	3.0064423842391204e-09	0.12301621695303333
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	3.4934692965942076e-09	3.0143431885984637e-09	0.12323853620614195
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	3.9537366879462495e-09	3.4225453868885348e-09	0.12400353426642757
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.182439708319473e-09	2.8976015516093693e-09	0.13603646037451989
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	2.1645169512694093e-09	1.9954057577393964e-09	0.13901613637978255
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.613591484223569e-09	2.7618764208954393e-09	0.17199522794561733
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	2.305501188730061e-09	2.514766995250816e-09	0.17962760205184103
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	2.129622133764558e-09	2.367532288834851e-09	0.18419018003975068
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	2.0623126435691022e-09	2.3937389700691823e-09	0.19446911169114078
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	2.184978080813582e-09	2.574900672780859e-09	0.19806088492599594
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	2.9139333716846005e-09	3.4833978751482865e-09	0.20143110359004374
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	1.8390329625086921e-09	2.350908204643877e-09	0.21702945627421233
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	2.3793341332945622e-09	3.081416380548459e-09	0.22001102033270914
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	1.8495653093933007e-09	2.5093004013537064e-09	0.23053561821187385
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.819382427734657e-09	2.5150151808413017e-09	0.23471458906763076
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	2.0446934159873367e-09	2.9153870704461065e-09	0.2415437324437057
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	1.3474056115571347e-09	2.0196247351887128e-09	0.2523361118145412
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.539378710176039e-09	2.4671490337558927e-09	0.26633006859729585
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	1.2764002180248375e-09	2.0642717640150606e-09	0.26817906546967024
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.2573646590815838e-09	2.2808552711036167e-09	0.29072466483155646
Tabula_Muris_Senis.ESmu190820__Thymus.nan	1.8757320830795424e-09	3.4141509398948007e-09	0.29136573254909964
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	1.5114678396245006e-09	3.299312087852028e-09	0.32343453228834673
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.7966490858398069e-09	3.975716755827575e-09	0.3256684569645486
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	1.8956857395763302e-09	4.276005652751766e-09	0.3287631784997608
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	9.189898310444787e-10	2.2504352167997327e-09	0.34150435424868864
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	1.5837385700031515e-09	4.1873859572101706e-09	0.3526348748535913
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	7.909783846926792e-10	2.198964937541082e-09	0.35953392697158637
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	8.766878491798139e-10	2.502013145389271e-09	0.36302189594252965
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	1.512517951383885e-09	4.388059090246582e-09	0.36516390142466326
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	7.461651054599696e-10	2.4364471027767003e-09	0.37970665588561286
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	7.62000562660553e-10	2.513170402594438e-09	0.3808676182765007
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	8.822771183644353e-10	2.9381950544680145e-09	0.3819823248969824
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	7.381797454960061e-10	2.5911645008189855e-09	0.3878667381661971
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	7.095557989407922e-10	2.6937137957405184e-09	0.396116627000495
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	5.77644457040106e-10	2.2897073761641276e-09	0.4004128157777307
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	6.255996225246117e-10	3.205725494901602e-09	0.4226374804377935
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	5.762618862518096e-10	3.057589645014968e-09	0.4252543760426014
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	4.3184506835843213e-10	2.4058353493205466e-09	0.42877294650100317
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	5.311112700475058e-10	3.5971237691391694e-09	0.4413099414009437
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	4.305169761027364e-10	3.0026128789045703e-09	0.44299473080244234
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	4.817806648571423e-10	3.88759965597512e-09	0.4506863233263544
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.3065772253824467e-10	2.3509982958600145e-09	0.46092225737741666
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.7018450657465362e-10	2.1810303187348108e-09	0.4689023296906878
