Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.556608671539055e-08	2.544576870204445e-09	4.756984835354315e-10
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	1.349711303482547e-08	2.9789403259628905e-09	2.9374294994142355e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.3044730785682818e-08	3.2786754398556057e-09	3.465256219656518e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	1.5648032387162255e-08	3.9510154937737405e-09	3.7395088382512785e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.0838301717346294e-08	2.9590720948665494e-09	0.0001247675371308112
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.65933171516952e-08	4.870662118796301e-09	0.00032865984506691903
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	1.638661787218814e-08	5.153598674493915e-09	0.0007372760947622405
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.419167497394509e-08	4.5270291349310464e-09	0.0008596338481160228
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.1149866262508928e-08	3.6650019589317923e-09	0.0011740689517074638
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	1.376217500065055e-08	4.545666947496458e-09	0.0012327775284971163
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.22041022794081e-08	4.1952910604417695e-09	0.0018129334918062718
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	8.459511710638075e-09	3.461798931402333e-09	0.007269257159291834
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	6.448670441000116e-09	2.660622175138564e-09	0.007680687886629464
