Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.190022364103829e-08	1.3237639275519907e-09	1.2396752216365216e-19
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	9.607025232499327e-09	1.6862793720973022e-09	6.0905170911995275e-09
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	9.996617176926783e-09	2.1341425579845435e-09	1.4057062335087564e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	8.362626565012987e-09	1.8193516780909798e-09	2.148367550461099e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	9.68505497035277e-09	2.2173533164909207e-09	6.273932627054288e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	7.52492377059635e-09	1.7543897370636325e-09	8.966000166290769e-06
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	7.665241633268152e-09	2.6712730230977557e-09	0.002055549010119561
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	4.931367097292627e-09	1.802814029883845e-09	0.003115490314795804
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	6.294674649428115e-09	2.374235940197377e-09	0.004009814825880461
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	4.865656105662655e-09	1.907566387594959e-09	0.005375126653413458
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	4.706871361755788e-09	1.9096118817889866e-09	0.006853886442612209
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	6.4660170219420264e-09	2.7143439212978977e-09	0.00860557522777569
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	4.183882266700006e-09	1.7942435776745184e-09	0.009854652864823132
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	5.2458802204719444e-09	2.2503856241326064e-09	0.009873969952478275
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	3.3288331842138566e-09	1.4470545552590879e-09	0.010712219501920743
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	5.2782119121488e-09	2.296696783213546e-09	0.010775905797096504
Tabula_Muris_Senis.ESmu190820__Marrow.nan	5.541447489363169e-09	2.4461419689611557e-09	0.011744605132341435
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	7.807061359307693e-09	3.555564979393009e-09	0.014055630561102568
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	3.88943955049327e-09	1.8476472028038026e-09	0.017642304872247733
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	3.737437531495847e-09	1.9549836770944872e-09	0.027954216362711743
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	4.17736249017004e-09	2.225893131369358e-09	0.03027872261049743
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	3.512040878476688e-09	1.9925068484914906e-09	0.03898194261907955
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	5.1793990529205376e-09	2.985813999651828e-09	0.04139972306894245
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	3.5613762567162917e-09	2.3384234019182394e-09	0.06388163076820802
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	3.059204801691637e-09	2.0090046412485208e-09	0.06391106876442276
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	3.552230775317414e-09	2.438504500455316e-09	0.07259613559570866
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.533233260664556e-09	1.7523466877653848e-09	0.07414143915377466
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	2.3598052809187036e-09	1.8493348825635618e-09	0.10097260143170805
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	2.726541754583898e-09	2.1660947867104218e-09	0.10406282957940777
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.772205863821589e-09	2.2148250473349936e-09	0.1053470597853931
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	3.747418368924013e-09	3.045227433533728e-09	0.10923861872695134
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.233736083627059e-09	1.8162546410392286e-09	0.10937506141269082
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	4.068898261749393e-09	3.3791451366872084e-09	0.11427148489575822
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	2.1415440800663374e-09	1.9083917514806798e-09	0.13089462519003342
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	1.858450028020306e-09	1.6863586193045744e-09	0.1352201592990035
