Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	3.506298395249519e-08	1.0335638026165698e-08	0.0003463713691558077
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	6.067559019839494e-08	2.566560908264839e-08	0.009037419262699534
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	1.0963473132948926e-07	4.645046855416554e-08	0.009131304680074434
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	6.367166334662568e-08	2.7801552310156747e-08	0.01100429141748573
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	2.392004065178937e-08	1.1591869355337414e-08	0.019531680479204276
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	4.1406058470321727e-08	2.08834788833247e-08	0.02369944487211136
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	6.87826838722844e-08	3.5560913672307837e-08	0.026542949865448966
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	3.449112876870556e-08	1.88281470238812e-08	0.0334837687642913
Tabula_Muris_Senis.ESmu190820__Thymus.nan	5.795702908990037e-08	3.382906358423532e-08	0.043334947432455674
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.069532031548542e-08	2.3919762770715433e-08	0.04444087063512003
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.704187530684447e-08	1.6589999955687195e-08	0.0515496313716813
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	4.1007770569243276e-08	2.533850322982696e-08	0.05278847899759518
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	3.971361409962527e-08	2.637392645955996e-08	0.06606045128829714
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	3.491594950533956e-08	2.5653202575696127e-08	0.08674489107912714
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	2.3484820037089598e-08	1.8373687650463208e-08	0.10059355917368246
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	2.168634213251863e-08	1.6991778568511547e-08	0.10092749908864906
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	6.183029705905136e-08	4.873391612228552e-08	0.10226826603584194
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.5257838281899958e-08	2.139899319468385e-08	0.11893482383805054
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	2.0177324472111406e-08	1.8090036114935955e-08	0.13234309793303484
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	6.239869082370773e-08	5.631054843249899e-08	0.13390558815990183
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.9306283556439447e-08	1.7514954193819168e-08	0.13517122333912102
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	2.702455620107941e-08	2.5018110117699435e-08	0.14002662068187038
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.7304057622778025e-08	1.6337715773856086e-08	0.14476621031133835
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.1562705797599832e-08	1.0940689439091253e-08	0.14528922927637777
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	3.4287159466244715e-08	3.247000368390997e-08	0.1454922995904273
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.8098732317411716e-08	1.721911385501217e-08	0.14661004261443233
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	1.3855970674306184e-08	1.335260394427879e-08	0.14970533354022608
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	2.985746999148132e-08	2.9450194822362446e-08	0.15533210917328527
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	6.518335295437181e-08	6.833016765828133e-08	0.17005525582768655
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	2.985803353829426e-08	3.2781069682802424e-08	0.18119205980009256
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	9.8870447045086e-09	1.1066502827241075e-08	0.1858159123054139
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	9.653460709344358e-09	1.2337046512736634e-08	0.21696701604438806
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	2.1571282770404503e-08	3.105388841665507e-08	0.2436403709161611
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	8.044699980614841e-09	1.1869943711541643e-08	0.24896923274432003
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	1.373643561106921e-08	2.1239831886952296e-08	0.2589033649073938
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	1.8702941106761776e-08	2.9295350332277328e-08	0.2615978967701269
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	1.2955320173570432e-08	2.1352638496476675e-08	0.27201452914785373
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	9.396075950999415e-09	1.626032590156291e-08	0.28168172929027413
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	1.1725677978518287e-08	2.1574257259079993e-08	0.29339169218850114
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.5521471574815287e-08	2.87316061070922e-08	0.29452166088547876
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.6207913016766197e-08	3.170406407163776e-08	0.3045967258690223
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	7.1174422597112655e-09	1.4541691979674136e-08	0.3122613017969259
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	1.0281345886534198e-08	2.1562954647323934e-08	0.316750140817203
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	8.653686084355637e-09	1.8165036564755613e-08	0.3168974099435878
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	8.132194725215826e-09	1.7635709099856886e-08	0.32235592021250903
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	4.270179659997061e-09	9.897085061770412e-09	0.3330675774711923
