Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	3.4736967362853736e-08	1.4071975885022964e-08	0.0067836353940785325
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.5223886260722225e-08	1.0941715336864899e-08	0.010575016918787884
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	4.522403989131694e-08	1.9633265774024596e-08	0.010627063741917485
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	4.1030102224359033e-08	1.9076764794571403e-08	0.01574641572418972
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	4.450357120789597e-08	2.2548610790684246e-08	0.02420950163029449
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	6.768618253863045e-08	3.652481174511714e-08	0.03192998441235576
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	3.3330261992125656e-08	1.827342605904116e-08	0.034077968546993395
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.6757562765101207e-08	1.4764938899332623e-08	0.03497482253499876
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	3.302141595540415e-08	2.159532494519895e-08	0.06311980139043197
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	2.6212637519693496e-08	1.736679539430258e-08	0.06560420452925693
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	4.675929038564063e-08	3.170505767810944e-08	0.07013031351833784
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.891076154797373e-08	1.3771183789695585e-08	0.08484314935690229
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	2.313838649585955e-08	1.813024017602535e-08	0.10093682020024558
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.8164403912781914e-08	1.4400081146512415e-08	0.1035806142334717
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	3.5220688236816265e-08	2.853105361307463e-08	0.10851418042651173
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	2.0046957510318895e-08	1.6686653592928338e-08	0.11480254713463417
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	3.356731199045404e-08	2.8913826639038525e-08	0.12283248852067441
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.4433243616953501e-08	1.251218072194283e-08	0.12434534446048695
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.466542227445545e-08	2.1541833468256802e-08	0.1261043579957603
