Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.4967840652119536e-08	8.498059675730885e-09	0.001651345785123401
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.500803500932081e-08	6.975528791539751e-09	0.015717333449434
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	9.063758223061653e-09	6.2354716887863086e-09	0.07303136397870084
Tabula_Muris_Senis.ESmu190820__Thymus.nan	2.0156259258128816e-08	1.432098723703589e-08	0.07964507481894001
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	9.849669666524837e-09	7.2553041033685835e-09	0.08729819175379872
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	1.016348113858371e-08	7.509504966111267e-09	0.08796144890393304
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	1.2799420351370005e-08	1.014453339600801e-08	0.1035272684196552
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	8.924907486446517e-09	7.084107164961311e-09	0.10386186478207426
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	9.373632640052056e-09	8.058412079881238e-09	0.12237197581308723
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	7.588112319725087e-09	7.2033184638631895e-09	0.14607450674673295
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	5.490565194737671e-09	5.6338669144310045e-09	0.1648882310313724
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	1.014347947068977e-08	1.1848944247831826e-08	0.19598060972329828
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	7.56100021761815e-09	8.855961445123579e-09	0.19661478020440887
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	9.046692811578366e-09	1.088453190772686e-08	0.20294408206468662
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	7.305595013629841e-09	8.802834355176275e-09	0.20329371911159
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.1508560705057207e-08	1.386873255243842e-08	0.2033200959658138
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	5.764557341563189e-09	7.423806370628298e-09	0.2187280355835587
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	9.600615299485372e-09	1.3028366409179988e-08	0.23059129977949516
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	6.398646558013671e-09	8.92527722749442e-09	0.23671391473559017
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	5.851324331250112e-09	8.212018099673026e-09	0.23806775238967864
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	8.327079127128825e-09	1.1690879614523482e-08	0.238148367017318
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	4.798175423686398e-09	6.747030269361865e-09	0.23849450343030254
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	6.694548160939936e-09	9.427817734968516e-09	0.23882583857578027
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	8.888268244118104e-09	1.2885849148165157e-08	0.2451695144305901
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	5.1201695726914626e-09	7.567361668546333e-09	0.24932600371690078
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	3.356687244627139e-09	5.297824415050401e-09	0.2631718317079788
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	5.8004503862978395e-09	1.0465168546771972e-08	0.28969960830591257
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	4.8551442120583916e-09	8.783085441238466e-09	0.29020585357687045
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	3.091208423629379e-09	5.895209381497151e-09	0.3000142965395012
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	3.554245346955544e-09	7.678573702995809e-09	0.3217257917365439
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	3.633168359502411e-09	8.271872547153833e-09	0.33025122062494705
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	3.335212302318357e-09	7.699399683382693e-09	0.332442647757535
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	3.391649306213837e-09	7.839501919630307e-09	0.33263968283467743
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	4.232551425421876e-09	1.0609598228496067e-08	0.3449701552161202
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	3.097389164125431e-09	9.00842348275557e-09	0.36548611204221604
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.599133898676659e-09	8.554066359870747e-09	0.3806219394671283
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	2.4547422810998673e-09	8.094378832524692e-09	0.38084393565340907
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	3.5605265656395e-09	1.2369919356001021e-08	0.3867355683456571
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	2.2942104678727966e-09	8.244328596737143e-09	0.39039970512856825
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	2.194705447220645e-09	8.218251255167402e-09	0.39471432728230554
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	3.3895683555843755e-09	1.3541473353476412e-08	0.4011737501613003
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	2.0660794510957763e-09	8.657644367242663e-09	0.4056915129149825
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	2.2665606953271346e-09	9.787411353178933e-09	0.40843243995999956
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	2.32140376714743e-09	1.0287317324037513e-08	0.410734155090337
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.3731209778665715e-09	6.471289481574849e-09	0.415980726262894
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	2.1145550940284697e-09	1.0573497366431013e-08	0.4207456301877993
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	2.059358160163335e-09	1.1379156743706823e-08	0.42819307294205244
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.8713246816777823e-09	1.1069736887062208e-08	0.43287916593376574
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	1.9409021060065836e-09	1.2136995770003996e-08	0.43647354794279947
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	1.0396478006470165e-09	6.975559703510948e-09	0.44076044776900225
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	8.440401760405526e-10	7.198703855695051e-09	0.4533314050431853
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	1.639426135570513e-09	1.5098758256813412e-08	0.4567677344628556
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	9.794704558533077e-10	9.994676744395972e-09	0.46096645911957956
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	9.207318493027131e-10	1.0297759874157501e-08	0.4643776855889352
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	4.261260945053169e-10	6.65321099044789e-09	0.4744659293612698
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	3.223311018454255e-10	1.1567783918884992e-08	0.488885090938596
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	2.1986743603513037e-10	1.1419075231737405e-08	0.4923190805661631
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.876132812903734e-11	5.7039020767210725e-09	0.49868779768121985
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	-5.001196092223866e-12	8.584913352622775e-09	0.500232406359734
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	-9.557230226591355e-11	1.0244631497186562e-08	0.5037216838086922
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	-9.751522819317383e-11	6.438369058905367e-09	0.5060421295853139
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	-1.6870110539801445e-10	9.489943657492382e-09	0.5070915551812464
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	-3.262822245463163e-10	1.0717935772034714e-08	0.5121429792723797
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	-5.945782038887485e-10	8.746061045562927e-09	0.5271001769308934
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	-8.269775225031397e-10	1.0123867296854443e-08	0.5325517666819354
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	-1.098227017624768e-09	9.28536472723023e-09	0.5470751387991566
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-1.4769237022271092e-09	1.222504620736139e-08	0.5480797494859059
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	-1.318560824180038e-09	1.0208947394544314e-08	0.5513834373873563
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	-9.909393923352718e-10	7.3639290630307254e-09	0.5535227512634594
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	-1.4064383572749419e-09	9.535676847526512e-09	0.5586282486264543
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	-1.4665268233510238e-09	9.365980574921055e-09	0.5622121337945362
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	-1.783710057399952e-09	1.0029618920470831e-08	0.5705773527188047
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	-1.7882788535939093e-09	8.82096538619415e-09	0.5803271644710337
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	-1.7366021272513084e-09	8.475397343424627e-09	0.5811745594934499
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	-1.3908895432107836e-09	6.428444549936421e-09	0.5856483247250073
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	-1.5758353793911286e-09	6.549246643397231e-09	0.5950725517642771
Tabula_Muris_Senis.ESmu190820__Marrow.nan	-2.479099598271202e-09	9.7124132309693e-09	0.600735235737473
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	-2.4820037310669077e-09	8.679156836142919e-09	0.6125505646666967
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	-2.5281087439473452e-09	7.874158562679537e-09	0.6259190496275775
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	-2.7955744474531132e-09	6.821946974422557e-09	0.6590204717635204
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	-5.192286883091989e-09	1.2319930999236023e-08	0.6632882822792487
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	-4.000173017987785e-09	8.956043380683994e-09	0.67243434170411
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-4.366642232399198e-09	9.664444717849847e-09	0.6743026386003627
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	-3.98092463387719e-09	8.780982777404293e-09	0.6748543423514836
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	-3.882953378444217e-09	8.43363718199197e-09	0.6773899774851152
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	-4.804464115841785e-09	1.02768156219796e-08	0.6799307418869015
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	-3.3746428121357507e-09	7.03764030455932e-09	0.6842132802330569
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	-4.212183019990468e-09	8.62929490675379e-09	0.6872696944524517
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	-3.6051531122758742e-09	7.2367881856958726e-09	0.6908180012696798
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	-3.1355284017206272e-09	6.0795221845568155e-09	0.6969863381779485
