Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.1323545952296885e-08	8.925848666606737e-09	0.008447940763009396
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	1.4103697613836169e-08	6.6881762148670784e-09	0.01748304438051192
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	1.568712768290224e-08	9.08225792826299e-09	0.04206338688675532
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.4869908274630646e-08	8.946342784762443e-09	0.04824421240040106
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.4240451671616524e-08	8.932751182339343e-09	0.05544738118995192
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	1.8963270831235312e-08	1.2132044455148684e-08	0.05901771555453624
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	2.0057718255190585e-08	1.3043458911520805e-08	0.062053570332694534
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	9.295519973421147e-09	6.270249020768522e-09	0.06910628512745046
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	1.4967740434834976e-08	1.0183037644456097e-08	0.07079849775425076
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	9.22790959502063e-09	6.375428900255872e-09	0.0738899646117611
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	9.618642346938847e-09	7.832062923109147e-09	0.10970265787792705
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	1.6934188774442027e-08	1.3819464546938875e-08	0.1102147680484053
Tabula_Muris_Senis.ESmu190820__Thymus.nan	1.4793589112273211e-08	1.2202633597975958e-08	0.11269350755857005
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	1.4987427017027365e-08	1.2408657155440904e-08	0.1135582110253574
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	7.416527234594274e-09	6.155251467550987e-09	0.11411892386243172
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	6.817095720870988e-09	6.157441357697197e-09	0.13411859406711524
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	8.390952352906456e-09	7.952433957073985e-09	0.14568004099530074
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	7.91520817272009e-09	8.170897067271302e-09	0.16634560826347206
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	5.700051110691671e-09	6.552745127465588e-09	0.1921851125631414
