Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	1.2099672800542123e-08	4.304455632179425e-09	0.0024696602940535136
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.3971421582300752e-08	5.2202524649711535e-09	0.003721020608368359
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	2.1088177460242237e-08	7.885767814201734e-09	0.003745307199645392
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	7.149212125759404e-09	3.366613343892154e-09	0.016853393459986276
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	2.6224427012508057e-08	1.2363410336034087e-08	0.016955342002777162
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	6.634844118700529e-09	3.2033352197196565e-09	0.019168652029213418
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.1234300386740912e-08	5.453980491907651e-09	0.01970715446981817
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	1.1215487988484599e-08	5.472071292258416e-09	0.020202358935471027
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	7.55860349286901e-09	3.875572406837955e-09	0.025569039478769325
Tabula_Muris_Senis.ESmu190820__Thymus.nan	2.0479172680314923e-08	1.055734337351502e-08	0.026201781505316945
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	7.825139806257225e-09	4.1223893766137716e-09	0.028834546330488545
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	4.575928293025848e-09	2.5788614974361566e-09	0.03799861864010691
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	6.9545458535572274e-09	4.141242021917469e-09	0.04654307669812614
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	6.185521244498684e-09	3.887098401368582e-09	0.055771572012732216
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	6.855589763741122e-09	4.329386699204569e-09	0.05665361747689739
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	5.6625916411295125e-09	3.770528809793831e-09	0.06657399107964636
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	4.553896653321851e-09	3.2335969230924855e-09	0.07952011608710474
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	8.09763541145808e-09	5.879932428795615e-09	0.084230665605528
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	8.699426877357588e-09	6.3436598424388756e-09	0.08513173583384093
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	1.1092006220917032e-08	8.870193751992462e-09	0.1055619979774815
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	7.761777557583218e-09	6.584055254601472e-09	0.11922399453997595
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	5.345952325173919e-09	4.5425509124362664e-09	0.11962543745341453
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.0282364057284086e-08	8.85386771353086e-09	0.12275152343235368
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	8.282901280683624e-09	7.221393721570948e-09	0.12569187835303808
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	3.8664920071835145e-09	3.384568574903273e-09	0.12664629754636575
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	4.403850461577172e-09	3.932864460938418e-09	0.13140877490809305
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	3.232511964014943e-09	3.114235880702694e-09	0.14963987720151173
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	5.83487273439645e-09	5.795398987126318e-09	0.15701275048403945
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	3.6101224473451612e-09	3.6281679398658295e-09	0.15986174154575805
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	6.929588241390989e-09	7.275561718374585e-09	0.17043512083650453
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	4.307507055259427e-09	4.690301054357133e-09	0.1792083958790947
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	6.6786367605534455e-09	7.286832239942941e-09	0.1796931803680203
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	3.5313288419342955e-09	3.879927394980222e-09	0.1813708262052074
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	7.083918076316612e-09	7.927730311139848e-09	0.18577815886435461
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	6.8870899460496894e-09	7.739075911613909e-09	0.18675679814168
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	3.5593339843599097e-09	4.002483479139098e-09	0.1869259411427759
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	3.52012560799584e-09	4.0379351625046146e-09	0.19166862972566673
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	3.3739406510108915e-09	3.927979958475433e-09	0.195183891939692
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	2.3632584679376278e-09	2.919848796295009e-09	0.20914916300210962
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	4.5974514176203356e-09	5.688177986901265e-09	0.20947427271191343
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	4.079489467723854e-09	5.204151576381576e-09	0.21655192934028644
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	2.160683871893328e-09	2.864521604842985e-09	0.22533714724058274
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	3.1409494116964127e-09	4.165837126509377e-09	0.2254312256577536
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	3.2577356862332474e-09	4.418840184614919e-09	0.23048889773613568
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.274556651471761e-09	3.165918302516936e-09	0.23623967571951365
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	4.893885975696991e-09	7.042834993825542e-09	0.24356699814773752
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	5.263388377534324e-09	7.588870657749248e-09	0.24397697504419225
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	2.992923997991239e-09	4.427378799459332e-09	0.24951918034611958
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	3.3894367909288632e-09	5.603899584616137e-09	0.2726441881722109
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.5821841508559084e-09	5.971320332425392e-09	0.2742870504368452
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	2.2027532828181065e-09	3.744076884511344e-09	0.27815535897473365
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	3.1435418770378958e-09	5.867782563485384e-09	0.29607289414127436
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.7475162834813263e-09	3.41140839406925e-09	0.30423573623533795
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	1.3951586165500292e-09	2.8141793664043966e-09	0.31003174255187216
