Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	8.946579717870092e-08	1.67639455497521e-08	4.730107137201981e-08
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	7.130006167785383e-08	1.50395065299006e-08	1.0641113018559475e-06
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	9.58007898909357e-08	2.0657141928952455e-08	1.7618835757461078e-06
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	9.465779030250095e-08	2.1744169423161124e-08	6.7067234303230695e-06
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	6.309056026324671e-08	1.5499560158932268e-08	2.345876519961064e-05
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	1.6130339722272788e-07	3.9644284707525164e-08	2.363118826334785e-05
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	9.895509324220005e-08	2.8358479035671577e-08	0.00024202061565076346
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	7.659600986042092e-08	2.4589021240969048e-08	0.0009195712911433194
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	5.852016350523201e-08	2.5612249645456273e-08	0.011160795280229426
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	6.326774667781947e-08	2.798885720123873e-08	0.01189629775328717
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	4.056260537268035e-08	1.8825409497440774e-08	0.015593708104314891
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	4.60263815617366e-08	2.146003151153841e-08	0.015986459607677958
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	4.909645619317454e-08	2.4535356409987543e-08	0.022693542102927403
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	4.017657140291625e-08	2.1559476983150825e-08	0.031194391864471774
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	2.507702321386336e-08	1.619668842667717e-08	0.0607773413761654
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	3.5945137543717817e-08	2.32577251331413e-08	0.061111004331206364
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	3.207690476424891e-08	2.0910075417447414e-08	0.06250983174058979
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	5.1175746441378525e-08	3.428904397616086e-08	0.06778654803285927
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	3.3679918849056544e-08	2.3412929694231307e-08	0.07514357878321354
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	2.744672625202222e-08	2.0751694108124865e-08	0.09297992314483561
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	3.084758244700075e-08	2.3694837927123544e-08	0.09648053162401243
Tabula_Muris_Senis.ESmu190820__Lung.nan	3.985536293677822e-08	3.104438374008454e-08	0.09960268503599884
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.2604273587286664e-08	2.6243132525385412e-08	0.1070458727334253
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	2.751562592049355e-08	2.2596763933388212e-08	0.11167281342750174
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	2.153200586667666e-08	1.8419961121845315e-08	0.12121197250058091
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	2.901011622263822e-08	2.6071323838017472e-08	0.13291408163896928
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	3.527825737530364e-08	3.262500029401499e-08	0.13977608810226544
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	2.1210157069047194e-08	2.0365277950367827e-08	0.14882496451401434
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	3.535671908352116e-08	3.418545648870505e-08	0.1505068449214918
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.6501323671000063e-08	2.8526890113957823e-08	0.1764459714880134
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	1.165070368152344e-08	1.6293392735316503e-08	0.23728692748399516
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	1.579126812496927e-08	2.3033989726000442e-08	0.24649412701629186
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	1.4145858455119312e-08	2.1891340209379196e-08	0.25907973518172744
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	1.2216449177242815e-08	1.940760355267011e-08	0.2645216294439279
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	1.3015726656407312e-08	2.3160110059714525e-08	0.2870617632755925
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	1.1976896684959521e-08	2.474046125945034e-08	0.3141568857221304
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.0076626402733671e-08	2.239725010685457e-08	0.3263896064075046
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	1.009093305299032e-08	2.614055683458727e-08	0.3497387284102292
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	5.88103754406114e-09	1.9174196581342104e-08	0.3795296824817637
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	5.3857513700417354e-09	1.8745641714037246e-08	0.38693868706346907
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	4.617596168731723e-09	2.2854442896522435e-08	0.4199412810758076
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	4.019909298882606e-09	2.1195323933190895e-08	0.4247877066594616
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	2.298177345422686e-10	2.0622934436921575e-08	0.49555436139342923
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	-2.356536173269567e-10	3.293733001350231e-08	0.5028542504627268
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	-4.008264486903159e-09	2.6381804386250513e-08	0.5603800770351313
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	-3.9962315877328404e-09	2.455052955892165e-08	0.5646525104950039
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	-4.616347761696676e-09	2.1850556872201065e-08	0.5836613582689832
Tabula_Muris_Senis.ESmu190820__Thymus.nan	-7.914615385096515e-09	2.929784869778705e-08	0.6064749661291071
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	-9.835588530024088e-09	2.2986167077021313e-08	0.6656349899214156
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	-9.528469836653784e-09	1.6602663789856273e-08	0.7169863616935652
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	-1.4891056273372694e-08	2.3091688689137677e-08	0.740493145980197
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	-1.7085130532104538e-08	2.6394747927348394e-08	0.7412787727043436
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	-1.9156743467997524e-08	2.8881525835558845e-08	0.7464266510563404
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	-1.2813505030290991e-08	1.8488215441187363e-08	0.7558651102807667
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	-1.4745368642819382e-08	2.039765330968296e-08	0.7651279084155526
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	-1.8600685210281502e-08	2.5148421873550968e-08	0.7702396393305047
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	-1.472476483829555e-08	1.9780113450006465e-08	0.7716895954143497
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	-1.1555452231704246e-08	1.5502770880523336e-08	0.7719789235574764
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	-1.9591582362960838e-08	2.356374652773786e-08	0.7971343407867144
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	-2.4168727461458833e-08	2.788870825765445e-08	0.8069230574216719
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	-1.5363624837006036e-08	1.543659412748407e-08	0.8401982390701843
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	-1.8642657872729366e-08	1.8682814963783323e-08	0.8408240920246659
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	-1.6859310955037793e-08	1.6030470112664226e-08	0.853532332644277
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	-1.8446407617754604e-08	1.7178065029780253e-08	0.858551681994651
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	-2.4263512531992676e-08	2.1835511368888884e-08	0.8667578030618238
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	-3.175014010681037e-08	2.6801742784957368e-08	0.8819180525663419
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	-1.8942557030325524e-08	1.5794435146954795e-08	0.8847979226254898
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	-2.1779348746683436e-08	1.7980170480331616e-08	0.8871094372961467
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	-2.9128794801791865e-08	2.377921615071127e-08	0.8897064875929777
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	-2.228603797209216e-08	1.7859183211954864e-08	0.8939616810658781
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-3.065345915477001e-08	2.4303592567335832e-08	0.8963947031461389
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	-3.438186403112581e-08	2.7240444833352578e-08	0.8965548144091358
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	-2.43096583531899e-08	1.90105838466917e-08	0.8995062819082938
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	-2.8782898395275943e-08	2.225422354041814e-08	0.9020580768294363
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	-3.0750434580105145e-08	2.3763155406691305e-08	0.9021739139724183
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	-2.701235191761095e-08	1.9239302537837134e-08	0.9198434474879974
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	-3.0970857352945266e-08	2.145609058990698e-08	0.9255535419644534
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	-2.8569457510174217e-08	1.92155617639406e-08	0.9314645312784995
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-3.54335949780724e-08	2.3023119436997316e-08	0.9381032286517741
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	-3.781670000255219e-08	2.4372802982689002e-08	0.9396203253474344
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	-2.560026615191457e-08	1.649795165239655e-08	0.939635851229144
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	-3.475218893302979e-08	2.2366217021949393e-08	0.9398815926162047
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	-1.927992558526156e-08	1.2386654623718135e-08	0.9402063153782867
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	-2.2228048442602764e-08	1.4009656192492676e-08	0.9437010186079474
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	-2.1892127067530078e-08	1.3574677192468491e-08	0.9465971124738474
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	-3.416549467085137e-08	2.1054570928953227e-08	0.9476744555697897
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	-2.621712598246187e-08	1.5632432403445094e-08	0.9532383704934326
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-4.186719181836203e-08	2.4174183312343248e-08	0.9583540347343671
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	-4.257160224578636e-08	2.3800763311412037e-08	0.9631656422126481
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	-3.512812253784867e-08	1.9453519737847994e-08	0.9645210165522454
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	-5.156274385686936e-08	2.850891232557681e-08	0.9647475737960797
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	-2.0958821934728275e-08	1.1512256862353566e-08	0.96566356259575
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	-4.767585381026358e-08	2.5410197909383645e-08	0.9696894393072597
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	-3.228626320014045e-08	1.704201204582063e-08	0.9709213295830654
