Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	4.286306216808289e-08	1.0300892266569263e-08	1.5835787316028826e-05
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	4.9116730461152916e-08	1.2453795111660318e-08	4.0080757071909363e-05
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	5.084452901864303e-08	1.3265790695856524e-08	6.335800310075933e-05
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	3.352330778078268e-08	9.213650487135737e-09	0.00013714764335402493
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	7.51340178911558e-08	2.150795846608437e-08	0.00023853403070525305
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	3.018529538736023e-08	9.151925329287674e-09	0.0004864553711270732
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.628971736088258e-08	1.4317525372561936e-08	0.0006123144550616141
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	6.167471355081873e-08	1.954067431164784e-08	0.0007991347786457854
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	3.709192753409172e-08	1.661874765099419e-08	0.012809703214789483
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	2.7170513052363728e-08	1.302495946844668e-08	0.018487755150723685
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	2.427144960653295e-08	1.2756662005050486e-08	0.028543183483983617
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	2.6127790400598922e-08	1.4341322235669453e-08	0.0342385966234133
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	2.3671346566153128e-08	1.3602765739560383e-08	0.04091315532456652
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	2.1510556565919855e-08	1.2652630886304623e-08	0.044557405355787484
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	2.675725611699925e-08	1.5925414154132393e-08	0.04646301984897207
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.992199985025622e-08	1.2072780638669896e-08	0.04945527589159002
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	1.82120517227867e-08	1.115604632051762e-08	0.05128892844965531
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.5576493000232873e-08	1.1267142013641442e-08	0.08341362008240949
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	2.5937713022731553e-08	1.8778375905546355e-08	0.08360038760072236
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	2.2119718789036692e-08	1.8410455744085572e-08	0.1147833257778576
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	1.6807229691409466e-08	1.4363138954486482e-08	0.12096746671779629
Tabula_Muris_Senis.ESmu190820__Lung.nan	1.9637937944549862e-08	1.8171294069444458e-08	0.13991259250690896
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	1.3595673919933542e-08	1.2909158318315141e-08	0.1461291350185811
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	1.0661104676359634e-08	1.1088357953186456e-08	0.16815837838080394
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	9.426905308008061e-09	9.877562329859437e-09	0.1699467549919803
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.0260998205525495e-08	1.1774365224686764e-08	0.191748971770971
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	1.038383594408205e-08	1.216401004691743e-08	0.19664881749266183
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	8.392066972041783e-09	9.981230861288623e-09	0.20023425817938112
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	1.0838375471075143e-08	1.3886130623013106e-08	0.21754300631651896
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	1.6578699042559272e-08	2.147758962645913e-08	0.22008479323849123
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	6.8406462934531504e-09	9.03205226151742e-09	0.22441275687723733
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	9.274355620743183e-09	1.354011370093805e-08	0.24668646084122386
