Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	7.284904837388395e-08	1.3960565523192775e-08	9.033427301862323e-08
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	5.852357397386111e-08	1.2714994221962469e-08	2.085031041355349e-06
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	7.873304003093115e-08	1.7524697199862214e-08	3.516448497985951e-06
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	7.756013705096487e-08	1.7678120346773806e-08	5.7369502694611216e-06
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	5.2335331137622705e-08	1.3013293505556412e-08	2.8891990217507178e-05
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	1.2860651618792543e-07	3.6014007017635e-08	0.00017780107570714723
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	8.587575673201729e-08	2.4669657497738234e-08	0.00024974708111573564
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	6.25427873395363e-08	2.1421436897801396e-08	0.0017522051200655562
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	5.22650244303811e-08	2.160002190654167e-08	0.007767200491008203
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	5.660125047147913e-08	2.441538152219975e-08	0.010217543953190885
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	3.3949785364787355e-08	1.645275018735346e-08	0.0195339141556398
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	3.564989801790698e-08	1.8299597889798316e-08	0.02570002406110134
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	3.8299296392660995e-08	2.138963444831269e-08	0.036682443916629726
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	2.9593627522190313e-08	1.8096008417050976e-08	0.0509859954578932
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	4.623662453197308e-08	3.056646720157098e-08	0.06518322097251915
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.4036662871877417e-08	2.372770756812597e-08	0.07571922314057289
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	2.30575756651829e-08	1.6841145658713407e-08	0.08548063953433127
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	3.860337456580419e-08	2.8207591573932772e-08	0.08557068362075926
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	2.5393179354613188e-08	1.9032468713030977e-08	0.09106864679211168
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.316742571765319e-08	1.759330851896085e-08	0.09394752843794352
Tabula_Muris_Senis.ESmu190820__Lung.nan	3.845728633996815e-08	2.998665544110718e-08	0.0998371554753486
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.8737339380791615e-08	1.5498444986887557e-08	0.11333490067063123
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.6535639373455643e-08	1.3803860671021632e-08	0.11547804997444366
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	2.150471914109729e-08	1.8639984577294794e-08	0.12431413395493873
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.5206482848014065e-08	1.4118784485699691e-08	0.14073140045048615
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	1.7895787016178556e-08	1.7225265110064588e-08	0.14941942494952332
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	2.3650041837073057e-08	2.3194719452665478e-08	0.153951883052533
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.983586961685408e-08	1.9855741141500966e-08	0.15889753817842223
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.8940880564112692e-08	2.2894787101312763e-08	0.20403323484447106
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	1.2673909309293676e-08	1.5501253992617882e-08	0.20679126532131248
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	1.706897828458134e-08	2.1362911629929567e-08	0.21214504460145012
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	1.2914244585271254e-08	1.9686373076361408e-08	0.2559123260749818
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	7.465417596426909e-09	1.3317734538786946e-08	0.287548038072894
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	1.51901442358347e-08	2.956798901017655e-08	0.3037182441198063
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	8.07992681029657e-09	1.8625230939649595e-08	0.33221096028029296
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	6.277615911059872e-09	1.6443376065863884e-08	0.3513153496558944
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	6.608670267608421e-09	1.8133708907366196e-08	0.35776429482246597
