Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	2.0504193974527383e-07	5.332977452613657e-08	6.0327140873744724e-05
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	1.2714071477505061e-07	3.3295893981751524e-08	6.712998447856036e-05
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	1.6217793527336042e-07	4.2499844157785086e-08	6.782575373608016e-05
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	1.2149186946740452e-07	3.1891312362752134e-08	6.960714666116287e-05
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.6977526810122752e-07	4.499004112635356e-08	8.044825177643145e-05
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.1181665072418081e-07	2.9867755622821696e-08	9.065619904614507e-05
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	1.2951746109166637e-07	3.7662229764614994e-08	0.0002920180112727688
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	1.9321067783475646e-07	5.632656078849369e-08	0.00030158189007606725
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	1.607065196430751e-07	4.807569344367643e-08	0.0004147164964139208
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.0913204909026624e-07	3.318901322070081e-08	0.0005041543739832352
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	8.30809623640524e-08	2.5635209768355178e-08	0.0005957802782828714
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.4578272777606743e-07	4.689367166908719e-08	0.0009392657549026212
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.2284645283360587e-07	4.125971371445716e-08	0.0014535474481125116
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	1.9558266658484622e-07	6.580518926201257e-08	0.0014786274242322105
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	1.0340280830915704e-07	3.5772941406497064e-08	0.001922955901820883
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	8.125653818328586e-08	2.9198718561460936e-08	0.002693934137509286
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	8.500764354609043e-08	3.081890855160878e-08	0.002905186189148721
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	8.378499902889525e-08	3.092731425934239e-08	0.0033733619081247205
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.4293259570274378e-07	5.321974266999535e-08	0.0036188344205596206
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.0408182498251628e-07	3.908653187696254e-08	0.003874022547006057
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	7.1998050256132e-08	2.7500025068048228e-08	0.004420933901502988
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	1.1988954025472448e-07	4.5823520454623394e-08	0.004444005270221612
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	1.1051290897393966e-07	4.32252128967386e-08	0.005283864165030374
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	8.855216695703557e-08	3.480068355048421e-08	0.0054708928265843285
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	5.495057193354488e-08	2.192501311970399e-08	0.006100172435224957
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	9.31057890790787e-08	3.735228941392989e-08	0.006339876952798398
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	1.0069282861175075e-07	4.083911767442767e-08	0.0068392461216288045
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	9.079169955984174e-08	3.751563394892333e-08	0.007758054995425006
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	1.471266769117382e-07	6.165684335654272e-08	0.00851132570357072
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	5.632593014248624e-08	2.5224173488052344e-08	0.012774013707989551
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	4.347860665721649e-08	2.044387181224679e-08	0.016721239001259113
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.935437320215485e-08	2.3353671064522592e-08	0.01728560798923376
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	4.6125750284933015e-08	2.248518505339858e-08	0.020114779885558716
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	6.921053748343045e-08	3.494219360786533e-08	0.023811605007000473
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	8.073095000068446e-08	4.1154555253993656e-08	0.024901458225538974
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	3.7169103273428426e-08	1.994425146527808e-08	0.031185439019747255
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	3.261050693792566e-08	1.829710226236453e-08	0.03735202501015241
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	3.939479937584778e-08	2.216925070773117e-08	0.03778396826223879
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	6.342739126582836e-08	3.6071185325918587e-08	0.039340163194196615
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	2.9473062334673436e-08	1.7065796084378792e-08	0.04208155607054373
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	7.46430271251208e-08	4.6844878139413624e-08	0.05553428977543847
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	3.617348754488547e-08	2.2718510814962486e-08	0.05566457434494346
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	5.715507525106987e-08	3.598319239789524e-08	0.056099929357606264
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	2.4162323104544507e-08	1.6280622160884754e-08	0.06888914576097765
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	3.873750664463449e-08	2.858640473304202e-08	0.0876924616009524
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	2.8874028024454672e-08	2.1406847485738933e-08	0.08869706436919778
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	1.9663211705441533e-08	1.513075465204447e-08	0.09687717540805363
