Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	4.5898750353351655e-09	1.516988293963675e-09	0.0012404981572736917
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.6117131039647593e-09	1.2544670225945522e-09	0.001994174703966535
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	3.1509753965548614e-09	1.0998101922545717e-09	0.002084931291727729
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	3.5947875136848783e-09	1.2949286302623834e-09	0.0027511814782436557
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	3.1548242157620847e-09	1.2934596404985557e-09	0.007362784457067374
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	3.786580813940494e-09	1.6182579323058018e-09	0.00964414747843943
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	3.858726927153253e-09	1.6806043189170671e-09	0.010836930094774471
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.5941423464939745e-09	1.1460868273592049e-09	0.011803118925085914
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	2.4615174089063173e-09	1.1447858629054691e-09	0.015769738917690616
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	2.3733190668743376e-09	1.2437970631915955e-09	0.028187593669080902
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	2.718921914431823e-09	1.4768958829342636e-09	0.032812932873032365
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	2.5988391542551708e-09	1.5112414062354943e-09	0.04274606283373661
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	2.6919139242861494e-09	1.5741268953436993e-09	0.04362371955720374
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.5974921563479856e-09	1.5231587462170294e-09	0.04406621206994619
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.7488701627476465e-09	1.1284946503844185e-09	0.06060230033956913
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	2.05234579563463e-09	1.3429143754453907e-09	0.06322182958186942
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.5895441765708865e-09	1.1622690832399825e-09	0.08571529293671232
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.6861323345866353e-09	1.3211744012107877e-09	0.100935785462689
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	1.6518497132634812e-09	1.3423519579233125e-09	0.10924302751103238
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	2.5318495131144965e-09	2.0957950796829625e-09	0.11351178846520665
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.7051327411537967e-09	1.4740244310329971e-09	0.12367963598158765
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	2.1902881439438974e-09	1.996156209910211e-09	0.13626543209869796
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	1.6257475409168434e-09	1.4971702001886875e-09	0.13876598943921548
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	1.7085230320260685e-09	1.6133065828477504e-09	0.14479546347496092
Tabula_Muris_Senis.ESmu190820__Marrow.nan	1.7514906700608933e-09	1.6905591590958285e-09	0.150091222284019
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	1.1806108869757122e-09	1.1738576551607335e-09	0.15726719469778788
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	1.9536495628984184e-09	1.9772585695233387e-09	0.16156169886663868
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	1.4595612494335249e-09	1.4927894154073562e-09	0.16410124666571574
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	1.329055438183002e-09	1.3908366064080715e-09	0.1696422724106751
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.180300790733287e-09	1.2533447385784822e-09	0.1731678054158199
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.7568669481833102e-09	1.8935384210420636e-09	0.17674990802778073
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	1.7115505807502527e-09	1.8547421499819385e-09	0.17805648975776045
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.0178356870511087e-09	1.116163466687055e-09	0.18090921346544142
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	9.77904830379406e-10	1.1721974958246323e-09	0.20207028407336014
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.2053565417790603e-09	1.4621014586836763e-09	0.2048561381532864
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	8.407419080388722e-10	1.0639381999683442e-09	0.21470056443401758
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	1.5650886847007677e-09	2.00399776906802e-09	0.2174061740268563
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	1.3542433872081185e-09	1.752237694136305e-09	0.21980110605953174
