Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	2.5196894984473648e-08	2.9322202593388883e-09	4.232274452695246e-18
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	2.1577448216431873e-08	3.5004453816640714e-09	3.5420002145972244e-10
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.699389090151497e-08	3.423671334287229e-09	3.45910798999337e-07
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.2386951026383873e-08	2.8674389732429843e-09	7.80621224289277e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	1.7975332260252938e-08	4.2691857414104735e-09	1.2741287795781788e-05
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	1.3075015721171335e-08	3.5286508331278122e-09	0.00010553424930614823
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	1.3736941328322195e-08	3.864478852871217e-09	0.0001892279466424316
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.4925923161437365e-08	4.277139253268971e-09	0.0002417835819185878
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.511156503507705e-08	4.340343084445082e-09	0.000249165248361969
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.3390933724692375e-08	3.8822423422386304e-09	0.0002810436832432359
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.3152331266795098e-08	4.7831422170057866e-09	0.0029822543812609943
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.0111206999982863e-08	3.778409324146734e-09	0.0037247920321500233
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	8.339492006006586e-09	3.3649984462965765e-09	0.006600414933655021
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	1.1005314279281244e-08	4.768443295175416e-09	0.010501042940394853
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	1.052253142092354e-08	4.841031818981936e-09	0.014867092245427434
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	1.555075806704971e-08	7.341580148920957e-09	0.017080087128458068
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	8.046411618084817e-09	3.940965758038979e-09	0.020588863425493185
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	7.273537881751202e-09	3.566091564217752e-09	0.020693168983085077
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	9.73150571663548e-09	4.800746262711465e-09	0.02132702028001808
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	7.518292148466893e-09	3.836768107117506e-09	0.02502491859623863
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	1.1059953840444584e-08	5.690024779228913e-09	0.025963140350745668
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	7.734555703884298e-09	4.069462617211567e-09	0.02867503771382949
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	7.467117496019494e-09	5.11933492521463e-09	0.07233612201218133
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	4.480635685998008e-09	3.406675509577628e-09	0.09421266589469707
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	8.185377824504107e-09	6.226947985730922e-09	0.09433752202511225
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	5.572213936528056e-09	4.352030912324524e-09	0.10020735352667293
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	4.431536525729728e-09	3.5979448602173858e-09	0.10903329357937563
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	4.266726405549371e-09	3.5118592803157104e-09	0.11219296261331135
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	8.500778407193323e-09	7.010378882864778e-09	0.11264158613762293
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	4.578348439096082e-09	4.0295913715492866e-09	0.127940239761821
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	5.983707851206069e-09	5.830749658526752e-09	0.15239087941656415
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	4.9937367671661024e-09	4.88854711127648e-09	0.15350464449217494
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	5.567544179593355e-09	5.617901815336051e-09	0.16083394722919447
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	3.331706708064019e-09	3.41740425247347e-09	0.16479917718521464
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	3.810344113048803e-09	3.9288635340431735e-09	0.16606470516251465
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	4.569985979941799e-09	4.952836441665198e-09	0.17808158321027007
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	3.0093168756129114e-09	3.2689139093903305e-09	0.1786332675384264
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	3.2104984898591416e-09	3.639689562094438e-09	0.18886669016149232
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	4.1216171224294705e-09	4.730999830473694e-09	0.19182420680100187
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.832530763691785e-09	3.676990785086665e-09	0.22054930422858277
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	2.7371123544144745e-09	3.5666854525313278e-09	0.22141870314877715
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	4.473149594123975e-09	5.900840515804792e-09	0.2242096406433733
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	2.2683011019199624e-09	3.0493281156563606e-09	0.22847782146173684
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.7776922338580307e-09	3.8063636802271355e-09	0.23277163958078245
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	2.6660015340728976e-09	3.67384684714166e-09	0.2340204573889504
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	3.6004228600705165e-09	5.042161228688267e-09	0.2375939839770343
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	4.392360897096662e-09	6.185777196458835e-09	0.23882905706316437
