Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	2.0749768183024162e-08	5.358676209396697e-09	5.393273599506193e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.708827834907504e-08	4.809297396083904e-09	0.00019030512515854793
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.4639856156422328e-08	4.912583423111219e-09	0.001440899510685974
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	1.4793067630054046e-08	5.917829345005167e-09	0.006214126645160247
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.9514282198293423e-08	7.881138185089281e-09	0.006641800129762132
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	3.0979633015048304e-08	1.279102208686485e-08	0.007718044674110252
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	1.82446772502524e-08	7.917277209308827e-09	0.010599732905188205
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	1.50541862171563e-08	6.684344225916501e-09	0.012156206487762678
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.3712522719534246e-08	6.446235225165423e-09	0.01670114740566544
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.3769318470424913e-08	6.66286649887588e-09	0.019387072920998456
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	1.2220652144036549e-08	5.945571807473471e-09	0.019919187602633604
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.4774099748500957e-08	8.6740113503496e-09	0.04425967708374262
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.081548880117022e-08	6.485979320046712e-09	0.04770570058653271
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	9.70898957409457e-09	5.897449938414294e-09	0.049850695236520845
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	1.0373139514670537e-08	6.637977773182109e-09	0.05906208974878495
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.069425578595682e-08	6.872422874997306e-09	0.059840798784545506
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	8.885302632904067e-09	5.980144150755905e-09	0.06866591655788104
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	1.4601387659973723e-08	1.0292192041886921e-08	0.07799530586860565
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	8.060336413936061e-09	5.856040274736509e-09	0.08434673229510797
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	7.0411768240550434e-09	5.8443720671020506e-09	0.11414431153924437
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	6.290311167189488e-09	5.28526669701641e-09	0.11699182432312977
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	7.637457959343942e-09	6.816534570646924e-09	0.13126502935737394
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	8.541992912650004e-09	7.640545747469043e-09	0.13178733226382283
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	1.0490842383815482e-08	9.95739676387934e-09	0.14603927397782546
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	7.325464998905108e-09	7.178996657174793e-09	0.1537688419145135
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	7.588543179304614e-09	7.559317594071417e-09	0.15772156306282314
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	7.90006281972512e-09	7.905263918929001e-09	0.1588145057618362
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	6.249540316368629e-09	6.886632105606797e-09	0.18207423041727122
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	7.481219581952112e-09	8.36327034170476e-09	0.18551844596675243
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	8.054038325279868e-09	9.123928608033621e-09	0.1886889278065012
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	5.059337156876588e-09	6.124706979129215e-09	0.20438680150910626
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	6.912524720062045e-09	8.61005082648632e-09	0.21103255166722967
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	7.220565149917916e-09	9.645488620401152e-09	0.2270506546967952
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	6.031321870891647e-09	8.448996842178718e-09	0.2376597686094586
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	6.508512844488804e-09	9.678843768860205e-09	0.2506494736959537
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	5.1633210398867106e-09	8.547089105078966e-09	0.27288762650218823
