Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	3.66066926726959e-08	1.5110909467785634e-08	0.007706340701896779
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	2.1797099259407574e-08	9.75165293444993e-09	0.012701422291496633
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	3.4946940582059603e-08	1.6214873672188968e-08	0.015571538184332299
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	1.6697471087440017e-08	8.400897536182423e-09	0.02342898014114776
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	3.459962556897871e-08	1.8760317828576985e-08	0.03256982678816007
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	4.136982935086684e-08	2.308106678728762e-08	0.03653679724127101
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	1.6765516338714656e-08	9.415035373263425e-09	0.03747932300996477
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	2.831644779335251e-08	1.6210525380294245e-08	0.040336542499429986
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	2.2881429396454038e-08	1.31907638004996e-08	0.041400931984774854
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	1.0670801682431358e-08	6.485964496885723e-09	0.04996281051644668
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	1.583975430331174e-08	1.0186483357665706e-08	0.059975692078802385
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	2.087025155793003e-08	1.4526451263144919e-08	0.07540065855836409
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.3493277432753946e-08	9.514883189482194e-09	0.07807738665761589
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	2.226404688077113e-08	1.593045199360247e-08	0.0811199365297845
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	1.2142323018457332e-08	8.928776236520434e-09	0.08692936385626288
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	2.4303643800659312e-08	1.8160508666017177e-08	0.09040439940219835
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.5536602613328184e-08	1.2570545297466646e-08	0.10823802554993589
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	8.342642414262765e-09	6.948501433198644e-09	0.11494561609189052
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	1.2882653931211668e-08	1.0921434747229952e-08	0.11908459921541359
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	6.4444973366287604e-09	5.57527394575122e-09	0.12385963052216215
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	1.0132513297920613e-08	8.939649208946635e-09	0.1285157646451035
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	7.979361143319266e-09	7.173141160170958e-09	0.1329843330419539
