Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	4.645558024575046e-08	2.0217138279437303e-08	0.010785686275916345
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	6.837398509599411e-08	3.0048297185018456e-08	0.011438888833988378
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	8.579789929011518e-08	4.186452606608004e-08	0.02021064563168032
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	4.9795837150054364e-08	2.5833611464798242e-08	0.02695493663885492
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.6546803341593114e-08	1.5654964411487883e-08	0.04496723816078319
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	5.730008147820872e-08	3.587859669617024e-08	0.05512675735763436
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.8300362041237876e-08	1.2180975321384254e-08	0.06650047040907259
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	4.896303702675604e-08	3.2908968645505204e-08	0.06839752043813926
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	7.379689167857841e-08	5.1485049928495884e-08	0.07587671355542647
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	5.4490952470358957e-08	4.055320322349986e-08	0.08952425107083295
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	2.1401132676702645e-08	1.6586393940651145e-08	0.09847630751913866
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	3.7214354667469253e-08	2.9442408751589468e-08	0.10312019461795385
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	3.132151303892095e-08	2.4929104380542807e-08	0.10448122957049394
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.5064789650582987e-08	2.0791067666861577e-08	0.11399442901780948
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	8.020573225751485e-08	6.74920201516159e-08	0.11734313420158216
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	3.2971977972015585e-08	2.8132687338660747e-08	0.12059518572685773
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	4.1622278613986645e-08	3.593759736584773e-08	0.12339488488816913
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	2.4299757906076948e-08	2.3434417970532883e-08	0.1498851667165248
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	4.3522361586940155e-08	4.1988811004579e-08	0.14997914503921872
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	3.5326669368711456e-08	3.592635966181579e-08	0.16272798832348856
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	1.571212688450976e-08	1.6170989477218283e-08	0.16561873599410132
