Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.9811002637699715e-08	8.661466885126688e-09	0.00028893286224718467
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	4.182864205346195e-08	1.347338412747933e-08	0.0009528800662597668
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	2.2423364048993853e-08	8.373563536678476e-09	0.0037045331211007716
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.4956732953515775e-08	5.660569201087007e-09	0.004117660154110966
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	2.3024298035596114e-08	9.512286261622783e-09	0.0077500173329437625
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	4.7087196424641644e-08	2.0189878642485904e-08	0.009844615414659495
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	1.573103360543366e-08	7.243070548912011e-09	0.014932599665666083
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	3.0533947655637244e-08	1.4961134958972577e-08	0.020631157016866693
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.3748032544401173e-08	1.2368208589930485e-08	0.02742347587413804
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.838283644690105e-08	9.719584019603746e-09	0.02929086966271088
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	2.6681868919307954e-08	1.5028293645430743e-08	0.03791243864909838
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	2.917564293698488e-08	1.6523480769446208e-08	0.038722421139969175
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	3.3906837322495855e-08	1.9939781076187876e-08	0.04452204180338137
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	2.8691616135819533e-08	1.723177597017121e-08	0.04795227285202265
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.008898949358006e-08	6.256916957224758e-09	0.05343161335803872
