Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	5.0602166362406625e-08	1.6414159888324928e-08	0.001025189883111194
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	7.764776657422478e-08	2.7551942141222474e-08	0.002414444792433721
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	3.785766324152363e-08	1.633604105561586e-08	0.010240107190454855
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.0159295482370542e-07	4.5073501609015267e-08	0.012099980764400376
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.112387157897805e-08	9.46382132949668e-09	0.012805308404820562
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	3.84235291423049e-08	1.7652101854847538e-08	0.014751058244320723
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	5.12002091133539e-08	2.406722166757979e-08	0.016694117971743274
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	2.7538273768472695e-08	1.3464118273683221e-08	0.020412233140173902
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	5.99420248897895e-08	3.2024362254217536e-08	0.030619681205869668
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	5.3175107081348676e-08	2.8999873018280848e-08	0.03335428886729248
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	3.2796057830306667e-08	1.8285396524592272e-08	0.036441267221644695
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	6.415165628952358e-08	3.585984548756893e-08	0.03681101712246107
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	5.495858038774081e-08	3.128625933062408e-08	0.03948990651601521
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.9329777670396257e-08	1.1136036074976203e-08	0.04130082310447819
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	7.404707746601613e-08	4.31094170878515e-08	0.042929840953299984
Tabula_Muris_Senis.ESmu190820__Thymus.nan	5.920526035261344e-08	3.467550774733616e-08	0.04387306592717001
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	9.101536908095781e-08	5.864013519188658e-08	0.06031911789409186
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	3.396151296949258e-08	2.275828431928585e-08	0.06781414279269168
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	4.7376892802489576e-08	3.17720451779056e-08	0.06796102722224948
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	3.4210701873473996e-08	2.3763126740542648e-08	0.0749825293674232
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.8619909985211286e-08	2.0652776288029167e-08	0.08290922220454183
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	3.196409716405247e-08	2.3296171145417796e-08	0.08502002460820879
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	2.3454222491438233e-08	1.8576524276480615e-08	0.10337129449931037
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	1.7970873026461258e-08	1.4520751557290054e-08	0.1079323234796204
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	3.120151937806919e-08	2.7568178584298927e-08	0.12886037085646646
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	3.9280412633678746e-08	3.5788395482278993e-08	0.13619527409657645
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	1.8778430967103232e-08	1.7598446412214318e-08	0.14297451723894172
