Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	4.988591616569358e-08	1.3484994450940814e-08	0.00010806979651200223
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	4.09046554265507e-08	1.1123287522061748e-08	0.00011781676900398175
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	2.6596797544272e-08	9.627932958392839e-09	0.0028683632290197126
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	1.9318559629324053e-08	7.79644654623605e-09	0.0066085153608636165
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	2.156341696438625e-08	9.696079986438826e-09	0.013076529248704541
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	4.869670801936699e-08	2.3929063255764708e-08	0.020923198950780333
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.039921086065557e-08	5.369602100115328e-09	0.026392123648179295
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	4.037700951224932e-08	2.1289259726049404e-08	0.02894099722203327
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	1.7955048698762718e-08	9.487472671393453e-09	0.029212150045616586
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	4.228501296083234e-08	2.327564173269577e-08	0.0346310219987908
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	2.5980964941200185e-08	1.4596434824427974e-08	0.03754184331193016
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	4.9046084125957004e-08	2.836579327868909e-08	0.04189941327434481
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.0612291517279685e-08	1.2081072903307074e-08	0.04398877585222093
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.3258724652669824e-08	7.827039091129795e-09	0.04513603526733017
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	1.925012269593494e-08	1.1418437387806075e-08	0.04590939439394094
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	2.1459632440051715e-08	1.3269932275197516e-08	0.052921640202679136
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	3.006206174012161e-08	1.8771757457218994e-08	0.05463846163186406
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	3.090437434886144e-08	2.068120622177381e-08	0.06754578362636497
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	1.2792302378771957e-08	9.016173274125375e-09	0.07797614774784116
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	1.700370441178045e-08	1.2190844442805584e-08	0.08153913620319247
Tabula_Muris_Senis.ESmu190820__Thymus.nan	2.6001037474350164e-08	1.8829758463100427e-08	0.08366282483395038
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	2.5872908908842285e-08	1.9202693254701866e-08	0.08893242551811148
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	3.697508551485656e-08	2.756482897998398e-08	0.08989752246560928
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.247051869241573e-08	9.534274176714448e-09	0.09544220320535451
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	1.1364127306099229e-08	9.181987327204898e-09	0.1079221111665219
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	1.3704289646235842e-08	1.1347077370213242e-08	0.11357414489563888
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.0812802501428814e-08	9.030661225318411e-09	0.11558636991174503
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	1.1044900056300144e-08	9.27438488771398e-09	0.11684567945754698
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	1.4557517802083836e-08	1.2381192709628623e-08	0.11984206143764725
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.2041324106834397e-08	1.036232366911387e-08	0.1226117741702018
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	1.652219301413427e-08	1.4388457519882975e-08	0.12542341292905163
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	6.786279968250111e-09	6.536000791980487e-09	0.1495669722402847
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	6.5116622379409935e-09	6.311148423285253e-09	0.1510896177708358
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	1.2275329610577367e-08	1.2483236769964812e-08	0.16271881216030515
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	9.89505464607666e-09	1.0570150344132966e-08	0.1746026470165714
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	1.469372068297507e-08	1.5928260235557734e-08	0.17813554171227514
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	1.4533070209807349e-08	1.6045012397968517e-08	0.18252914248855945
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	9.89865695214754e-09	1.1103577578882508e-08	0.18633490167250538
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.4385093865076414e-08	1.6173544215818675e-08	0.1868883651511103
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	7.284796250794539e-09	8.336637751960441e-09	0.19110567870820228
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.0747964120986679e-08	1.2699638217076664e-08	0.1986869883611599
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	8.193966609819401e-09	1.0523055386535872e-08	0.21808765217722836
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.115013788108472e-08	1.4803329682694225e-08	0.22565939115189843
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	8.286836626708354e-09	1.1141697251461124e-08	0.22850845539372294
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	5.759309750737606e-09	7.857614435278938e-09	0.23179169749784545
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	8.597261204434366e-09	1.1872517269666845e-08	0.23449256929325346
