Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	6.791517915774323e-08	1.943051874227707e-08	0.0002367788851635361
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	8.88414006500025e-08	2.7272082213046518e-08	0.0005618030638008294
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	3.1801085298958325e-08	1.3683311663607364e-08	0.010060653644967459
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	4.397546073005079e-08	1.9057084678861577e-08	0.010511672818398765
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.1192009625017751e-07	5.3557439698067584e-08	0.018321443280440965
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	3.339506042238815e-08	1.715020490569986e-08	0.02575474696380247
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	7.884632919931864e-08	4.136634470814496e-08	0.0283218470999057
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	4.522319945533074e-08	2.4273715263521216e-08	0.031227458799482286
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	8.602424159554073e-08	4.6515761740145606e-08	0.03220315246969866
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	2.5656183802783788e-08	1.3968336357575382e-08	0.03312424045419711
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	7.707220674954915e-08	4.372903177879282e-08	0.03899283692405029
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	1.0928236524715948e-07	6.443893090357971e-08	0.04495184793215898
Tabula_Muris_Senis.ESmu190820__Thymus.nan	5.7871121850757865e-08	3.4513309813345026e-08	0.046793054804869345
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	6.223305535094548e-08	3.74895392984545e-08	0.048456099085612624
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	5.279047920985246e-08	3.3040656064055187e-08	0.05505008474208219
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	3.7969078058896284e-08	2.443029427503127e-08	0.060070727265936937
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	2.4049134955280336e-08	1.5967754451796133e-08	0.06601994879909742
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	2.3368840117734953e-08	1.607771309020963e-08	0.07304348951974192
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	2.671931995049022e-08	1.9821311943867516e-08	0.08882763801671328
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	1.9930273372039977e-08	1.5228556472081483e-08	0.09531063594958877
