Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	2.3046720847048926e-08	9.187570435816813e-09	0.0060628079615095256
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	2.1415830993877074e-08	8.834398814506458e-09	0.007672316963224203
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.7014450040375626e-08	1.1272192352286801e-08	0.008274962481080887
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	1.1074280846852048e-08	4.744678416828118e-09	0.009796749569062698
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.433581560961786e-08	6.265607113067519e-09	0.011068265477896994
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	3.6018175652881566e-08	1.629853007686815e-08	0.013555936551573583
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.4266053352348294e-08	7.128467771607705e-09	0.022681161997523187
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	1.5618869743532897e-08	7.863805365243875e-09	0.023507116402535246
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	3.319781522928507e-08	1.7358672738443308e-08	0.027908432191353704
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	1.4011236311237942e-08	7.80499847287913e-09	0.03631395009736741
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	1.441822967971535e-08	8.190672275877792e-09	0.039176519129251006
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	3.123688503070899e-08	1.9514892262672744e-08	0.05472511430997975
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	1.5559406409933835e-08	9.907897281404069e-09	0.05816051889296499
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	8.178471522419338e-09	5.312970957526108e-09	0.061860592278352056
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	6.5582730719099896e-09	4.535946757288647e-09	0.07411042929245867
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	5.519276391806485e-09	3.902993488662899e-09	0.07866426707850926
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	8.472532097210665e-09	6.0647784524282744e-09	0.08120587820319863
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	9.611194166271858e-09	7.113011828187786e-09	0.08831360312478431
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	6.644657906082573e-09	4.960414171458414e-09	0.0901979723113604
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	1.865998467799959e-08	1.3973111541163038e-08	0.0908693200582198
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	8.032824199053608e-09	6.1322500102672414e-09	0.09510959466693197
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	9.132912176828985e-09	7.0614720513020785e-09	0.09794606266455591
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.454696935690089e-08	1.126433817412397e-08	0.09827938183743151
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	9.881043729569374e-09	7.693259912830089e-09	0.0995050918637917
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	1.8644160086283656e-08	1.5202189917069552e-08	0.11002168847463195
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	1.6813255154623064e-08	1.4122073043607222e-08	0.11691207047136876
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	9.232597553350878e-09	7.794029536700112e-09	0.11809314348550837
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.2603605696484496e-08	1.066455830082133e-08	0.11863824127740463
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	1.4231833083826843e-08	1.3752799148167711e-08	0.1503737484061301
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	7.285200627276927e-09	7.913117680319615e-09	0.17861696274622535
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	6.359933963222007e-09	7.099487989428131e-09	0.18517179597119543
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	2.039465939950653e-08	2.3085582234402367e-08	0.18850008151311848
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	9.720987805372329e-09	1.1027534945398832e-08	0.18901833466392587
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	1.3147203266662896e-08	1.4977346204639445e-08	0.19002452376916057
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	1.1790201304543858e-08	1.3712942113491916e-08	0.19495339527141775
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.576651159022893e-08	1.8474736521050938e-08	0.19671618855767048
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	7.365865833274446e-09	8.73491154610531e-09	0.1995394654940671
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	4.350830048325665e-09	5.172110255812513e-09	0.20011519406267575
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	4.142708051798697e-09	5.155204436274454e-09	0.21081480907708383
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	1.173544936934993e-08	1.4742444357484427e-08	0.21300687767385906
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	4.137529688801276e-09	5.386170328938366e-09	0.22119115447950433
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	7.153614181100225e-09	1.0087498644049753e-08	0.2391137145659354
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	4.428221907185342e-09	6.3816119089177896e-09	0.24387141005586116
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	6.580126870463588e-09	9.512023306404289e-09	0.2445410709768605
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	3.6972205462493864e-09	5.3678113492301785e-09	0.2454820667687621
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	7.095059449901165e-09	1.0316023665442997e-08	0.24579857567662472
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	6.14423991295891e-09	9.365552366322692e-09	0.25589703200537084
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	5.269963470906141e-09	8.555273669122255e-09	0.26895054278890806
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	6.0578257466689605e-09	9.901745355940183e-09	0.27033711857458026
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	4.684621249273465e-09	8.197814246810366e-09	0.2838481364704879
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	4.0316073843837555e-09	7.2290026008552516e-09	0.28852497680597866
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	5.4345146229393904e-09	9.823066461052376e-09	0.29004949358525056
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	3.856010820641248e-09	7.799070165579149e-09	0.3105050428310066
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	4.063138991489497e-09	9.452139292297702e-09	0.333647110585374
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	3.987197855762898e-09	9.335101544492255e-09	0.33464638122068857
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	3.6042188203329327e-09	8.831162053227145e-09	0.34159091983712186
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	2.4999262954848e-09	6.732886479187712e-09	0.3552067422654751
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	3.105667714733131e-09	8.588541610389749e-09	0.358823260305259
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	2.3690664359638097e-09	6.558284634987088e-09	0.35896277406259886
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	2.5316927037614653e-09	7.16710600093701e-09	0.3619550886399485
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	2.619076190604074e-09	7.467832349179442e-09	0.362901318242314
Tabula_Muris_Senis.ESmu190820__Large_Intestine.secretory_cell	1.6754476859868593e-09	5.190704772114931e-09	0.3734315139918418
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	4.381877775094141e-09	1.3768847637752874e-08	0.3751492512464194
Tabula_Muris_Senis.ESmu190820__Marrow.nan	2.669086389021895e-09	8.406429762038914e-09	0.3754300918793142
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.591905673254798e-09	5.419009073639405e-09	0.3844694125472076
Tabula_Muris_Senis.ESmu190820__Lung.nan	2.5777344313545013e-09	9.549734550237732e-09	0.3936080772087476
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	3.865788072341594e-09	1.4425848963421447e-08	0.39435871563538205
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.9056975112238443e-09	7.471228760626497e-09	0.399333938784964
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	2.009561543742914e-09	8.280151131631435e-09	0.4041203603344516
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_urothelial_cell	1.2518933609336958e-09	5.3794301812739614e-09	0.4079899696964435
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	2.1489023946481537e-09	9.592143989373654e-09	0.41136801918858185
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	1.715979878856697e-09	8.867040171505731e-09	0.4232745357763066
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	9.303795759256869e-10	5.3067922948473356e-09	0.43041463536519026
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.0140434107573331e-09	6.060109400388371e-09	0.4335548557917836
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	1.1601014644531002e-09	7.10558646356184e-09	0.4351544578866712
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	2.279737329685556e-09	1.4437499628321841e-08	0.43726626701444626
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	6.926119289239747e-10	4.855275973425051e-09	0.4432827494812144
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.0621223276789178e-09	7.908440134254825e-09	0.44658173588496697
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	9.75526648263345e-10	8.200591073102808e-09	0.4526542797664946
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.434253098180427e-10	5.9631591372303245e-09	0.4837190855837072
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	-1.122841331762563e-11	4.548581921324806e-09	0.5009848089673278
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	-3.346941561619717e-11	9.229498349347467e-09	0.5014467022171073
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	-1.1286373220645086e-10	1.6100556285857527e-08	0.5027965335574351
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	-9.339747072035536e-11	6.037358431820397e-09	0.5061713602481985
Tabula_Muris_Senis.ESmu190820__Thymus.nan	-3.2253487238101205e-10	1.0572290865667705e-08	0.5121688707180219
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	-7.353317017418495e-10	9.26743744208191e-09	0.5316211880085427
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	-7.122896446650478e-10	8.155075189118317e-09	0.5348006066948657
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	-9.520068042668887e-10	7.447628009185174e-09	0.5508569981491889
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	-8.587043218373093e-10	6.284175742036383e-09	0.5543444940883963
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	-1.2512423597219286e-09	8.468283633618443e-09	0.5587324556644914
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	-1.1073672842317036e-09	6.215041510903343e-09	0.5707073716409465
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	-2.2492383120102244e-09	1.0010119713700626e-08	0.5888922847452768
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	-1.8024843054723394e-09	7.899067811340355e-09	0.5902505366224785
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	-1.8660227147696475e-09	8.000491153619475e-09	0.592211901984669
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	-1.300306177683803e-09	5.402012781551152e-09	0.5951091722393896
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	-2.4878955481214917e-09	8.276250442882924e-09	0.6181427528974057
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	-3.0039985629275156e-09	9.859968641801364e-09	0.619689778759362
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	-3.0846192032176894e-09	9.612736268267333e-09	0.6258526611206382
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	-2.4914520512406844e-09	7.58061762648855e-09	0.6287939664640655
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	-2.5277546024322256e-09	6.605743554067211e-09	0.6490141052281874
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	-2.1781329100506207e-09	4.882294325636441e-09	0.6722479541353837
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	-3.237095781384033e-09	6.830511051946158e-09	0.6822204768343734
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	-3.6746628288651316e-09	7.7380285315138e-09	0.6825650285165806
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	-3.0937528744908282e-09	6.0802583262429974e-09	0.6945605601666179
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	-2.505265425974524e-09	4.691889279932557e-09	0.703314232554973
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-3.1816603569604007e-09	5.942541434779089e-09	0.7038147319569964
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	-5.038460198275984e-09	7.93581771425685e-09	0.7372535731548533
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	-3.2649504499058604e-09	4.997499425660971e-09	0.7432239755904096
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	-6.756874574176423e-09	1.0327158148775773e-08	0.7435349574385102
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	-3.98138207193894e-09	6.027186148372155e-09	0.7455561411415652
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	-6.28561186316681e-09	9.331968168242907e-09	0.7497034794868256
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	-7.256206451818804e-09	1.0552831627237861e-08	0.7541500163411567
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	-4.7775943971944e-09	6.93694410557015e-09	0.7544994509905516
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	-4.7296751726323595e-09	6.795691761660448e-09	0.7567797658286302
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	-6.8577731143097545e-09	9.734613278996076e-09	0.7594308992131791
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	-6.544384829988974e-09	9.140616300134586e-09	0.7629943127340325
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	-5.726640053689864e-09	7.43857532454442e-09	0.7793076689800906
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	-4.517961588731858e-09	5.779982886782104e-09	0.7827917837628201
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	-7.1986303043306264e-09	7.587175829003272e-09	0.8286360760161524
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	-5.20634465216368e-09	5.282871151516325e-09	0.8378142254329919
