Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	5.710550526972399e-08	2.08369979019516e-08	0.003066522070302994
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	4.5982667978104756e-08	1.862039697846327e-08	0.006765509521003098
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	8.57886673463565e-08	4.225401619350149e-08	0.02116262048955693
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	4.8515313277879526e-08	2.4635383073659393e-08	0.024457337875906926
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	2.920428868241656e-08	1.4833431804451029e-08	0.02448714772042317
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	3.090722284623941e-08	1.661178072898666e-08	0.03140313455841053
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	8.09489857079657e-08	4.356011205359957e-08	0.031561209014300845
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	3.0607375140278114e-08	1.6646169522429844e-08	0.03297938217083069
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	2.4353593421533798e-08	1.3646327696631415e-08	0.037160987471774855
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	1.4029030150281359e-08	8.755190649522492e-09	0.054537218989640805
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.7535455103211544e-08	1.1292924682728475e-08	0.06023756003820984
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	5.555507238950106e-08	3.640962920653936e-08	0.06352552943419672
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	7.425200250715841e-08	4.8855940101846406e-08	0.0642787084251632
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	2.560672295151287e-08	1.7137372645330655e-08	0.06756121322194751
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	2.453830292752273e-08	1.653304031348844e-08	0.06887821968739898
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	2.7053569698612337e-08	1.9356147349145563e-08	0.08110560280124818
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	2.4864879627640478e-08	1.834427853290657e-08	0.08763600957660156
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	1.3738840301577065e-08	1.0743710882234161e-08	0.10048730707205927
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	3.0455069414221004e-08	2.403099126072992e-08	0.1025196014362757
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	1.9854447919152066e-08	1.6984456520092905e-08	0.12120634363411509
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	3.9055745159845735e-08	3.348138435756213e-08	0.1217079224107448
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	2.887002194787648e-08	2.479473222997676e-08	0.12213885043634204
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	3.785863232483907e-08	3.298407711146681e-08	0.12552864441393408
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	3.6532671199160956e-08	3.1876048898466114e-08	0.1258799288052947
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	3.6065850384049674e-08	3.1603663577792214e-08	0.12689500097439593
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	1.1230896489603519e-08	9.938660555776319e-09	0.12923365928477853
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	9.256538614760151e-09	8.207394644736927e-09	0.1296960480495446
