Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	2.644462994831301e-07	5.600321285734405e-08	1.1677727950125388e-06
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	2.1063390889668164e-07	4.813544590354301e-08	6.047768152009718e-06
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	2.0639718196119895e-07	4.717708114826673e-08	6.073127421854296e-06
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	3.017492961557274e-07	8.02887757579836e-08	8.55358909517371e-05
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	2.3142797201955754e-07	6.271594318181445e-08	0.00011208386988286586
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	3.2874042819055614e-07	9.551036282636899e-08	0.00028878487039030897
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	2.1232862451744081e-07	6.350031034210816e-08	0.0004132835478306379
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	2.0350893733244342e-07	6.585414328202497e-08	0.0009997783113320827
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	2.450764162207038e-07	8.736941342442359e-08	0.0025153634421901452
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	1.4368088249562963e-07	5.3251697548124244e-08	0.0034863371826881193
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	2.5822503234685664e-07	9.646830882284333e-08	0.0037166031669901203
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	1.8478670591711792e-07	6.943873513036865e-08	0.0038937434623338776
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	2.1647676118165087e-07	8.187071637983211e-08	0.00409506798894771
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	2.2333904279539947e-07	8.665022385244395e-08	0.004976211311432764
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.9232958894630485e-07	7.898697157699742e-08	0.007446855398783
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	1.5805886143005988e-07	6.738652701220926e-08	0.009499366451267855
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	9.944383513112687e-08	4.2530025930871986e-08	0.009688359428421937
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	2.5157460834596755e-07	1.092879625934327e-07	0.010669206873429614
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	1.534441442090765e-07	6.708103455671265e-08	0.0110849454142729
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	1.1879465778587066e-07	5.2278144289410015e-08	0.011532449079357137
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	2.0083263723394977e-07	8.849871039039558e-08	0.011624181229694781
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	1.9568859437993428e-07	8.804652315724458e-08	0.013122774996026678
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	3.1418665606106507e-07	1.4217526099654155e-07	0.013557627097265337
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	1.2872496790537242e-07	5.8603299917349895e-08	0.014026367667878625
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	8.43370230083307e-08	3.9236487874901034e-08	0.01579921721849385
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.9447589067972586e-07	9.056362478466823e-08	0.01588091732204912
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.0197360793469245e-07	4.8945688700423184e-08	0.018607240188893683
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	1.9247160043621533e-07	9.915592656118383e-08	0.026123055342940422
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	1.5718698190075016e-07	8.161171987338105e-08	0.027050037815586448
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	9.879250818457889e-08	5.2637756647397194e-08	0.030270194185520936
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	1.3654820131491743e-07	7.41826521489201e-08	0.032832575738477955
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	7.05746489171407e-08	3.887781248369633e-08	0.03473939165481379
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	9.366551331449327e-08	5.303763932570316e-08	0.038696276015754254
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	5.284909165326403e-08	3.5617520853830507e-08	0.06893168568574201
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	7.663327679673578e-08	5.3650859384083946e-08	0.07659269795094875
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	7.854650342526528e-08	5.955628815095751e-08	0.09360768748004467
Tabula_Muris_Senis.ESmu190820__Large_Intestine.large_intestine_goblet_cell	3.7107963079754996e-08	2.8799207475200424e-08	0.09878487162927457
