Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	6.486359958406169e-09	1.106700244092361e-09	2.3005672408613152e-09
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	5.9730491611098065e-09	1.4875656788379374e-09	2.9682855071861886e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	5.618648891263154e-09	1.5872230502441688e-09	0.00020012117396041453
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	4.688603392196057e-09	1.4706716248527934e-09	0.0007161304653117198
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	3.824225823637934e-09	1.474914753274767e-09	0.0047592784312843524
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	3.9092552113577e-09	1.6322415490052028e-09	0.008309673029335543
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	3.313971213283491e-09	1.6025667692311872e-09	0.019324027321689294
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	3.1567173950192538e-09	1.5874941205487498e-09	0.023378719792561047
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	2.4705731440082637e-09	1.4159477459440716e-09	0.04050815246346216
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	3.1587614287006435e-09	1.9635609300388217e-09	0.05384203853914847
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	3.154475578681296e-09	1.971711735628053e-09	0.054814099794973835
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.568233438817524e-09	1.6379677498322922e-09	0.05844768996793263
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.934435568000398e-09	1.3990593815382706e-09	0.08338324200046898
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	2.4549195264238875e-09	1.8116215292917446e-09	0.08769362376394868
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	1.9735582925137498e-09	1.626597144870733e-09	0.11250663435688174
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.7314363058008801e-09	1.5221592933946731e-09	0.12766739208674016
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.6827605948842133e-09	1.5582060427700602e-09	0.1400856556618187
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	1.6260192514465595e-09	1.8460140136003437e-09	0.18920569280328753
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	1.3378889036129194e-09	1.6182780432142992e-09	0.20419332317387756
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	8.308435550900606e-10	1.039741278574264e-09	0.21212003484728248
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	1.7774710403797143e-09	2.2463412953108024e-09	0.2143921133596275
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	2.566938326153041e-09	3.3240682647944606e-09	0.21998972360508967
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	1.4027954212650733e-09	2.117515154328404e-09	0.25383424737120974
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.1824352003902332e-09	1.802550675826675e-09	0.25591885185576835
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.3652179773445733e-09	2.264587212323029e-09	0.27330253993958814
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	1.206893587187244e-09	2.140843424553767e-09	0.2864632379020608
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.3098077340215837e-09	2.3634065206387435e-09	0.2897198541308643
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	5.62898870160076e-10	1.1493402159250457e-09	0.31215248328052414
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	6.181535013983053e-10	1.325891193121322e-09	0.3205299596137785
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	7.370388767315278e-10	1.8639531583804374e-09	0.3462675605807772
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	4.726687479907569e-10	1.272887376332203e-09	0.3551936902408561
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	6.846412992234169e-10	2.127574681036082e-09	0.3738042852437363
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	4.3201421935366353e-10	1.541492808767424e-09	0.389640151944154
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	3.331894868089064e-10	1.2540828748284086e-09	0.3952413756079285
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	3.800171722186126e-10	1.4761406314047737e-09	0.3984196871939704
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	3.9662790499585084e-10	1.9473762530385988e-09	0.4193045331537044
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	3.6908969970272486e-10	1.889193468618941e-09	0.4225520705066962
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	4.466949037664528e-10	2.403563661568094e-09	0.4262824042576182
