Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	9.073820074047769e-09	2.2179561210383327e-09	2.146911051450701e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	6.622884584156381e-09	2.7315776053771375e-09	0.007663391858370279
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	6.48400209186263e-09	3.069431006075388e-09	0.0173241785279593
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	8.34177420829592e-09	4.155986857756934e-09	0.022365755926021372
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	5.475914995168807e-09	3.3162331254035475e-09	0.04934422881827006
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	4.223614809858828e-09	2.804154076868645e-09	0.0660080140255737
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	6.5554605906485174e-09	4.448471258156607e-09	0.0702888062777527
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	5.721489759628665e-09	4.242971159173182e-09	0.08875475108179409
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	4.059315362366477e-09	3.1056140408644408e-09	0.0955911661886823
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	3.979317800299288e-09	3.1734312756595908e-09	0.10493045338597817
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	3.718962529733933e-09	3.0187249423821745e-09	0.1089811377306979
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	4.67013104618679e-09	3.886284644131172e-09	0.11474074879090973
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	3.618791825021347e-09	3.0562785903790165e-09	0.11819630129863096
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	2.6423748390919003e-09	2.393196636658126e-09	0.13477067299665724
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	4.948196656590505e-09	4.586703457348696e-09	0.14033548409178254
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	3.177469047439265e-09	2.9965453338934958e-09	0.14448646241227642
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.891753126058551e-09	1.9466973663658692e-09	0.1655810825927045
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	2.3495633076846395e-09	2.4227233977485582e-09	0.16607246297750894
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	2.5520497081282857e-09	2.6462028306908635e-09	0.16741781562178598
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	2.3129680501398216e-09	2.4870275532863645e-09	0.17618216701047923
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	2.1345494432097518e-09	2.4936359257094034e-09	0.19599921237801626
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	3.067715633003359e-09	3.983445694250774e-09	0.22061551543563362
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	3.254822053951801e-09	4.445723212594759e-09	0.23204634758019682
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.7332055098232386e-09	2.4039787551943053e-09	0.23546284145287621
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	1.7098618442258013e-09	2.4472034741600786e-09	0.24236966776553048
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	2.5416180806004143e-09	3.761594772080987e-09	0.24962329216722118
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	2.2839039652644953e-09	3.4936285767313436e-09	0.2566415804262337
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	2.672307971881471e-09	4.139308578847947e-09	0.25927153847997975
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	2.3485797924170824e-09	3.7230332690629863e-09	0.2640777120077735
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	2.5231725594084462e-09	4.282134552963328e-09	0.2778526817181745
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	3.37269209441719e-09	5.880312293977048e-09	0.2831339341200198
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	1.674061261738154e-09	3.1159352325270313e-09	0.29554469184810195
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	1.8222079507595795e-09	3.6645417803750113e-09	0.30950498325064635
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.6866363921765716e-09	4.1700796903919415e-09	0.34293671777562806
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	9.99308314731116e-10	2.4797543766625437e-09	0.3434789625747765
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.4337407856683695e-09	4.208248894388959e-09	0.3666655792319131
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	9.702901362023116e-10	2.88948729039399e-09	0.36851080540369885
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	1.4136260868826691e-09	5.083172509448667e-09	0.39046811408814586
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	6.250092561931073e-10	2.31678939154089e-09	0.39366711055726566
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	6.817318190363121e-10	3.0047594689121617e-09	0.4102569755624503
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	6.222142538786009e-10	2.8218669118677142e-09	0.41274190726612336
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	5.179821245091741e-10	2.5876169120126126e-09	0.4206709663238976
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	6.469950689089685e-10	3.7033257508391852e-09	0.4306551312421566
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	4.121905230889674e-10	2.405142175902899e-09	0.4319629382568941
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	3.832794359225133e-10	2.590280285514249e-09	0.44118388288629806
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	7.385572054265087e-10	5.4723053803719254e-09	0.4463206758267791
