Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.2281147969696832e-07	2.1959726140933132e-08	1.118613435497827e-08
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	1.6460798569714722e-07	2.9613410842587206e-08	1.3600302371379976e-08
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	1.5169492348700466e-07	3.104405970078128e-08	5.133789650744877e-07
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	1.4088224884874962e-07	2.9060742898243876e-08	6.240198749935493e-07
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	1.5455587594566704e-07	3.328495885020484e-08	1.7134854001583595e-06
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.0878861343734297e-07	2.3973217351754428e-08	2.8405502988200497e-06
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	9.293603690077972e-08	2.13987365865298e-08	7.025527161269891e-06
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	1.355466150511181e-07	3.196010792269809e-08	1.1120417789039684e-05
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	1.824813704303426e-07	4.3457120792512846e-08	1.3398115991903985e-05
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	1.5385902420032335e-07	3.690855143178716e-08	1.5320105847236577e-05
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.8157212671135607e-07	4.447722757485593e-08	2.2290178820890487e-05
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.7862427615903027e-07	4.391217884551979e-08	2.3733450411645804e-05
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	1.2549884756903732e-07	3.158478629136288e-08	3.542762668592526e-05
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	1.1264283033333701e-07	2.906299855368639e-08	5.313401725866749e-05
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	1.3274715537477785e-07	3.439288848103917e-08	5.67569172251178e-05
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.4318608701307456e-07	3.7575577086148015e-08	6.931053541112686e-05
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	6.634200369748093e-08	1.834721740509188e-08	0.00014964349922537022
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	1.4375094645202164e-07	4.1886663256438905e-08	0.0002996814424347467
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	2.3042515947660137e-07	6.887176732553604e-08	0.0004103566499737732
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	1.512613912329616e-07	4.623771770360352e-08	0.0005351099076343521
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	8.66710965519156e-08	2.7603206635814752e-08	0.0008450497219305847
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	9.297269996917816e-08	3.071745746539841e-08	0.0012361731833849404
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	9.21119391412215e-08	3.0475562239844487e-08	0.001253541260180851
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.0373432506216843e-07	3.443369412261725e-08	0.0012951774685218802
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.0368348191260226e-07	3.444989244141289e-08	0.0013075741312073203
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	1.0735861717676403e-07	3.6083136679274886e-08	0.001463449814547538
Tabula_Muris_Senis.ESmu190820__Marrow.nan-marrow-needs-subclustering	4.7566378918417184e-08	1.6004260917789308e-08	0.0014788170349661373
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.1570113793928516e-07	4.040510635671975e-08	0.0020947614499213104
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	7.493501679233206e-08	2.8061199862406204e-08	0.003787890449956346
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	6.063205502340433e-08	2.2793233743422076e-08	0.0039059877337079404
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	4.933717270696979e-08	2.019788406866368e-08	0.007289123540760327
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	7.421890836611721e-08	3.328467949254516e-08	0.012879633353375561
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	8.685651914414968e-08	3.918412580753464e-08	0.013324358394239044
Tabula_Muris_Senis.ESmu190820__Lung.monocyte	7.308793519430851e-08	3.311096020284471e-08	0.013644326377474633
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	5.4620650149991023e-08	2.5075839665065085e-08	0.01469489813853353
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	3.967582553367702e-08	1.8514197624226287e-08	0.01605676598588936
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	9.50052142721788e-08	4.5163976789631575e-08	0.017708346526531804
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	3.522356891250871e-08	1.7979498236132786e-08	0.02505075358265358
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	2.3347460832506767e-08	1.235549582905761e-08	0.029402944330578964
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	3.88718918060857e-08	2.077261618004752e-08	0.030651438012610718
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	5.2636755418143547e-08	2.821171582981006e-08	0.031036323226070216
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	2.3654708545560533e-08	1.2871669588035856e-08	0.0330507843797094
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	3.065564100804858e-08	1.8126841008487968e-08	0.04540179396118734
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	3.4097721787735055e-08	2.1454316954940597e-08	0.055994362778493345
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	2.8424997753533054e-08	1.8055911784190098e-08	0.057711769170504745
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	3.347053314849761e-08	2.265963972067443e-08	0.06982453909967137
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	2.627363647437679e-08	1.8962835362074695e-08	0.08294475598168166
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	2.835086292503807e-08	2.186515218006555e-08	0.09738043817562936
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	2.9591405578052414e-08	2.3515816151977485e-08	0.10413046376749513
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	3.402320773701565e-08	3.01366267108444e-08	0.12945622258463613
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	3.8580056935393906e-08	3.422477359092335e-08	0.12981728082996774
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.1800255352996097e-08	1.0774325279840426e-08	0.13671015682593612
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	1.3450699015631325e-08	1.2863291412184734e-08	0.14785776680372292
Tabula_Muris_Senis.ESmu190820__Lung.nan	2.7380583126537287e-08	2.6785559231378724e-08	0.15333972926528733
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	2.000071703745399e-08	1.9980432235041478e-08	0.1584097218663978
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	2.0422910031480983e-08	2.1551065066851933e-08	0.1716533208266242
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	1.5837873777812626e-08	1.6750405460662817e-08	0.17219626940868732
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	9.256394590031513e-09	1.0542911846100713e-08	0.18997911749448193
