Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	1.1974296659638927e-08	1.7228662367024599e-09	1.8236053667556507e-12
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	1.1470240912031817e-08	2.6917233523795783e-09	1.0162056255531026e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	6.7885103855883505e-09	1.977457717499717e-09	0.00029852781373124616
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	8.454916012558608e-09	2.930581213390754e-09	0.001956666981559393
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	6.0445513664520895e-09	2.122184070917633e-09	0.0021978867395104685
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	5.6186826651479355e-09	2.2543919340318924e-09	0.006345450719442937
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	5.5514016842948406e-09	2.381148817673231e-09	0.009866234668084211
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	5.344999310774318e-09	2.702735587256749e-09	0.023985474874826725
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	4.043888065694453e-09	2.6757870661035214e-09	0.06535739355747448
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	3.1599439404994652e-09	2.3293295691727005e-09	0.0874558464379317
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	4.485766827721908e-09	3.324709812356176e-09	0.08863306674348187
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.057493301468421e-09	1.587992247079226e-09	0.0975468376618685
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	2.2173697188006726e-09	1.8852869364676172e-09	0.119768584133006
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	5.702915285349601e-09	4.895426719822437e-09	0.1220201154104752
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	2.7559197474045794e-09	2.4652812190764632e-09	0.1318064229357926
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	3.4759693359302126e-09	3.12021518808743e-09	0.13263618243340397
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	2.9304340007661787e-09	2.9174827611689237e-09	0.15758348579925502
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.150904959541871e-09	2.2531974272208547e-09	0.1698897059846337
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	3.1018298918611613e-09	3.2554816984986524e-09	0.17034516781151804
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	2.068672626076121e-09	2.4127706099308867e-09	0.1956161537141704
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.874569468959979e-09	2.2977356644293417e-09	0.20729771757480941
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.5916106598269564e-09	2.0128770342193606e-09	0.2145553640351242
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	2.656198986112844e-09	3.770638404704224e-09	0.24057853734926415
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	1.9323914998197473e-09	2.8832208048501336e-09	0.25135886077238445
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	1.3228112732977604e-09	1.980521781649026e-09	0.2520953655143455
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	1.5471445693107927e-09	2.3281180945685227e-09	0.2531700463779771
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	1.7991375911107616e-09	3.0100782569888398e-09	0.27501853105216545
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	1.9229416105223566e-09	3.3197007956907975e-09	0.2812097484354632
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	1.1902789533473045e-09	2.1358532380103537e-09	0.2886663642243269
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	1.37144227336851e-09	2.7916347783976734e-09	0.3116182725229396
