Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	9.281173886513318e-09	2.0945422519714286e-09	4.687184514216902e-06
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	8.70467355090128e-09	2.664078853335388e-09	0.000542656184456763
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	7.4379781251534025e-09	2.3824891832856112e-09	0.0008983307595959419
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	1.023104116686939e-08	4.26998618636724e-09	0.008286728336360311
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	5.989869568557437e-09	3.256855689199001e-09	0.03294603439613417
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	7.469319577202255e-09	4.284516856256345e-09	0.04063814052655831
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	4.59283391462704e-09	2.8438413710590957e-09	0.053154201385017495
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	5.681601336005277e-09	3.5535319385901544e-09	0.054925817393282006
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	6.48808099508124e-09	4.1972504428099524e-09	0.06107726561453976
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	8.658109885332598e-09	5.630309412807967e-09	0.06205266998911621
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	4.46251737969791e-09	3.007168099420827e-09	0.06890975719246387
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	5.26870396861366e-09	3.690993666297586e-09	0.07672530652863672
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.762418662484186e-09	2.6890817037384772e-09	0.08088456096496932
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	3.900947980946396e-09	2.792077926116681e-09	0.08118443323742647
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	9.171536332885787e-09	6.616054006903269e-09	0.0828345634596605
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	5.384705434781927e-09	4.01885416042236e-09	0.09014529073639155
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	3.464313458431844e-09	2.670592127020339e-09	0.0972798153018839
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	3.4754844852931595e-09	3.108755084791941e-09	0.13179062013984355
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	4.320745604491972e-09	4.180702564696453e-09	0.15068557241192332
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	3.3970275448033456e-09	3.3526395565197354e-09	0.1554728376939214
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	2.6285175023644006e-09	2.6601252201185828e-09	0.16154744073802335
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	6.504162174939468e-09	6.719292827109331e-09	0.16652639480689918
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	3.779620881671295e-09	3.912497633190033e-09	0.16701261571371073
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	3.1228120323699424e-09	3.3176884737897507e-09	0.17328546429179997
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	3.874640761305251e-09	4.553012977111491e-09	0.19738304652559013
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	2.7782601105947864e-09	3.2681946959280913e-09	0.19763748448497098
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	4.373458203517083e-09	5.17520836578263e-09	0.19903345827128077
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.456998012243386e-09	1.8491691143466512e-09	0.21537164273768156
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	3.6574866561801175e-09	4.710382884006445e-09	0.2187347827239367
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	3.974669827111818e-09	5.20406182118139e-09	0.22250424726641538
Tabula_Muris_Senis.ESmu190820__Marrow.precursor_B_cell	2.144837405239123e-09	3.0458059791054965e-09	0.2406560745449582
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	1.9979281688378053e-09	2.8900520114624553e-09	0.24468468822873302
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	6.998910438238363e-09	1.0457532943994962e-08	0.25166171045414454
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.5603492460386772e-09	2.4939778775978106e-09	0.2657733217002915
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	1.5683292981050391e-09	2.609856871921476e-09	0.2739448356289725
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	1.7784873815386273e-09	3.2255745345465856e-09	0.29068978110971344
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	2.2771863112322394e-09	4.145809577703496e-09	0.291408639138549
Tabula_Muris_Senis.ESmu190820__Fat.epithelial_cell	1.4076172737967346e-09	2.563876778242568e-09	0.2914961774771049
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	2.048464967622217e-09	4.097085390596888e-09	0.30854421794960785
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	2.0097352443249436e-09	4.343540866505843e-09	0.321791451593076
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	1.1506874000544184e-09	2.876269238530642e-09	0.344555249755471
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	1.5963247472349035e-09	4.083829897609955e-09	0.34793959167135957
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.7521711674412913e-09	5.084957206968199e-09	0.3652053222222811
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	1.5075343895889382e-09	4.404761229662113e-09	0.36608096501280074
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	7.802746391426658e-10	2.298491551997662e-09	0.36712691073088555
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	9.222453418939062e-10	2.7306571688944646e-09	0.3677805040659967
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	9.279303104535789e-10	2.888207032354022e-09	0.3739981670771654
Tabula_Muris_Senis.ESmu190820__Lung.nan	1.1416893047230024e-09	3.6235139278728765e-09	0.3763512386415773
Tabula_Muris_Senis.ESmu190820__Marrow.granulocyte	8.916820524744565e-10	3.0600327599187164e-09	0.38537414344926035
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	1.2968204799741367e-09	4.464896046329994e-09	0.38573673316316415
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	1.056712816208611e-09	4.333202689417267e-09	0.4036680153142782
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	5.920556803300742e-10	2.4699430926737693e-09	0.40527979764325883
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	8.327580501803771e-10	3.578974938361579e-09	0.4080047158381445
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	1.3802492581698156e-09	6.362111592121774e-09	0.41412432017212275
Tabula_Muris_Senis.ESmu190820__Marrow.nan	6.955771703559174e-10	3.398997193330368e-09	0.4189259667564845
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	8.212137877706852e-10	4.015367553849363e-09	0.4189744758878018
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	4.666894912442331e-10	2.551340703811493e-09	0.4274306641088815
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	6.341075064254233e-10	3.5573939066366192e-09	0.42926309659420553
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	5.101167368856106e-10	3.1429760363855975e-09	0.43553333839523345
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	6.677645817057649e-10	4.873981010798584e-09	0.44551303117991414
Tabula_Muris_Senis.ESmu190820__Marrow.megakaryocyte-erythroid_progenitor_cell	5.668880005139835e-10	4.549793471840278e-09	0.450421529438791
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	4.831093750174773e-10	5.035663062687072e-09	0.4617850701355659
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	1.7490554114299722e-10	3.0696974421009383e-09	0.4772813185033821
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.14271591396511e-10	3.8184025012867315e-09	0.4776248953953046
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	1.0595743461343993e-10	3.725119450394456e-09	0.48865400106686596
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	-9.202794065629888e-11	3.828630872682497e-09	0.5095883627059586
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	-1.2637814564987782e-10	3.95855147635951e-09	0.5127342091484439
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	-1.7814391758544483e-10	3.1856663117923235e-09	0.5222974131983341
Tabula_Muris_Senis.ESmu190820__Lung.granulocyte	-4.019169221672854e-10	3.988211894109889e-09	0.540135948084853
