Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	3.3251011316009006e-07	7.731485843560484e-08	8.511927180228671e-06
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	2.273876780402104e-07	6.378834780665535e-08	0.00018212155342914237
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	2.297512267403745e-07	6.490479716723076e-08	0.00020020085736087385
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	2.0605303379709671e-07	5.903177047772049e-08	0.00024101848026884663
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	3.468265978931147e-07	1.0496201501648245e-07	0.0004760595270523063
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	2.964229499121886e-07	9.126015605536122e-08	0.0005808734336293839
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	2.7601042837882417e-07	8.723180000848641e-08	0.0007778077909413276
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	2.818513796724671e-07	8.915372223051134e-08	0.0007850393475171818
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	2.281319193585265e-07	7.645579175996416e-08	0.0014232736648745776
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	4.0020737271112265e-07	1.362499182432569e-07	0.0016553991377972217
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	2.053448259005275e-07	7.376400465812115e-08	0.0026862413727509102
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	2.3342581082023218e-07	8.423088177095839e-08	0.002791976993679097
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	3.386496813908055e-07	1.232555196991463e-07	0.0030021935564640643
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	1.5724729352329503e-07	6.227913214896329e-08	0.0057869011182752235
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	1.986866728242135e-07	8.026006245395596e-08	0.00665181770587975
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	2.3973920547050237e-07	9.83573829340272e-08	0.007396045245713939
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	2.2540728296779858e-07	9.367612446597364e-08	0.008058825482789888
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	1.363722338896881e-07	5.7391949259900276e-08	0.008747028630386823
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	8.797318841127835e-08	3.792923532298389e-08	0.010186593132470185
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	1.8720373287647438e-07	8.207726744965328e-08	0.011279456533126673
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	1.787067629279691e-07	7.878890676084059e-08	0.011659373998291332
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	1.9412375208889177e-07	8.997210357364983e-08	0.015479497686684968
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.5379578521119729e-07	7.294823980419975e-08	0.01750310983750974
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	7.661823467571454e-08	3.654926816605264e-08	0.018027788745463638
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.4717766159544961e-07	7.072350274657475e-08	0.018715624956966825
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	7.875529893512909e-08	4.0129594514360683e-08	0.024850745065995244
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.1523573171797876e-07	5.97788321694911e-08	0.026946145956899814
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.2958814541586796e-07	6.741264280142022e-08	0.02728324315591369
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	8.490911563562515e-08	4.777941961158024e-08	0.03777536208569489
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	1.5879552010070776e-07	9.01402953145156e-08	0.0390643482441584
Tabula_Muris_Senis.ESmu190820__Liver.Kupffer_cell	6.937037593509355e-08	3.993112742658875e-08	0.04117147161526637
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	1.1214966887607969e-07	6.472008946971281e-08	0.04156190576634645
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	1.285067002555387e-07	7.55117696856485e-08	0.04439547642051632
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	6.912512803521592e-08	4.143510691558256e-08	0.04763063393609522
