Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	5.674683957022313e-08	1.2181251321572434e-08	1.5923040806073018e-06
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	5.66825626606962e-08	1.2415811449768555e-08	2.493272031520219e-06
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	9.261053178815951e-08	2.0647820567918544e-08	3.641511829179271e-06
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	6.640812728200264e-08	1.520114241330662e-08	6.251493567855386e-06
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	8.472132858809219e-08	2.0393281193430233e-08	1.6308924744782014e-05
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	7.931217236933542e-08	1.9839005742156575e-08	3.196836106409468e-05
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	7.954810026863422e-08	2.0334866059388498e-08	4.5785131146145e-05
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	7.950153858957482e-08	2.05624481868405e-08	5.5239093355386746e-05
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	4.71759198929166e-08	1.2418615636075555e-08	7.269722438930622e-05
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.0627997130206474e-07	2.8174877298668476e-08	8.092221012867834e-05
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	6.597642107544364e-08	1.7651628492616742e-08	9.285715465589455e-05
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	4.081853535594962e-08	1.1202222318473335e-08	0.00013432680081192137
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.0561514029433397e-07	2.94527482800541e-08	0.00016794724879529418
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	9.180006612933203e-08	2.587869841517055e-08	0.0001945846021937024
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	9.695923655405967e-08	2.827329148370135e-08	0.00030250553305304263
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	8.26786559013448e-08	2.413119169095467e-08	0.00030602761775755946
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	7.03125370905317e-08	2.0624646458676713e-08	0.0003258268212971654
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	3.8391888959131155e-08	1.1694658946851247e-08	0.000513804520815618
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	5.1248212996105185e-08	1.5648324001459894e-08	0.0005283156175944541
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	8.11046432437136e-08	2.5915138340645277e-08	0.0008751504137772452
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	6.127126066166416e-08	2.0493205404478448e-08	0.0013956502989114548
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	4.797385189110254e-08	1.668394572574456e-08	0.0020172601385681594
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	4.192313462518104e-08	1.5250127990006618e-08	0.002988550757750677
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	6.399260789326856e-08	2.3752326151229568e-08	0.0035282958351539003
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	4.9266569294105296e-08	1.839794786892908e-08	0.0037050453450891995
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	2.9378170655360685e-08	1.35575035515818e-08	0.015120069343499604
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	3.3931846269581205e-08	1.6271119855223136e-08	0.01851635592616572
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	3.550639736390858e-08	1.7824028480173565e-08	0.023182658575040004
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	2.899350391370737e-08	1.494471401647864e-08	0.02618676013172071
