Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	4.467050038647787e-09	1.2045658614449949e-09	0.0001042735108697397
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	3.2004529711272253e-09	1.1356572861800695e-09	0.002415059369920234
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	4.218843098923793e-09	1.765165050269969e-09	0.0084229048579251
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	3.200066457576099e-09	1.5658827237297637e-09	0.02049563916994249
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	2.6730026042057024e-09	1.419659499069818e-09	0.02986050618895031
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	1.954043985636213e-09	1.2179500079581309e-09	0.05431612134815049
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.1329245152467915e-09	1.4199506041400818e-09	0.06653412284106307
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.1331124095448783e-09	1.4735769351898223e-09	0.07386804214968425
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	2.1628509050829476e-09	1.596319498548457e-09	0.0877249477236336
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	2.5193058864227757e-09	1.909580966910997e-09	0.09353479370647155
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	7.034145938700051e-09	5.503073067180238e-09	0.10058568060183803
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	1.6973026820286982e-09	1.3301961405725661e-09	0.1009814260375041
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	1.5295568236814855e-09	1.2354682167593403e-09	0.10785095198298988
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	2.9097885039064056e-09	2.4390725147635464e-09	0.11643669414325625
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.4474922043254333e-09	1.3114174212807764e-09	0.13484828100407126
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	1.9934197028976185e-09	1.8071490352313743e-09	0.13499744471006353
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	1.9862509886474678e-09	1.8533352102551754e-09	0.14192356476972506
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.428544718295428e-09	1.340070267511061e-09	0.14320679257045354
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.0497049383758227e-09	1.0030551400512022e-09	0.14766334339041265
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	9.678068742405392e-10	1.3173907400149857e-09	0.2312796300474811
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	1.3818848572810928e-09	1.899630048516655e-09	0.23347533183554908
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.743029629405265e-09	2.4818137750916563e-09	0.24123953797041098
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	1.1586913931576744e-09	1.657452765596269e-09	0.24225114768520323
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	9.596128483023297e-10	1.4333937131316729e-09	0.2515981317831965
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	7.529506141615478e-10	1.1667254008874345e-09	0.2593489835614358
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	2.220599032315872e-09	3.7088166640825433e-09	0.27467474500441014
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	9.068060640927098e-10	1.5146354664902563e-09	0.27468784141616875
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	1.073216248726951e-09	1.8957835147604095e-09	0.2856605349754407
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	6.559342278270034e-10	1.160180582445283e-09	0.2859102034380124
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	9.326087081332996e-10	1.6858260157408905e-09	0.29006125230227087
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	6.517315809727879e-10	1.2255879933296555e-09	0.29744246682056696
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	1.0514281019152904e-09	2.0136778148089427e-09	0.3007853281524735
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	5.270557552924779e-10	1.1132826552477803e-09	0.31795502614307736
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	5.731392602918563e-10	1.382304629942648e-09	0.3392079033491118
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	5.912884861225397e-10	1.4481201559390453e-09	0.3415213903526214
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	5.850549595959666e-10	1.4409141946761318e-09	0.34236013374557805
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	6.649779573130389e-10	1.7524161830261304e-09	0.35217185636066484
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	7.232683232016895e-10	1.9385198560393648e-09	0.3545357491354987
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	5.118140585625988e-10	1.3935793287844264e-09	0.3567103725312242
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	5.166007092649821e-10	1.5335356257995758e-09	0.36810780389740094
Tabula_Muris_Senis.ESmu190820__Skin.keratinocyte_stem_cell	3.739011757784331e-10	1.1995857644349447e-09	0.37763733913216246
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	7.568811196234594e-10	2.533008376013817e-09	0.3825435816246867
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	3.4706436434031844e-10	1.5583384287314656e-09	0.4118789075671865
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	3.434867261026302e-10	1.7383324851732626e-09	0.42168076678755967
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	2.6127302314243395e-10	1.3734621666242884e-09	0.42456464720933196
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	2.3710899162228835e-10	1.367008841207419e-09	0.4311484871059773
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	1.9430703636600405e-10	1.2385161217475188e-09	0.4376669662377602
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	2.184126056314324e-10	1.5004651881202748e-09	0.44213308627967735
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	2.940322484100529e-10	2.2113869833277554e-09	0.44711139253073245
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	1.5057176965959957e-10	1.4482445675639118e-09	0.4585971857216213
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	5.365147628219346e-11	1.4977922793632189e-09	0.4857127945828319
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	4.152486390218641e-11	1.739870918101367e-09	0.4904794941120233
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	-2.4771565167893806e-11	1.62029449902081e-09	0.5060989158099338
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	-3.041828750272007e-10	1.8722134964987686e-09	0.5645330389470574
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	-3.39264456830915e-10	1.8144452864590003e-09	0.5741617299977857
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	-3.535550654144438e-10	1.8798124525573764e-09	0.5745930178537958
Tabula_Muris_Senis.ESmu190820__Lung.nan	-6.262832899183255e-10	2.033942378628899e-09	0.6209268537943576
Tabula_Muris_Senis.ESmu190820__Trachea.basal_epithelial_cell_of_tracheobronchial_tree	-7.614398362724675e-10	1.9166939966392007e-09	0.6544148183860256
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	-5.126435192168231e-10	1.260362661868131e-09	0.6579015726727984
Tabula_Muris_Senis.ESmu190820__Lung.macrophage	-7.371952436311812e-10	1.8075523375769e-09	0.6583050567874
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	-4.4233587641606975e-10	1.0468401816872338e-09	0.6636859479097135
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	-5.096507101894658e-10	1.1661482580569865e-09	0.6689579831499476
