Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	6.216766331073447e-08	9.261999768551292e-09	9.59077510892456e-12
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	5.85881992390466e-08	1.0610208163106064e-08	1.677044923818477e-08
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.807996705450899e-08	9.99449024258874e-09	6.94564270679002e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	3.711303865421962e-08	1.016310712543514e-08	0.00013023406961676763
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	6.94817965608185e-08	2.0102349571425402e-08	0.0002737193513865887
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	3.062734042775067e-08	1.0062964425318317e-08	0.0011689437532914424
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.7085505321033312e-08	9.0257600884617e-09	0.0013458648629898157
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.302175597966968e-08	7.858519822267036e-09	0.0016973846584220256
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	2.5219367603928337e-08	9.544989671505766e-09	0.004118984892999722
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	2.553135693422798e-08	1.0422116555663485e-08	0.007148196506786947
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.5491918664048318e-08	1.0731451467344316e-08	0.008764021829217143
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.158730717970911e-08	9.949126980738578e-09	0.015012175410150222
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	2.909067758160877e-08	1.3539379008929625e-08	0.015833155064243716
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	2.0465414601659994e-08	1.1631455398439624e-08	0.03924726702568746
