Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	5.76724107119796e-08	7.990246185744679e-09	2.640766491312891e-13
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	5.313453386397846e-08	9.953286998865537e-09	4.6887628552366156e-08
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.interneuron	3.5062812700203095e-08	8.729640803522814e-09	2.953141281950301e-05
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte_precursor_cell	3.650887758885912e-08	9.90193006999574e-09	0.00011343591228303374
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	2.5859626485935415e-08	7.603711800055397e-09	0.0003357956262710853
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	6.56411217172036e-08	1.958187239334887e-08	0.0004009514257175169
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.4086689649884586e-08	7.604856882183473e-09	0.0007693678954265769
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	3.013177165686391e-08	1.0336257243069466e-08	0.0017775708451592586
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	2.0600959519818082e-08	7.171883296640946e-09	0.0020364377327107015
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.4257408289526814e-08	9.419283662102849e-09	0.005007770916057844
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	2.4127624072874475e-08	9.984083387187529e-09	0.007832921174195581
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	2.4984888960542217e-08	1.1328209864810856e-08	0.013707898686925303
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	2.052358453159833e-08	9.594729484577169e-09	0.016215900625341742
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	1.7874331417505976e-08	9.259729924807145e-09	0.02678300146778721
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.661184137545146e-08	9.553265961804024e-09	0.0410292416065405
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.3633389085233576e-08	8.8408168862942e-09	0.06152512341629377
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	1.2854177958739385e-08	8.703553047740522e-09	0.0698527555203911
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	1.9318360827974756e-08	1.338302910914101e-08	0.0744402747081863
