Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	3.0289622129203628e-09	1.5680325022089045e-09	0.026698515432515765
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	4.2443921959079085e-09	2.313433383686401e-09	0.03327712789986808
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	4.0891657165982005e-09	2.2415492774581133e-09	0.034056487336645014
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	4.075515689168437e-09	2.2946674316223008e-09	0.037859767086792145
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	2.5210317592681974e-09	1.5352677745811773e-09	0.0502867634292455
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.4065400901318427e-09	1.5265857345020548e-09	0.05746453568090089
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Bergmann_glial_cell	2.9717377946791744e-09	1.9446773607122e-09	0.0632389846291578
Tabula_Muris_Senis.ESmu190820__Skin.epidermal_cell	2.5360887727957946e-09	1.9089103772281267e-09	0.09199772924816796
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	1.6626015132698343e-09	1.3739623847628335e-09	0.11312450179564792
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	3.68392846032837e-09	3.150673498886765e-09	0.12115123888169266
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	2.4886734228069983e-09	2.339510436970795e-09	0.14371912470772347
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	1.7448416933593832e-09	1.733236555507648e-09	0.1570405276311309
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	2.00663834553532e-09	2.012232621098548e-09	0.1593288999899497
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	2.918897429506042e-09	3.1203492370806234e-09	0.17478096556401224
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.3266421145662452e-09	1.4318440908498515e-09	0.1770861034247157
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	2.1073712138869748e-09	2.479998682032295e-09	0.19773290621838224
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	1.6847572858353735e-09	2.092986337216688e-09	0.2104231730061873
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	1.1711206060172374e-09	1.5442328825003368e-09	0.2241107419861329
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	1.768928512158231e-09	2.3760751709504633e-09	0.22829458657461021
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	1.1163126271611734e-09	1.5017973835806916e-09	0.22864466886315526
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	2.2228945642500792e-09	3.0375292866120306e-09	0.23214224646578913
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	1.845056096593051e-09	2.5865655079993638e-09	0.2378230224639002
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	1.5503317666962168e-09	2.257094062396404e-09	0.24608210775941497
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.1055205689550928e-09	1.6206471505832286e-09	0.24757281134426923
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	1.6246818757607886e-09	2.6566010012292897e-09	0.2704130887818811
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	9.700860924428896e-10	1.6508177826570058e-09	0.2783870736306454
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	1.236597684203441e-09	2.3047662511382792e-09	0.29579293922852534
Tabula_Muris_Senis.ESmu190820__Marrow.nan	1.1782825805411925e-09	2.3902747173081212e-09	0.3110244523176339
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	7.127612356048335e-10	1.4682604063413932e-09	0.31367998164916944
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	1.2883047512527825e-09	2.7748781824493397e-09	0.32122560101779335
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	8.905066556498584e-10	2.009885581743545e-09	0.32885995379294514
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	1.4298702855512214e-09	3.3133043458251296e-09	0.33303273924264465
