Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.brain_pericyte	2.7282126615261667e-08	8.226003207120255e-09	0.000455646564092312
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	2.3098308492804607e-08	7.351838596186475e-09	0.0008394456832804204
Tabula_Muris_Senis.ESmu190820__Heart.valve_cell	2.7491841468273368e-08	8.837556016153289e-09	0.0009329162472810964
Tabula_Muris_Senis.ESmu190820__Pancreas.endothelial_cell	2.338015443656184e-08	7.560918778051275e-09	0.000993270160125134
Tabula_Muris_Senis.ESmu190820__Kidney.fenestrated_cell	2.8565636484761286e-08	1.0398386293536726e-08	0.0030060376652608248
Tabula_Muris_Senis.ESmu190820__Fat.endothelial_cell	2.447415095362852e-08	8.9887125279567e-09	0.0032369054834233543
Tabula_Muris_Senis.ESmu190820__Lung.lymphocyte	1.966977962974996e-08	8.233822723515854e-09	0.00844944921073883
Tabula_Muris_Senis.ESmu190820__Lung.nan	2.1490350045144896e-08	9.16351079126496e-09	0.009508202520344986
Tabula_Muris_Senis.ESmu190820__Heart.atrial_myocyte	1.0574376785060223e-08	4.744775790767834e-09	0.012919076363877449
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.endothelial_cell	1.2292572129342944e-08	5.705496234306214e-09	0.015599938403898943
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.endothelial_cell	1.2180501940001955e-08	5.822901010540828e-09	0.018226994097664352
Tabula_Muris_Senis.ESmu190820__Bladder.bladder_cell	1.0860522575759588e-08	5.529278726541787e-09	0.024754360258658233
Tabula_Muris_Senis.ESmu190820__Lung.endothelial_cell	1.447739811760664e-08	7.542003098216339e-09	0.02745615821188085
Tabula_Muris_Senis.ESmu190820__Heart.endothelial_cell_of_coronary_artery	1.1603125760310316e-08	6.1197834346982985e-09	0.028979845428375138
Tabula_Muris_Senis.ESmu190820__Heart.endocardial_cell	1.8513932694028685e-08	9.789100081243861e-09	0.029293464720632025
Tabula_Muris_Senis.ESmu190820__Liver.endothelial_cell_of_hepatic_sinusoid	1.1809493087950351e-08	6.359599995213089e-09	0.03165875503601492
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	1.1412867322836693e-08	6.403272520735333e-09	0.037346156288950584
Tabula_Muris_Senis.ESmu190820__Trachea.endothelial_cell	1.3900720045599044e-08	7.844983801745558e-09	0.03820353437222128
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	1.7249461153954574e-08	9.835847998370605e-09	0.03973804751223405
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_principal_cell	1.8338897554199546e-08	1.0672457248510879e-08	0.04286741659850821
Tabula_Muris_Senis.ESmu190820__Fat.mesenchymal_stem_cell_of_adipose	7.105724124405305e-09	4.193255625391801e-09	0.04507944053573862
Tabula_Muris_Senis.ESmu190820__Heart.fibroblast_of_cardiac_tissue	8.236832726954272e-09	4.869959618253291e-09	0.04538446803523478
Tabula_Muris_Senis.ESmu190820__Lung.myeloid_cell	9.226970612462754e-09	5.745902519792695e-09	0.054155098675890696
Tabula_Muris_Senis.ESmu190820__Kidney.Kidney-new-24m-cluster	1.210997284792602e-08	8.378297175807028e-09	0.07417308142262878
Tabula_Muris_Senis.ESmu190820__Trachea.fibroblast	6.18639025306531e-09	4.362707637210112e-09	0.07809301263233752
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	8.716548381270503e-09	6.23987906725505e-09	0.0812203447229286
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.skeletal_muscle_satellite_cell	8.96110045291741e-09	6.517424958633191e-09	0.08457425802522
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.microglial_cell	9.888895297264705e-09	7.743736387255652e-09	0.10079784268073005
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	1.4436064605284422e-08	1.1528314684145137e-08	0.10524361656717557
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	7.337727027250555e-09	5.878042961437469e-09	0.10595543814236419
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	6.607413102439448e-09	5.317707066611051e-09	0.10702045132756827
Tabula_Muris_Senis.ESmu190820__Kidney.mesangial_cell	9.922978383680658e-09	8.163744373917989e-09	0.11208895942560504
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	6.5566285615699195e-09	6.0307055943527346e-09	0.138472550840121
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	5.1234291639408844e-09	4.984852926348668e-09	0.15202208432174152
Tabula_Muris_Senis.ESmu190820__Thymus.endothelial_cell	6.367337751531155e-09	6.516421613582159e-09	0.16425442308258076
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.mesenchymal_stem_cell	4.703416636146277e-09	5.003357664937866e-09	0.17359543100944141
Tabula_Muris_Senis.ESmu190820__Marrow.late_pro-B_cell	6.195528220238486e-09	6.718539396289932e-09	0.17822411725847048
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	6.107840655743327e-09	6.669812046104064e-09	0.17990057914779983
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_collecting_duct_epithelial_cell	7.029731495395884e-09	7.795579717069288e-09	0.18359254306820427
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	5.38315614664222e-09	6.812799296346073e-09	0.2147191098211687
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	4.744697900668057e-09	6.1228332652721896e-09	0.2191938552618371
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	7.10247420376095e-09	9.473265035194905e-09	0.2267060221320355
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	3.2448122737358356e-09	4.615968841498429e-09	0.24104230885409522
Tabula_Muris_Senis.ESmu190820__Lung.glial_cell	4.855040476367053e-09	8.204016276908853e-09	0.2769961945162765
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	7.803824848878664e-09	1.3724765996473733e-08	0.2848157189143606
Tabula_Muris_Senis.ESmu190820__Trachea.smooth_muscle_cell_of_trachea	3.860420921561759e-09	6.898285862217776e-09	0.2878692218720061
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	3.3260004739853187e-09	6.4605504615548146e-09	0.3033404920182774
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	2.4685775490142135e-09	4.977630305389612e-09	0.30997038636039526
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_stellate_cell	3.165364698385432e-09	7.037319856714525e-09	0.3264284444808263
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	3.09029985572397e-09	8.2641878671922e-09	0.3542249531399865
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.4908478391828506e-09	4.955633230526253e-09	0.38176862652525845
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	1.4715955961263364e-09	5.1169124269949316e-09	0.38682859829111377
Tabula_Muris_Senis.ESmu190820__Marrow.early_pro-B_cell	1.1718206722013535e-09	5.342774494015438e-09	0.41319723022589805
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	9.85614358951779e-10	4.985421108258226e-09	0.4216401612067536
Tabula_Muris_Senis.ESmu190820__Kidney.epithelial_cell_of_proximal_tubule	1.0149621142176807e-09	5.7010335746719604e-09	0.42934921823753036
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	4.782073010621581e-10	4.615158296219e-09	0.4587367819108629
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	2.771201687078185e-10	3.728035787359482e-09	0.4703722738413238
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	3.3064365678603825e-10	5.587463838868882e-09	0.4764059700462508
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	2.0294194934429034e-10	7.102376757903317e-09	0.4886022508972269
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.ependymal_cell	1.609668971935083e-10	5.904280601398696e-09	0.48912508544898464
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.medium_spiny_neuron	-2.032028346666553e-10	4.0764884946100454e-09	0.5198780501851931
Tabula_Muris_Senis.ESmu190820__Marrow.NK_cell	-5.637089149160653e-10	8.71929092272843e-09	0.5257739716515935
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	-8.376898128304249e-10	6.213403511913942e-09	0.5536228243062318
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	-1.200248184037141e-09	8.189423147814508e-09	0.5582606409276586
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	-1.176476093908889e-09	4.984487716010451e-09	0.5932943282231063
Tabula_Muris_Senis.ESmu190820__Trachea.granulocyte	-2.552691811461177e-09	1.0401755034865652e-08	0.5969303989647461
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	-2.1031674986200852e-09	6.663506228871375e-09	0.6238563258816942
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	-1.2246520214701072e-09	3.827839102776447e-09	0.6254904368116363
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	-2.8598251984546283e-09	8.660730049570964e-09	0.6293778507238863
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	-1.549011484950013e-09	4.1604736579713635e-09	0.6451712577582134
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	-1.679959800570409e-09	4.248807889754836e-09	0.6537245095859128
Tabula_Muris_Senis.ESmu190820__Trachea.ciliated_columnar_cell_of_tracheobronchial_tree	-2.7607354373308553e-09	6.7254997490961955e-09	0.6592759157789057
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	-2.985911052037067e-09	6.686098726368741e-09	0.6724126172471667
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	-3.818689659633132e-09	8.366897360563197e-09	0.6759504370832012
Tabula_Muris_Senis.ESmu190820__Liver.hepatocyte	-2.29704643712876e-09	4.6277214172972e-09	0.6901821142461775
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	-2.4573732476817597e-09	4.692884432910054e-09	0.6997348735970164
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.astrocyte	-4.610399626898222e-09	8.046922277414063e-09	0.7166571708123041
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	-2.794883778174857e-09	4.7891127135164135e-09	0.720252290849521
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	-3.747772317827762e-09	6.20244800790104e-09	0.7271582297846039
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	-3.5117629820648206e-09	5.800116736008458e-09	0.7275646942841396
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	-3.5895120456140425e-09	4.708837853516181e-09	0.7770572922823135
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuron	-3.190700582711078e-09	4.014087430050927e-09	0.7866570965552023
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	-3.948074681832225e-09	4.649249511631384e-09	0.8021109245557891
Tabula_Muris_Senis.ESmu190820__Liver.neutrophil	-6.465889154821695e-09	7.0642554474094754e-09	0.819982034253621
Tabula_Muris_Senis.ESmu190820__Spleen.granulocyte	-8.404508383333798e-09	9.139071475854154e-09	0.8211153287542763
Tabula_Muris_Senis.ESmu190820__Fat.myeloid_cell	-4.257462268723297e-09	4.562784516378462e-09	0.8246117591527009
