Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Spleen.T_cell	1.4727908334280132e-07	3.97787895894609e-08	0.00010676262694072058
Tabula_Muris_Senis.ESmu190820__Liver.NK_cell	1.6442248798974374e-07	4.7009131374107744e-08	0.00023466962864608702
Tabula_Muris_Senis.ESmu190820__Lung.T_cell	1.9350361991937364e-07	5.7608245201492916e-08	0.00039118616604467174
Tabula_Muris_Senis.ESmu190820__Marrow.immature_B_cell	1.3665602004246816e-07	4.1774895202599175e-08	0.0005353708527405315
Tabula_Muris_Senis.ESmu190820__Thymus.DN4_thymocyte	7.862339586985072e-08	2.4146811978089485e-08	0.0005648553724537614
Tabula_Muris_Senis.ESmu190820__Trachea.T_cell	1.495393185202144e-07	4.626222195650682e-08	0.000613714528965858
Tabula_Muris_Senis.ESmu190820__Fat.T_cell	1.1781942735525354e-07	3.653330465677293e-08	0.0006298922609045025
Tabula_Muris_Senis.ESmu190820__Fat.B_cell	8.656788827645845e-08	2.7196367297022703e-08	0.0007286167649313992
Tabula_Muris_Senis.ESmu190820__Kidney.T_cell	1.6047162370643415e-07	5.1663021271678844e-08	0.0009477938948173537
Tabula_Muris_Senis.ESmu190820__Spleen.NK_cell	1.188524639217177e-07	3.953117466440475e-08	0.0013211517961691716
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_C	9.216191732141309e-08	3.1111343699592715e-08	0.0015266256131260425
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.T_cell	1.9274153561448198e-07	6.991226094385848e-08	0.0029175556583209703
Tabula_Muris_Senis.ESmu190820__Spleen.B_cell	5.589902252498955e-08	2.0298936002931973e-08	0.0029454708027389655
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_B	7.137557657279829e-08	2.689021811836971e-08	0.00397327549601775
Tabula_Muris_Senis.ESmu190820__Liver.T_cell	1.0593308620598005e-07	4.064612712957385e-08	0.004577271251835528
Tabula_Muris_Senis.ESmu190820__Kidney.macrophage	7.233217435621801e-08	2.8186925275482036e-08	0.005141561664787021
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.macrophage	7.116791719634262e-08	2.7990881278239746e-08	0.005502510379743794
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	4.433445645790182e-08	1.76584669148736e-08	0.006025236699233928
Tabula_Muris_Senis.ESmu190820__Fat.NK_cell	1.0846750006554137e-07	4.4005049615431304e-08	0.006852812361565596
Tabula_Muris_Senis.ESmu190820__Marrow.granulocytopoietic_cell	7.8164177381142e-08	3.171999747698548e-08	0.006866118388689285
Tabula_Muris_Senis.ESmu190820__Liver.myeloid_leukocyte	7.122927215197488e-08	2.921268184171512e-08	0.00737826789188409
Tabula_Muris_Senis.ESmu190820__Thymus.professional_antigen_presenting_cell	5.7879457207295076e-08	2.4755189567168318e-08	0.009691713113532448
Tabula_Muris_Senis.ESmu190820__Pancreas.leukocyte	7.307614335699206e-08	3.238782144658916e-08	0.012026406030144286
Tabula_Muris_Senis.ESmu190820__Kidney.B_cell	6.772299812989294e-08	3.218559726570128e-08	0.01768312435486922
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.macrophage	6.274000865790904e-08	3.0389047803253216e-08	0.019482331680631588
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	3.983748361533206e-08	1.9936001472649365e-08	0.022843779706524504
Tabula_Muris_Senis.ESmu190820__Lung.epithelial_cell	4.3663109807724025e-08	2.1900861055784803e-08	0.02309401468097955
Tabula_Muris_Senis.ESmu190820__Brain_Myeloid.macrophage	5.0541027419513364e-08	2.5637495906416775e-08	0.024340702225999645
Tabula_Muris_Senis.ESmu190820__Trachea.macrophage	4.1432183544770754e-08	2.2150881986280435e-08	0.03071046933190132
Tabula_Muris_Senis.ESmu190820__Trachea.chondrocyte	3.25191304240525e-08	2.0266799325624662e-08	0.0542962321478586
Tabula_Muris_Senis.ESmu190820__Marrow.Cd4+_macrophage	3.274508967883076e-08	2.1478943367545283e-08	0.06368936878762613
Tabula_Muris_Senis.ESmu190820__Lung.B_cell	4.014457057324564e-08	2.7321724481242483e-08	0.07087194379780425
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.Il6_expressing_cells	2.6836204226962248e-08	1.840781050769298e-08	0.07243811825485297
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	2.4417631651869382e-08	1.677509741468916e-08	0.07275326411583646
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	3.53329299789289e-08	2.4338863792257977e-08	0.07329136868038495
Tabula_Muris_Senis.ESmu190820__Lung.stromal_cell	2.717925522732449e-08	1.912849890518958e-08	0.07767617598217208
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.nan	2.602068359823455e-08	1.9290379392281367e-08	0.08868545307875308
Tabula_Muris_Senis.ESmu190820__Liver.B_cell	5.184194939056381e-08	3.858026073901809e-08	0.08951577842149738
Tabula_Muris_Senis.ESmu190820__Skin.basal_cell_of_epidermis	2.081846723951906e-08	1.562673291973628e-08	0.09139162909522286
Tabula_Muris_Senis.ESmu190820__Heart.leukocyte	2.3224411828914557e-08	1.8184334607280295e-08	0.10077184392030869
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.5083702886221498e-08	1.1955681519128989e-08	0.10354012865555429
Tabula_Muris_Senis.ESmu190820__Limb_Muscle.B_cell	4.268703857163912e-08	3.4423439862214684e-08	0.10747709689514562
Tabula_Muris_Senis.ESmu190820__Trachea.mucus_secreting_cell	2.7765645699905132e-08	2.2800196539542265e-08	0.11165360688495896
