Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_PP_cell	2.8147380916803408e-08	7.334614003675759e-09	6.211903949909623e-05
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_A_cell	2.2399972152490034e-08	6.1467675783554395e-09	0.0001341190336975215
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_B_cell	1.2365223164398266e-08	4.2370760511503605e-09	0.001759509224952087
Tabula_Muris_Senis.ESmu190820__Large_Intestine.intestinal_crypt_stem_cell	1.710093732257916e-08	6.848079428668973e-09	0.006259139970883561
Tabula_Muris_Senis.ESmu190820__Marrow.erythroid_progenitor	1.8701897334067456e-08	8.296601582556612e-09	0.012092938731423999
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_D_cell	1.1928533154577617e-08	5.352995428596932e-09	0.012927435977354764
Tabula_Muris_Senis.ESmu190820__Marrow.MPP_Fraction_A	1.683136249778177e-08	7.680789487611945e-09	0.014212933803098352
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enteroendocrine_cell	1.2915776167685188e-08	6.342816254533833e-09	0.020860915537389727
Tabula_Muris_Senis.ESmu190820__Thymus.nan	2.6315978606878905e-08	1.293314667692975e-08	0.020937011502878505
Tabula_Muris_Senis.ESmu190820__Marrow.Marrow_Cd4_T_cell	1.633569286448548e-08	8.551560882381627e-09	0.028049961611989697
Tabula_Muris_Senis.ESmu190820__Marrow.HSC_enriched_fraction	1.0638394388884993e-08	6.379755747410291e-09	0.0477051504475122
Tabula_Muris_Senis.ESmu190820__Large_Intestine.epithelial_cell_of_large_intestine	1.5712725533016156e-08	9.775909019681795e-09	0.05399533047722891
Tabula_Muris_Senis.ESmu190820__Thymus.thymocyte	9.980624082996819e-09	6.234091306878533e-09	0.054691232602819585
Tabula_Muris_Senis.ESmu190820__Large_Intestine.Brush_cell_of_epithelium_proper_of_large_intestine	2.196868806548456e-08	1.3870998648393773e-08	0.056621257440898375
Tabula_Muris_Senis.ESmu190820__Tongue.keratinocyte	7.414133340652847e-09	4.769987547960403e-09	0.060052895634658265
Tabula_Muris_Senis.ESmu190820__Thymus.epithelial_cell_of_thymus	1.2228721884497799e-08	8.089138908113878e-09	0.06529926940856211
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_ductal_cell	1.3512451651920566e-08	9.123546056491902e-09	0.0692962780658795
Tabula_Muris_Senis.ESmu190820__Pancreas.pancreatic_acinar_cell	6.522100813927722e-09	4.4178006991653115e-09	0.06992860030493053
Tabula_Muris_Senis.ESmu190820__Spleen.proerythroblast	1.5630322777339273e-08	1.1299176675019706e-08	0.08328412054936218
Tabula_Muris_Senis.ESmu190820__Heart.smooth_muscle_cell	1.0670560907262441e-08	8.092463624512671e-09	0.09365477724295151
Tabula_Muris_Senis.ESmu190820__Kidney.kidney_loop_of_Henle_ascending_limb_epithelial_cell	1.6979874529027397e-08	1.312845187200646e-08	0.09794249873276006
Tabula_Muris_Senis.ESmu190820__Heart.ventricular_myocyte	5.570755255934981e-09	4.487455279656989e-09	0.10722784646025058
Tabula_Muris_Senis.ESmu190820__Tongue.basal_cell_of_epidermis	6.559709658797723e-09	5.370500457924312e-09	0.11096094769471287
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.neuronal_stem_cell	9.252215504497932e-09	8.364834523803448e-09	0.13434492966975592
Tabula_Muris_Senis.ESmu190820__Large_Intestine.enterocyte_of_epithelium_of_large_intestine	7.718174062060439e-09	7.042905903576844e-09	0.13656582215015828
Tabula_Muris_Senis.ESmu190820__Marrow.naive_B_cell	5.11534516213675e-09	5.002080680020923e-09	0.15323822337765558
Tabula_Muris_Senis.ESmu190820__Brain_Non-Myeloid.oligodendrocyte	5.725939874042911e-09	5.670229117183755e-09	0.15628953823284647
Tabula_Muris_Senis.ESmu190820__Marrow.basophil	7.311857784823305e-09	8.591327793442029e-09	0.19736405658943262
